cone_mix	scale	threshold	safe	active_fraction	unsafe_count_at_full_scale	transition_improvement	delta_cosine	recall_at_1	gap_transition	gap_delta_cosine	gap_recall	broken_count	near_tie_erosions	near_tie_flips
0.25	0.01	-1.8831168483464966	True	0.5555555555555556	8	0.6135973450085621	0.9660167687356821	0.4861111111111111	0.00015281064721694992	0.00017059603372637788	0.0	0.0	0.0	0.0
0.25	0.01	-1.781299898925591	True	0.6111111111111112	8	0.6136112563869609	0.9660430457396711	0.4861111111111111	0.0001667220256157398	0.0001968730377154282	0.0	0.0	0.0	0.0
0.25	0.01	-1.3440537735923694	True	0.6666666666666666	8	0.6136340532506549	0.9660636509132181	0.4861111111111111	0.0001895188893097366	0.00021747821126238964	0.0	0.0	0.0	0.0
0.25	0.01	-1.0802916904233237	True	0.6944444444444444	8	0.613635979605915	0.96606654363397	0.4861111111111111	0.00019144524456982115	0.00022037093201432434	0.0	0.0	0.0	0.0
0.25	0.01	-0.6182683350718786	True	0.75	8	0.613645642883692	0.9660778053691358	0.4861111111111111	0.00020110852234689336	0.00023163266718007058	0.0	0.0	0.0	0.0
0.25	0.01	-0.0	False	1.0	8	0.6137506121457889	0.9661859979634014	0.4861111111111111	0.0003060777844436924	0.00033982526144571423	0.0	0.0	7.0	0.0
0.25	0.01	1e-06	False	1.0	8	0.6137506121457889	0.9661859979634014	0.4861111111111111	0.0003060777844436924	0.00033982526144571423	0.0	0.0	7.0	0.0
0.25	0.0125	-3.244269733858159	True	0.0	11	0.6134445343613452	0.9658461727019557	0.4861111111111111	0.0	0.0	0.0	0.0	0.0	0.0
0.25	0.0125	-3.244268733858159	True	0.027777777777777776	11	0.6134607034499167	0.9658544757145049	0.4861111111111111	1.6169088571493795e-05	8.303012549171207e-06	0.0	0.0	0.0	0.0
0.25	0.0125	-3.1327947498995417	True	0.05555555555555555	11	0.6134844266292294	0.9658742283751454	0.4861111111111111	3.989226788425615e-05	2.8055673189641972e-05	0.0	0.0	0.0	0.0
0.25	0.0125	-2.951323496547553	True	0.1111111111111111	11	0.6134926363856906	0.9658901525706821	0.4861111111111111	4.81020243454644e-05	4.397986872639592e-05	0.0	0.0	0.0	0.0
0.25	0.0125	-2.8104461125641214	True	0.16666666666666666	11	0.6135185412819164	0.965919538478957	0.4861111111111111	7.40069205712457e-05	7.336577700123303e-05	0.0	0.0	0.0	0.0
0.25	0.0125	-2.5129162721627094	True	0.2222222222222222	11	0.6135493818196491	0.9659533345903412	0.4861111111111111	0.00010484745830396935	0.00010716188838544305	0.0	0.0	0.0	0.0
0.25	0.0125	-2.2366512996138717	True	0.25	11	0.6135546992290544	0.9659608688176079	0.4861111111111111	0.00011016486770920597	0.00011469611565217974	0.0	0.0	0.0	0.0
0.25	0.0125	-2.131715303574224	True	0.3055555555555556	11	0.6135656603554198	0.9659845700128216	0.4861111111111111	0.00012112599407465563	0.0001383973108658454	0.0	0.0	0.0	0.0
0.25	0.0125	-1.9314203381171173	True	0.3611111111111111	11	0.6135778189387548	0.9660056735028785	0.4861111111111111	0.0001332845774096869	0.00015950080092275165	0.0	0.0	0.0	0.0
0.25	0.0125	-1.9020778099283728	True	0.4166666666666667	11	0.6135878406094059	0.966019650432502	0.4861111111111111	0.0001433062480606928	0.0001734777305463231	0.0	0.0	0.0	0.0
0.25	0.0125	-1.8121509646081295	True	0.4444444444444444	11	0.6135913137934212	0.9660258534700475	0.4861111111111111	0.0001467794320760829	0.00017968076809182776	0.0	0.0	0.0	0.0
0.25	0.0125	-1.693924710024429	True	0.5	11	0.6136086840276007	0.9660586655863838	0.4861111111111111	0.00016414966625555305	0.00021249288442803937	0.0	0.0	0.0	0.0
0.25	0.0125	-1.5667092937535911	True	0.5555555555555556	11	0.6136299917702749	0.9660721762352049	0.4861111111111111	0.0001854574089297234	0.0002260035332491972	0.0	0.0	0.0	0.0
0.25	0.0125	-1.3027292462912394	True	0.6111111111111112	11	0.6136567453288096	0.9660892018330455	0.4861111111111111	0.00021221096746448787	0.00024302913108975588	0.0	0.0	0.0	0.0
0.25	0.0125	-0.664415802790962	True	0.6666666666666666	11	0.6136688140165785	0.9661032680308477	0.4861111111111111	0.00022427965523330595	0.0002570953288919542	0.0	0.0	0.0	0.0
0.25	0.0125	-0.14394777957438712	True	0.6944444444444444	11	0.6136737710990595	0.9661099323894558	0.4861111111111111	0.0002292367377143556	0.0002637596875000314	0.0	0.0	0.0	0.0
0.25	0.0125	0.0	False	1.0	11	0.6138266184870171	0.9662705110356645	0.4861111111111111	0.0003820841256719776	0.0004243383337088069	0.0	0.0	9.0	0.0
0.25	0.0125	1e-06	False	1.0	11	0.6138266184870171	0.9662705110356645	0.4861111111111111	0.0003820841256719776	0.0004243383337088069	0.0	0.0	9.0	0.0
0.25	0.025	-2.494228816816852	True	0.0	21	0.6134445343613452	0.9658461727019557	0.4861111111111111	0.0	0.0	0.0	0.0	0.0	0.0
0.25	0.025	-2.494227816816852	True	0.027777777777777776	21	0.6134767117160629	0.9658627117352943	0.4861111111111111	3.217735471772176e-05	1.6539033338536235e-05	0.0	0.0	0.0	0.0
0.25	0.025	-1.9135317760298833	True	0.05555555555555555	21	0.6134859962407856	0.9658735181669995	0.4861111111111111	4.146187944042978e-05	2.7345465043793205e-05	0.0	0.0	0.0	0.0
0.25	0.025	-1.8771133027354487	True	0.1111111111111111	21	0.6135025712286447	0.9658940661198153	0.4861111111111111	5.8036867299549044e-05	4.789341785960133e-05	0.0	0.0	0.0	0.0
0.25	0.025	-1.651836042505741	True	0.16666666666666666	21	0.6135438547298622	0.9659302282137259	0.4861111111111111	9.932036851700854e-05	8.405551177015358e-05	0.0	0.0	0.0	0.0
0.25	0.025	-1.4301295370269322	True	0.2222222222222222	21	0.6136156292817508	0.9659653168587453	0.4861111111111111	0.00017109492040567886	0.00011914415678959678	0.0	0.0	0.0	0.0
0.25	0.025	-1.2730047831338522	True	0.25	21	0.6136204216609893	0.9659725146032234	0.4861111111111111	0.00017588729964412853	0.0001263419012677014	0.0	0.0	0.0	0.0
0.25	0.025	-1.1163794908319562	True	0.3055555555555556	21	0.613649076558914	0.9660186001408498	0.4861111111111111	0.0002045421975688244	0.00017242743889411827	0.0	0.0	0.0	0.0
0.25	0.025	-0.9974868313859119	True	0.3611111111111111	21	0.6136859690484011	0.9660752535843223	0.4861111111111111	0.0002414346870559525	0.00022908088236661683	0.0	0.0	0.0	0.0
0.25	0.025	-0.664415802790962	True	0.4166666666666667	21	0.6137100022713279	0.9661032761214252	0.4861111111111111	0.0002654679099827195	0.00025710341946949544	0.0	0.0	0.0	0.0
0.25	0.025	0.0	False	1.0	21	0.6142035872684398	0.9666904206390095	0.4861111111111111	0.0007590529070946594	0.0008442479370537326	0.0	0.0	14.0	0.0
0.25	0.025	1e-06	False	1.0	21	0.6142035872684398	0.9666904206390095	0.4861111111111111	0.0007590529070946594	0.0008442479370537326	0.0	0.0	14.0	0.0
0.25	0.05	-2.494228816816852	True	0.0	27	0.6134445343613452	0.9658461727019557	0.4861111111111111	0.0	0.0	0.0	0.0	0.0	0.0
0.25	0.05	-2.494227816816852	True	0.027777777777777776	27	0.6135082453702891	0.9658789818668241	0.4861111111111111	6.371100894397852e-05	3.2809164868363716e-05	0.0	0.0	0.0	0.0
0.25	0.05	-1.8346202435163614	True	0.05555555555555555	27	0.6135273580824959	0.9658952158805933	0.4861111111111111	8.282372115075987e-05	4.904317863763108e-05	0.0	0.0	0.0	0.0
0.25	0.05	-1.627409425363201	True	0.1111111111111111	27	0.6136064400380605	0.9659585457101634	0.4861111111111111	0.00016190567671536815	0.00011237300820765572	0.0	0.0	0.0	0.0
0.25	0.05	-1.5738977020023632	True	0.16666666666666666	27	0.6136740015967691	0.966005057197771	0.4861111111111111	0.00022946723542394132	0.000158884495815248	0.0	0.0	0.0	0.0
0.25	0.05	-1.1919989848862762	True	0.2222222222222222	27	0.6137779206989911	0.9660717880217753	0.4861111111111111	0.0003333863376459023	0.00022561531981957206	0.0	0.0	0.0	0.0
0.25	0.05	-0.24937170784647797	True	0.25	27	0.6138385211274221	0.9661632200520077	0.4861111111111111	0.00039398676607693695	0.00031704735005200213	0.0	0.0	0.0	0.0
0.25	0.05	-0.0	False	1.0	27	0.614942335057135	0.9675169908197204	0.4861111111111111	0.0014978006957898637	0.0016708181177647052	0.0	0.0	19.0	0.0
0.25	0.05	1e-06	False	1.0	27	0.614942335057135	0.9675169908197204	0.4861111111111111	0.0014978006957898637	0.0016708181177647052	0.0	0.0	19.0	0.0
