candidate	alpha	feature	direction	threshold	mean_active_fraction	mean_oracle_overlap_fraction	mean_unsafe_active_fraction	mean_transition_gap	min_transition_gap	mean_delta_cosine_gap	min_delta_cosine_gap	mean_recall_gap	min_recall_gap
pooled_environment_centered_ridge	0.1	floor_blend_delta_cosine	ge	0.999351933511933	0.35	0.2333333333333333	0.11666666666666665	0.0002923253738971377	-0.0006721428125729331	0.00111698632523215	-0.0016500554539742307	0.002777777777777776	0.0
pooled_environment_centered_ridge	0.1	floor_blend_delta_cosine	le	0.999351933511933	0.6499999999999999	0.41666666666666663	0.23333333333333334	0.0004378842838869289	-0.0007818467853506353	0.0042055696133432305	-0.012437601589447261	-0.008333333333333333	-0.11111111111111116
pooled_environment_centered_ridge	0.1	floor_blend_delta_cosine	ge	0.9995721733521576	0.19999999999999998	0.12777777777777777	0.07222222222222222	0.00014602531831960251	-0.0007246239479458405	0.0004573925770503147	-0.0010570026326737203	0.002777777777777776	0.0
pooled_environment_centered_ridge	0.1	floor_blend_delta_cosine	le	0.9995721733521576	0.8	0.5222222222222223	0.2777777777777778	0.0005841843394644639	-0.000741664638292258	0.004865163361525075	-0.008171930133260369	-0.008333333333333333	-0.11111111111111116
pooled_environment_centered_ridge	0.1	floor_delta_support	ge	0.7928957505487447	0.8	0.513888888888889	0.2861111111111111	0.000591304817939637	-0.000270455840402542	0.0036180916136140514	-0.006166863677186607	-0.008333333333333335	-0.11111111111111116
pooled_environment_centered_ridge	0.1	floor_delta_support	le	0.7928957505487447	0.2	0.13611111111111113	0.06388888888888888	0.00013890483984442962	-0.0003356767702158703	0.001704464324961344	-0.005323113578090843	0.002777777777777779	0.0
pooled_environment_centered_ridge	0.1	floor_delta_support	ge	0.8287428568788575	0.65	0.4083333333333334	0.24166666666666664	0.00044633556115843663	-0.000614036858587054	0.002470382804879357	-0.00464251440778507	-0.008333333333333335	-0.11111111111111116
pooled_environment_centered_ridge	0.1	floor_delta_support	le	0.8287428568788575	0.35	0.2416666666666667	0.10833333333333332	0.0002838740966256303	-0.0003356767702158703	0.0028521731336960225	-0.007627744826774113	0.002777777777777779	0.0
pooled_environment_centered_ridge	0.1	floor_delta_support	ge	0.8578127856314042	0.5	0.31666666666666665	0.18333333333333332	0.00033114055320181395	-0.000614036858587054	0.0013097056371719664	-0.005978081479725672	-2.7755575615628915e-18	-0.11111111111111116
pooled_environment_centered_ridge	0.1	floor_delta_support	le	0.8578127856314042	0.5	0.33333333333333337	0.16666666666666669	0.0003990691045822529	-0.00028509020491983283	0.004012850301403423	-0.006925462066237953	-0.005555555555555554	-0.11111111111111116
pooled_environment_centered_ridge	0.1	floor_delta_support	ge	0.886272737959907	0.35	0.225	0.125	0.00026229814375639557	-0.0006636342241190946	0.0009782999311325562	-0.003273610566637497	-2.7755575615628915e-18	-0.11111111111111116
pooled_environment_centered_ridge	0.1	floor_delta_support	le	0.886272737959907	0.65	0.425	0.225	0.00046791151402767177	-0.0005537212622483472	0.004344256007442821	-0.009385091301818888	-0.005555555555555554	-0.11111111111111116
pooled_environment_centered_ridge	0.1	floor_delta_support	ge	0.9086254050547002	0.2	0.12777777777777777	0.07222222222222222	0.00017220942332355862	-0.0007246239479458405	0.0005242705303972639	-0.003273610566637497	0.0	0.0
pooled_environment_centered_ridge	0.1	floor_delta_support	le	0.9086254050547002	0.7999999999999999	0.5222222222222223	0.2777777777777778	0.000558000234460508	-0.0006601676506537493	0.004798285408178136	-0.009988629489105172	-0.005555555555555557	-0.11111111111111116
pooled_environment_centered_ridge	0.1	source_support	ge	0.9881157509740978	0.8027777777777778	0.5027777777777778	0.3	0.00041318598327403624	-0.0005195055440433659	0.003782566561229607	-0.010712749313513015	-1.3877787807814458e-18	-0.11111111111111116
pooled_environment_centered_ridge	0.1	source_support	le	0.9881157509740978	0.20277777777777778	0.15277777777777776	0.05	0.00032156615894846996	-0.0003718355787189556	0.0015784769808431924	-0.0028636491200899616	-0.005555555555555555	-0.11111111111111116
pooled_environment_centered_ridge	0.1	source_support	ge	0.9916611012309599	0.65	0.3888888888888889	0.2611111111111111	0.00018740285445058896	-0.0008901462365150936	0.0023886287325265835	-0.012632945047372446	-1.3877787807814458e-18	-0.11111111111111116
pooled_environment_centered_ridge	0.1	source_support	le	0.9916611012309599	0.35	0.26111111111111107	0.08888888888888888	0.0005428068033334774	-0.0002522263083248391	0.0029339272060488037	-0.002480347728883614	-0.005555555555555555	-0.11111111111111116
pooled_environment_centered_ridge	0.1	source_support	ge	0.9937303637826345	0.5	0.29166666666666663	0.20833333333333331	0.0001249283704524818	-0.0008901462365150936	0.001983763741704822	-0.009988629489105172	-0.0027777777777777805	-0.11111111111111116
pooled_environment_centered_ridge	0.1	source_support	le	0.9937303637826345	0.5	0.3583333333333333	0.14166666666666666	0.0006052812873315848	-0.0004042530669161482	0.0033387921968705686	-0.004144570145294513	-0.002777777777777776	-0.11111111111111116
pooled_environment_centered_ridge	0.1	source_support	ge	0.9954849842580418	0.35277777777777775	0.19722222222222224	0.15555555555555556	0.00010491947677359276	-0.00037116225381607186	0.001333263657252174	-0.00933304587986683	-0.0027777777777777805	-0.11111111111111116
pooled_environment_centered_ridge	0.1	source_support	le	0.9954849842580418	0.6527777777777778	0.45833333333333337	0.19444444444444442	0.0006341782481504658	-0.00032400117887148444	0.004126278366253804	-0.0038631759801304177	-0.002777777777777776	-0.11111111111111116
pooled_environment_centered_ridge	0.1	source_support	ge	0.9971647215124849	0.20277777777777778	0.11666666666666665	0.08611111111111111	7.420835348353017e-05	-0.00046730379382979234	0.0009748946542093254	-0.009214793197382748	-0.002777777777777779	-0.11111111111111116
pooled_environment_centered_ridge	0.1	source_support	le	0.9971647215124849	0.8027777777777778	0.5361111111111111	0.2666666666666666	0.0006551051484713243	-0.000276756976702916	0.00433370493756747	-0.005338312348405483	-0.0027777777777777775	-0.11111111111111116
pooled_environment_centered_ridge	0.1	support_gain	ge	-0.005609896068503307	0.8	0.513888888888889	0.2861111111111111	0.0005936118893962472	-0.00025990520507087125	0.003819047045140566	-0.00612884960303442	-0.0027777777777777775	-0.11111111111111116
