heldout_perturbation_ids	source_neighborhood_fraction	source_neighborhood_k	same_cell_line_purity	same_cell_line_coverage	same_batch_purity	same_perturbation_purity	top1_same_cell_line	top1_same_batch	top1_same_perturbation
1,2,7	1.0	27	0.3333333333333333	1.0	0.3333333333333333	0.3333333333333333	1.0	1.0	1.0
1,2,8	0.3333333333333333	9	0.7366255144032922	0.7366255144032922	0.3991769547325103	0.35390946502057613	1.0	1.0	1.0
1,2,8	0.5	14	0.5767195767195767	0.8971193415637858	0.3492063492063492	0.3386243386243386	1.0	1.0	1.0
1,2,8	0.6666666666666666	18	0.4876543209876543	0.9753086419753086	0.33127572016460904	0.3333333333333333	1.0	1.0	1.0
1,2,8	1.0	27	0.3333333333333333	1.0	0.3333333333333333	0.3333333333333333	1.0	1.0	1.0
1,3,4	0.3333333333333333	9	0.7818930041152263	0.7818930041152263	0.4074074074074074	0.345679012345679	1.0	1.0	1.0
1,3,4	0.5	14	0.582010582010582	0.9053497942386831	0.3544973544973545	0.335978835978836	1.0	1.0	1.0
1,3,4	0.6666666666666666	18	0.48148148148148145	0.9629629629629629	0.3292181069958848	0.3333333333333333	1.0	1.0	1.0
1,3,4	1.0	27	0.3333333333333333	1.0	0.3333333333333333	0.3333333333333333	1.0	1.0	1.0
1,3,5	0.3333333333333333	9	0.7818930041152263	0.7818930041152263	0.4074074074074074	0.3497942386831276	1.0	1.0	1.0
1,3,5	0.5	14	0.58994708994709	0.9176954732510288	0.3492063492063492	0.3386243386243386	1.0	1.0	1.0
1,3,5	0.6666666666666666	18	0.4897119341563786	0.9794238683127572	0.3333333333333333	0.3333333333333333	1.0	1.0	1.0
1,3,5	1.0	27	0.3333333333333333	1.0	0.3333333333333333	0.3333333333333333	1.0	1.0	1.0
1,3,6	0.3333333333333333	9	0.7860082304526749	0.7860082304526748	0.3950617283950617	0.345679012345679	1.0	1.0	1.0
1,3,6	0.5	14	0.5846560846560847	0.9094650205761317	0.35978835978835977	0.3306878306878307	1.0	1.0	1.0
1,3,6	0.6666666666666666	18	0.48148148148148145	0.9629629629629629	0.33539094650205764	0.33539094650205764	1.0	1.0	1.0
1,3,6	1.0	27	0.3333333333333333	1.0	0.3333333333333333	0.3333333333333333	1.0	1.0	1.0
