heldout_perturbation_ids	source_neighborhood_fraction	source_neighborhood_k	same_cell_line_purity	same_cell_line_coverage	same_batch_purity	same_perturbation_purity	top1_same_cell_line	top1_same_batch	top1_same_perturbation
1,4,5	1.0	27	0.3333333333333333	1.0	0.3333333333333333	0.3333333333333333	1.0	1.0	1.0
1,4,6	0.3333333333333333	9	0.7407407407407407	0.7407407407407406	0.3950617283950617	0.31275720164609055	1.0	1.0	1.0
1,4,6	0.5	14	0.5740740740740741	0.8930041152263376	0.3439153439153439	0.3333333333333333	1.0	1.0	1.0
1,4,6	0.6666666666666666	18	0.4794238683127572	0.9588477366255144	0.3271604938271605	0.33539094650205764	1.0	1.0	1.0
1,4,6	1.0	27	0.3333333333333333	1.0	0.3333333333333333	0.3333333333333333	1.0	1.0	1.0
1,4,7	0.3333333333333333	9	0.7448559670781894	0.7448559670781891	0.3868312757201646	0.3333333333333333	1.0	1.0	1.0
1,4,7	0.5	14	0.5846560846560847	0.9094650205761317	0.3412698412698413	0.3492063492063492	1.0	1.0	1.0
1,4,7	0.6666666666666666	18	0.4773662551440329	0.9547325102880658	0.3148148148148148	0.3436213991769547	1.0	1.0	1.0
1,4,7	1.0	27	0.3333333333333333	1.0	0.3333333333333333	0.3333333333333333	1.0	1.0	1.0
1,4,8	0.3333333333333333	9	0.7242798353909465	0.7242798353909465	0.39094650205761317	0.32510288065843623	1.0	1.0	1.0
1,4,8	0.5	14	0.5714285714285714	0.8888888888888891	0.3412698412698413	0.3333333333333333	1.0	1.0	1.0
1,4,8	0.6666666666666666	18	0.4732510288065844	0.9465020576131687	0.3333333333333333	0.34156378600823045	1.0	1.0	1.0
1,4,8	1.0	27	0.3333333333333333	1.0	0.3333333333333333	0.3333333333333333	1.0	1.0	1.0
1,5,6	0.3333333333333333	9	0.6954732510288066	0.6954732510288066	0.3786008230452675	0.3292181069958848	1.0	1.0	1.0
1,5,6	0.5	14	0.5317460317460317	0.8271604938271605	0.3439153439153439	0.3306878306878307	1.0	1.0	1.0
1,5,6	0.6666666666666666	18	0.45267489711934156	0.9053497942386832	0.3395061728395062	0.3230452674897119	1.0	1.0	1.0
1,5,6	1.0	27	0.3333333333333333	1.0	0.3333333333333333	0.3333333333333333	1.0	1.0	1.0
1,5,7	0.3333333333333333	9	0.6831275720164609	0.683127572016461	0.40329218106995884	0.34156378600823045	1.0	1.0	1.0
1,5,7	0.5	14	0.5661375661375662	0.8806584362139918	0.35185185185185186	0.3306878306878307	1.0	1.0	1.0
1,5,7	0.6666666666666666	18	0.4609053497942387	0.9218106995884774	0.3374485596707819	0.3395061728395062	1.0	1.0	1.0
1,5,7	1.0	27	0.3333333333333333	1.0	0.3333333333333333	0.3333333333333333	1.0	1.0	1.0
1,5,8	0.3333333333333333	9	0.6954732510288066	0.6954732510288066	0.3950617283950617	0.3292181069958848	1.0	1.0	1.0
1,5,8	0.5	14	0.5423280423280423	0.8436213991769548	0.34656084656084657	0.328042328042328	1.0	1.0	1.0
