seed	baseline	status	transition_improvement	delta_cosine	recall_at_1	effective_rank	magnitude_ratio	transition_gap_vs_full	delta_gap_vs_full	recall_gap_vs_full
1	source_plus_wrong_eval_action	completed	0.021720000039033426	0.5060199152616064	0.25925925925925924	9.789985333420255	0.8315741399069184	-3.647824639440786e-05	-0.03440811246527398	-0.07407407407407407
1	source_plus_permuted_train_action_fit	completed	0.018416766370257506	0.5126448748096356	0.25925925925925924	9.723887447391043	0.7539753673852259	-0.003339711915170327	-0.027783152917244758	-0.07407407407407407
1	metadata_cell_batch_mean_delta	completed	0.008697529577279572	0.325700598937248	0.2962962962962963	6.0717449443327745	0.7191545405019895	-0.013058948708148261	-0.21472742878963236	-0.037037037037037035
1	metadata_cell_mean_delta	completed	0.001755489935084556	0.16297082802618496	0.3333333333333333	1.7022839091581696	0.47859494836557165	-0.020000988350343276	-0.3774571997006954	0.0
2	full_action_ridge_floor	completed	0.009402064646795659	0.4018851082029823	0.2962962962962963	9.632914633777684	0.5918627929859949	0.0	0.0	0.0
2	source_only_ridge	completed	0.003695604655984438	0.31040365825169414	0.2962962962962963	9.077536948566559	0.6112936545461276	-0.00570645999081122	-0.09148144995128815	0.0
2	action_only_ridge	completed	0.0028314032969195095	0.20014645662813044	0.4074074074074074	1.891316659398736	0.3546028340944442	-0.006570661349876149	-0.20173865157485185	0.1111111111111111
2	mean_delta	completed	-0.0034762255748547848	0.007865723137006956	0.2962962962962963	0.0	0.30939475280943707	-0.012878290221650443	-0.39401938506597534	0.0
2	source_plus_wrong_eval_action	completed	0.0051196768109949735	0.34741088036331186	0.25925925925925924	9.498797184450815	0.5951413935754959	-0.004282387835800685	-0.05447422783967043	-0.037037037037037035
2	source_plus_permuted_train_action_fit	completed	0.004322963251395444	0.3332535010717072	0.3333333333333333	9.333325182344913	0.636371478822118	-0.005079101395400214	-0.06863160713127509	0.037037037037037035
2	metadata_cell_batch_mean_delta	completed	0.006265287468874599	0.30820781351737736	0.2222222222222222	6.123822421678017	0.5330636710521568	-0.0031367771779210593	-0.09367729468560493	-0.07407407407407407
2	metadata_cell_mean_delta	completed	8.81419774287577e-05	0.20561351605959535	0.2222222222222222	1.7307691249835258	0.3719836912409278	-0.009313922669366901	-0.19627159214338694	-0.07407407407407407
3	full_action_ridge_floor	completed	0.0004243423315500173	0.4200548145191377	0.25925925925925924	10.486444270464679	0.8778340372856198	0.0	0.0	0.0
3	source_only_ridge	completed	0.002179689139244399	0.4126835997171488	0.25925925925925924	10.075538285430207	0.7665865231579823	0.0017553468076943815	-0.007371214801988879	0.0
3	action_only_ridge	completed	-0.008725369185425168	0.13390881273282135	0.3333333333333333	1.969572966817317	0.6366753431763769	-0.009149711516975186	-0.28614600178631633	0.07407407407407407
3	mean_delta	completed	-0.0044504402950017044	0.09939734253947477	0.2962962962962963	0.0	0.44949777403382085	-0.004874782626551721	-0.3206574719796629	0.037037037037037035
3	source_plus_wrong_eval_action	completed	0.0025530228474306377	0.45266022170065984	0.2962962962962963	10.211648524192539	0.8958188229865891	0.0021286805158806203	0.03260540718152216	0.037037037037037035
3	source_plus_permuted_train_action_fit	completed	0.003038180412623328	0.4158598770756298	0.18518518518518517	10.584071997823287	0.7825944971056118	0.0026138380810733107	-0.004194937443507851	-0.07407407407407407
3	metadata_cell_batch_mean_delta	completed	0.003867188706899102	0.38764868228310967	0.2962962962962963	6.488298235315759	0.6551692642194885	0.0034428463753490846	-0.03240613223602801	0.037037037037037035
3	metadata_cell_mean_delta	completed	-0.002794487315422616	0.18583093392330366	0.37037037037037035	1.9754038567467624	0.5037624987073321	-0.0032188296469726333	-0.23422388059583402	0.1111111111111111
4	full_action_ridge_floor	completed	0.019162402606056148	0.4972452146646043	0.2962962962962963	10.888689749023888	0.7407240625696372	0.0	0.0	0.0
4	source_only_ridge	completed	0.015145866577368104	0.48721443083869703	0.25925925925925924	10.611246722969051	0.7079158668510599	-0.004016536028688044	-0.010030783825907275	-0.037037037037037035
