left_out_perturbation_id	alpha_source_only	support_threshold	active_fraction	transition_gap_vs_full	recall_gap_vs_full	delta_cosine_gap_vs_full
2	0.1	0.8862745398781099	0.3333333333333333	0.00028042546140963093	0.0	0.0002844622091413007
2	0.1	0.9009006851442267	0.2222222222222222	0.00021466737347893526	0.0	0.0010731459339093918
2	0.1	0.9109358336891847	0.1111111111111111	0.00012552770873221122	0.0	0.0005546712492710548
2	0.1	0.9331897071205175	0.1111111111111111	0.00012552770873221122	0.0	0.0005546712492710548
2	0.1	0.9566618557676194	0.0	0.0	0.0	0.0
2	0.1	0.9566628557676194	0.0	0.0	0.0	0.0
2	0.15	0.4933503502876452	1.0	0.001647465845635675	0.0	0.006426485864841458
2	0.15	0.706549260900512	1.0	0.001647465845635675	0.0	0.006426485864841458
2	0.15	0.7653276194698803	1.0	0.001647465845635675	0.0	0.006426485864841458
2	0.15	0.7931358005091581	0.8888888888888888	0.0012937764969377869	0.0	0.004668572237011115
2	0.15	0.8095962997559084	0.7777777777777778	0.001009348814042305	0.0	0.003728709404260677
2	0.15	0.8246484669806763	0.7777777777777778	0.001009348814042305	0.0	0.003728709404260677
2	0.15	0.851848739058562	0.7777777777777778	0.001009348814042305	0.0	0.003728709404260677
2	0.15	0.8610325423104322	0.5555555555555556	0.0005455832065993154	0.0	0.001038482705950361
2	0.15	0.8862745398781099	0.3333333333333333	0.0004137610776714009	0.0	0.0004120300647328934
2	0.15	0.9009006851442267	0.2222222222222222	0.0003182968236160105	0.0	0.001601843906129441
2	0.15	0.9109358336891847	0.1111111111111111	0.00018651501930856598	0.0	0.0008309017993560208
2	0.15	0.9331897071205175	0.1111111111111111	0.00018651501930856598	0.0	0.0008309017993560208
2	0.15	0.9566618557676194	0.0	0.0	0.0	0.0
2	0.15	0.9566628557676194	0.0	0.0	0.0	0.0
2	0.2	0.4933503502876452	1.0	0.002168024116368245	0.0	0.008544818072951987
2	0.2	0.706549260900512	1.0	0.002168024116368245	0.0	0.008544818072951987
2	0.2	0.7653276194698803	1.0	0.002168024116368245	0.0	0.008544818072951987
2	0.2	0.7931358005091581	0.8888888888888888	0.0017083860749741078	0.0	0.006237350087985594
