alpha_source_only	support_threshold	mean_active_fraction	mean_transition_gap	min_transition_gap	mean_recall_gap	min_recall_gap	mean_delta_cosine_gap	min_delta_cosine_gap
0.05	0.7653276194698803	0.8333333333333333	0.00017301151839569544	-0.00021170057733663206	0.0	0.0	0.0008793457151568713	-0.0006310474329734861
0.05	0.7931358005091581	0.75	0.00016617546172331427	-0.00022476451736021252	0.0	0.0	0.0008298821320789386	-0.0007240077764405495
0.05	0.8095962997559084	0.6666666666666666	0.00014803097738053594	-0.00022039465824503363	0.0	0.0	0.0006970123000625376	-0.0007568685715871881
0.05	0.8246484669806763	0.5833333333333333	0.00013093305840950235	-0.00022039465824503363	0.0	0.0	0.0006972895192012378	-0.0007568685715871881
0.05	0.851848739058562	0.5	0.00014146516164981204	-0.00022039465824503363	0.0	0.0	0.0006798968080797448	-0.0007568685715871881
0.05	0.8610325423104322	0.41666666666666663	0.00011487617373739283	-0.00022039465824503363	0.0	0.0	0.0005882167909437817	-0.0007568685715871881
0.05	0.8862745398781099	0.3333333333333333	7.524239453005857e-05	-0.00021033647599869032	0.0	0.0	0.00037645307053727275	-0.0006844003510327878
0.05	0.9009006851442267	0.25	4.26933960305662e-05	-0.00020236141316339745	0.0	0.0	0.0001716612053153828	-0.0006544676985910103
0.05	0.9109358336891847	0.16666666666666666	-5.836567918357689e-06	-0.00017352591653505348	0.0	0.0	-2.4735325825853832e-05	-0.0005968291198975018
0.05	0.9331897071205175	0.08333333333333333	-3.09943215212956e-05	-0.00017352591653505348	0.0	0.0	-6.607207582033994e-05	-0.0005968291198975018
0.05	0.9566618557676194	0.013888888888888888	-1.4523786236702273e-05	-0.00011619028989361818	0.0	0.0	-1.7131628017932887e-05	-0.0001370530241434631
0.05	0.9566628557676194	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.075	0.4933503502876452	1.0	0.0003348559147941175	7.380871320969429e-05	0.0	0.0	0.0019685948237033596	-0.0005622719988275793
0.075	0.706549260900512	0.9166666666666666	0.00030363326534386394	-6.52714266211607e-05	0.0	0.0	0.0016793897107460834	-0.0001720806240453343
0.075	0.7653276194698803	0.8333333333333333	0.0002517453328198836	-0.0003308003921696709	0.0	0.0	0.0012767016560614533	-0.001038122406815556
0.075	0.7931358005091581	0.75	0.00024194858707041222	-0.0003499170925550521	0.0	0.0	0.0012042252866865943	-0.0011717959352218754
0.075	0.8095962997559084	0.6666666666666666	0.00021528966300640923	-0.00034094590400592095	0.0	0.0	0.0010086493995357243	-0.0011998892095985703
0.075	0.8246484669806763	0.5833333333333333	0.00019074858040606655	-0.00034094590400592095	0.0	0.0	0.0010153579150810263	-0.0011998892095985703
0.075	0.851848739058562	0.5	0.0002068241141995104	-0.00034094590400592095	0.0	0.0	0.0009907215008796467	-0.0011998892095985703
0.075	0.8610325423104322	0.41666666666666663	0.00016732458056375468	-0.00034094590400592095	0.0	0.0	0.0008565848642187353	-0.0011998892095985703
0.075	0.8862745398781099	0.3333333333333333	0.00010850252259696712	-0.00032549563609676757	0.0	0.0	0.0005437716422455018	-0.0010869324865564467
0.075	0.9009006851442267	0.25	6.057251464620841e-05	-0.0003131294354424205	0.0	0.0	0.0002414735382646263	-0.0010366065085722909
0.075	0.9109358336891847	0.16666666666666666	-1.0597311272552432e-05	-0.00026161953293007273	0.0	0.0	-4.339835416215104e-05	-0.0008917264884129028
0.075	0.9331897071205175	0.08333333333333333	-4.687550242765573e-05	-0.00026161953293007273	0.0	0.0	-9.906236358192891e-05	-0.0008917264884129028
0.075	0.9566618557676194	0.013888888888888888	-2.18593320204059e-05	-0.0001748746561632472	0.0	0.0	-2.5851393520001653e-05	-0.00020681114816001323
0.075	0.9566628557676194	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.1	0.4933503502876452	1.0	0.00043469125141047107	8.946168703794638e-05	0.0	0.0	0.002554841056117845	-0.0007913170461401609
0.1	0.706549260900512	0.9166666666666666	0.00039356046038033395	-0.00010678183306814248	0.0	0.0	0.0021726357117147453	-0.00026391598380576253
0.1	0.7653276194698803	0.8333333333333333	0.00032528974918956226	-0.0004586968228704885	0.0	0.0	0.0016467327756504169	-0.0015030305831694735
0.1	0.7931358005091581	0.75	0.00031283819931649307	-0.00048354651882195204	0.0	0.0	0.0015524039065637762	-0.0016736455036214792
0.1	0.8095962997559084	0.6666666666666666	0.00027803658140632993	-0.0004683657162727825	0.0	0.0	0.0012966152987885574	-0.0016827866353578136
0.1	0.8246484669806763	0.5833333333333333	0.0002467982808303827	-0.0004683657162727825	0.0	0.0	0.0013137671673935092	-0.0016827866353578136
0.1	0.851848739058562	0.5	0.0002686019707417368	-0.0004683657162727825	0.0	0.0	0.001282847915621426	-0.0016827866353578136
0.1	0.8610325423104322	0.41666666666666663	0.0002164480615026598	-0.0004683657162727825	0.0	0.0	0.0011085434577909649	-0.0016827866353578136
0.1	0.8862745398781099	0.3333333333333333	0.00013885541561216178	-0.00044728074721168964	0.0	0.0	0.0006977729581863733	-0.0015264933946438353
0.1	0.9009006851442267	0.25	7.614210351294926e-05	-0.0004302551905912416	0.0	0.0	0.0003011877141320292	-0.0014521410455166084
0.1	0.9109358336891847	0.16666666666666666	-1.6583939838404394e-05	-0.0003505997684615722	0.0	0.0	-6.58683255502536e-05	-0.0011842646095612253
0.1	0.9331897071205175	0.08333333333333333	-6.301278575886074e-05	-0.0003505997684615722	0.0	0.0	-0.00013202667026078127	-0.0011842646095612253
0.1	0.9566618557676194	0.013888888888888888	-2.9243982403765086e-05	-0.00023395185923012068	0.0	0.0	-3.467556326383625e-05	-0.00027740450611069
0.1	0.9566628557676194	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.15	0.4933503502876452	1.0	0.0006166507975578917	0.00010740389814959533	0.0	0.0	0.003626350468122718	-0.0013090498769847136
0.15	0.706549260900512	0.9166666666666666	0.0005564535330237202	-0.00021926096612778778	0.0	0.0	0.003063550307744776	-0.0004967417901927673
0.15	0.7653276194698803	0.8333333333333333	0.0004567911186331606	-0.0007407565462204599	0.0	0.0	0.0023074464659508763	-0.002597243238186775
0.15	0.7931358005091581	0.75	0.0004399504401077543	-0.0007761121141547089	0.0	0.0	0.0021729356235894066	-0.002830647157941013
0.15	0.8095962997559084	0.6666666666666666	0.00038997810444603724	-0.000743696526359007	0.0	0.0	0.0018042078433456142	-0.0027592915986737188
0.15	0.8246484669806763	0.5833333333333333	0.00034760827505574685	-0.000743696526359007	0.0	0.0	0.0018537025506189901	-0.0027592915986737188
0.15	0.851848739058562	0.5	0.0003814218427117664	-0.000743696526359007	0.0	0.0	0.0018130769340136237	-0.0027592915986737188
