seed	scale	safe_train	transition_improvement_train	delta_cosine_train	recall_at_1_train	gap_transition_train	gap_delta_cosine_train	gap_recall_train	broken_count_train	near_tie_erosions	margin_q10_change	mean_margin_change_train	near_tie_count	safe_eval	transition_improvement_eval	delta_cosine_eval	recall_at_1_eval	gap_transition_eval	gap_delta_cosine_eval	gap_recall_eval	broken_count_eval	repaired_count	mean_margin_change_eval	train_continuous_safe	train_no_broken	train_no_near_tie_erosion	train_q10_nonnegative	heldout_safe	heldout_nonzero_safe	oracle_max_safe_scale
1	0.0	True	0.230169132069599	0.9223779129863064	0.4861111111111111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.0	True	0.1707350373131547	0.8418910341147743	0.5925925925925926	0.0	0.0	0.0	0.0	0.0	0.0	True	True	True	True	True	False	0.05
1	0.025	False	0.2311468148008858	0.925132518692218	0.4861111111111111	0.0009776827312867	0.0027546057059115	0.0	0.0	7.0	-8.987668344495646e-06	0.0001559706126634	35.0	True	0.171739318803844	0.8449506685447115	0.5925925925925926	0.0010042814906893	0.0030596344299371	0.0	0.0	0.0	0.0014428620620632	True	True	False	True	True	True	0.05
1	0.05	False	0.2320960846437388	0.927829122158754	0.4861111111111111	0.0019269525741397	0.0054512091724475	0.0	0.0	9.0	-1.7951669416849147e-05	0.0003109737638703	35.0	True	0.172713641700573	0.8479537064329533	0.5925925925925926	0.0019786043874183	0.006062672318179	0.0	0.0	0.0	0.0028830104431877	True	True	False	True	True	True	0.05
1	0.1	False	0.2339095102582237	0.933042109554029	0.4861111111111111	0.0037403781886246	0.0106641965677226	0.0	0.0	13.0	-3.580848519151307e-05	0.0006141228944183	35.0	False	0.1745720649396591	0.8537817654496	0.5925925925925926	0.0038370276265044	0.0118907313348257	0.0	1.0	1.0	0.005680932176152	True	True	False	True	False	False	0.05
1	0.15	False	0.2356098474642289	0.9380050160881672	0.5	0.0054407153946298	0.0156271031018607	0.0138888888888888	0.0	18.0	-6.368162258574289e-05	0.0008797158735092	35.0	False	0.1763098356248294	0.8593591612232855	0.6296296296296297	0.0055747983116747	0.0174681271085112	0.037037037037037	1.0	2.0	0.0084413804831319	True	True	False	True	False	False	0.05
1	0.2	False	0.2371978302761358	0.9427070669250692	0.5	0.0070286982065367	0.0203291539387627	0.0138888888888888	0.0	19.0	-0.0001998790097962	0.0010633748439729	35.0	False	0.1779268355484944	0.8646707255537179	0.6296296296296297	0.0071917982353396	0.0227796914389436	0.037037037037037	1.0	2.0	0.0110877979451283	True	True	False	False	False	False	0.05
1	0.25	False	0.2386744746984312	0.9471388036862876	0.5	0.0085053426288321	0.0247608906999812	0.0138888888888888	2.0	20.0	-0.0003046310982145	0.0011214648339036	35.0	False	0.179423292800497	0.8697024913787573	0.7407407407407407	0.0086882554873422	0.027811457263983	0.1481481481481481	1.0	5.0	0.0138242585526122	True	False	False	False	False	False	0.05
1	0.5	False	0.2444405998341813	0.9650242392023004	0.5	0.0142714677645822	0.0426463262159939	0.0138888888888888	5.0	25.0	-0.0014215976540768	0.0013785226009004	35.0	False	0.1851278834344969	0.8902912964240477	0.7037037037037037	0.0143928461213422	0.0484002623092734	0.1111111111111111	3.0	6.0	0.0288687265500038	True	False	False	False	False	False	0.05
1	0.75	False	0.2477025902478698	0.9756872578419886	0.5	0.0175334581782707	0.0533093448556822	0.0138888888888888	9.0	25.0	-0.0034350989295041	0.0014962368547436	35.0	False	0.1880223731535333	0.902825538740725	0.6666666666666666	0.0172873358403785	0.0609345046259507	0.074074074074074	4.0	6.0	0.0437111925415001	True	False	False	False	False	False	0.05
1	1.0	False	0.2487755005861215	0.9797032344955964	0.5	0.0186063685165224	0.0573253215092901	0.0138888888888888	12.0	26.0	-0.0047870412832722	0.0015261074117733	35.0	False	0.1884041507091209	0.907612517266586	0.6666666666666666	0.0176691133959662	0.0657214831518117	0.074074074074074	4.0	6.0	0.0574064576779836	True	False	False	False	False	False	0.05
