heldout_perturbation_ids	space	label_col	recall_at_1	recall_at_5	map	median_rank
2,3,8	endpoint	cell_line_label	0.7037037037037037	0.9629629629629629	0.5884275065822772	1.0
2,3,8	delta	condition_key	0.25925925925925924	0.6296296296296297	0.31224557054363167	4.0
2,3,8	delta	perturbation_label	0.3333333333333333	0.7037037037037037	0.47151671097307485	3.0
2,3,8	delta	cell_line_label	0.7037037037037037	1.0	0.48053734536788106	1.0
2,4,5	endpoint	condition_key	0.14814814814814814	0.5925925925925926	0.293101009460372	4.0
2,4,5	endpoint	perturbation_label	0.3333333333333333	0.7777777777777778	0.4191169778761491	2.0
2,4,5	endpoint	cell_line_label	0.5925925925925926	0.9629629629629629	0.5941451804504589	1.0
2,4,5	delta	condition_key	0.25925925925925924	0.7037037037037037	0.3141989236532019	3.0
2,4,5	delta	perturbation_label	0.4074074074074074	0.8148148148148148	0.43795933596981873	2.0
2,4,5	delta	cell_line_label	0.5555555555555556	1.0	0.47152779066394207	1.0
2,4,6	endpoint	condition_key	0.3333333333333333	0.7037037037037037	0.369207561906482	3.0
2,4,6	endpoint	perturbation_label	0.37037037037037035	0.8148148148148148	0.4166803741115995	2.0
2,4,6	endpoint	cell_line_label	0.8148148148148148	0.9629629629629629	0.6667342601860647	1.0
2,4,6	delta	condition_key	0.3333333333333333	0.7037037037037037	0.3175171685572742	3.0
2,4,6	delta	perturbation_label	0.48148148148148145	0.8888888888888888	0.439152295531737	2.0
2,4,6	delta	cell_line_label	0.6666666666666666	0.9259259259259259	0.5218540054140693	1.0
2,4,7	endpoint	condition_key	0.2962962962962963	0.5925925925925926	0.35473092992470256	3.0
2,4,7	endpoint	perturbation_label	0.37037037037037035	0.7037037037037037	0.43213028325135694	3.0
2,4,7	endpoint	cell_line_label	0.7407407407407407	1.0	0.6277095665227511	1.0
2,4,7	delta	condition_key	0.4444444444444444	0.8148148148148148	0.36237186334564975	2.0
2,4,7	delta	perturbation_label	0.5925925925925926	0.8888888888888888	0.5078013235286077	1.0
2,4,7	delta	cell_line_label	0.7037037037037037	1.0	0.49763643077474096	1.0
2,4,8	endpoint	condition_key	0.25925925925925924	0.48148148148148145	0.33731022891439033	6.0
2,4,8	endpoint	perturbation_label	0.2962962962962963	0.6666666666666666	0.43949849467898516	3.0
2,4,8	endpoint	cell_line_label	0.8888888888888888	1.0	0.5949658590591438	1.0
2,4,8	delta	condition_key	0.25925925925925924	0.6296296296296297	0.3030960564952977	4.0
2,4,8	delta	perturbation_label	0.37037037037037035	0.7777777777777778	0.4392735994947258	2.0
2,4,8	delta	cell_line_label	0.7037037037037037	0.9259259259259259	0.5103263323969134	1.0
2,5,6	endpoint	condition_key	0.25925925925925924	0.6296296296296297	0.320625386939444	4.0
2,5,6	endpoint	perturbation_label	0.48148148148148145	0.8148148148148148	0.41184511604387253	2.0
2,5,6	endpoint	cell_line_label	0.5185185185185185	1.0	0.6030807492672531	1.0
2,5,6	delta	condition_key	0.14814814814814814	0.7037037037037037	0.2599746322830034	4.0
2,5,6	delta	perturbation_label	0.37037037037037035	0.8888888888888888	0.4198788707237454	2.0
2,5,6	delta	cell_line_label	0.4074074074074074	1.0	0.4361741658548674	2.0
2,5,7	endpoint	condition_key	0.1111111111111111	0.6666666666666666	0.273897698841226	4.0
