left_out_perturbation_id	alpha_source_only	support_threshold	active_fraction	transition_gap_vs_full	recall_gap_vs_full	delta_cosine_gap_vs_full	transition_improvement	recall_at_1	delta_cosine
2	0.05	0.8209663844140184	0.7777777777777778	0.00034351520623001914	0.0	0.0012460401797413923	-0.0064504243120412485	0.3333333333333333	0.39325557555394675
2	0.05	0.851848739058562	0.7777777777777778	0.00034351520623001914	0.0	0.0012460401797413923	-0.0064504243120412485	0.3333333333333333	0.39325557555394675
2	0.05	0.8734349154536685	0.4444444444444444	0.00018586130343650146	0.0	0.0002879294835159141	-0.006608078214834766	0.3333333333333333	0.39229746485772127
2	0.05	0.9009006851442267	0.2222222222222222	0.00010856507357210384	0.0	0.0005391272558119553	-0.006685374444699164	0.3333333333333333	0.3925486626300173
2	0.05	0.916384103980441	0.1111111111111111	6.335374760577453e-05	0.0	0.0002776511249710234	-0.006730585770665493	0.3333333333333333	0.3922871864991764
2	0.05	0.9566618557676194	0.0	0.0	0.0	0.0	-0.006793939518271268	0.3333333333333333	0.39200953537420535
2	0.05	0.9566628557676194	0.0	0.0	0.0	0.0	-0.006793939518271268	0.3333333333333333	0.39200953537420535
2	0.075	0.4933503502876452	1.0	0.0008397434252055665	0.0	0.003224536871498984	-0.005954196093065701	0.3333333333333333	0.39523407224570434
2	0.075	0.7300139265405944	1.0	0.0008397434252055665	0.0	0.003224536871498984	-0.005954196093065701	0.3333333333333333	0.39523407224570434
2	0.075	0.7931358005091581	0.8888888888888888	0.0006562169805797288	0.0	0.0023261984358462495	-0.006137722537691539	0.3333333333333333	0.3943357338100516
2	0.075	0.8209663844140184	0.7777777777777778	0.0005126298289913752	0.0	0.00186807281896606	-0.006281309689279892	0.3333333333333333	0.3938776081931714
2	0.075	0.851848739058562	0.7777777777777778	0.0005126298289913752	0.0	0.00186807281896606	-0.006281309689279892	0.3333333333333333	0.3938776081931714
2	0.075	0.8734349154536685	0.4444444444444444	0.0002767293194497018	0.0	0.0004257441990569988	-0.006517210198821566	0.3333333333333333	0.39243527957326235
2	0.075	0.9009006851442267	0.2222222222222222	0.00016192470567639224	0.0	0.0008067883305197254	-0.006632014812594875	0.3333333333333333	0.3928163237047251
2	0.075	0.916384103980441	0.1111111111111111	9.45886329428592e-05	0.0	0.00041624982797561216	-0.006699350885328408	0.3333333333333333	0.39242578520218097
2	0.075	0.9566618557676194	0.0	0.0	0.0	0.0	-0.006793939518271268	0.3333333333333333	0.39200953537420535
2	0.075	0.9566628557676194	0.0	0.0	0.0	0.0	-0.006793939518271268	0.3333333333333333	0.39200953537420535
2	0.1	0.4933503502876452	1.0	0.0011125558460963747	0.0	0.004294731028127163	-0.005681383672174893	0.3333333333333333	0.3963042664023325
2	0.1	0.7300139265405944	1.0	0.0011125558460963747	0.0	0.004294731028127163	-0.005681383672174893	0.3333333333333333	0.3963042664023325
2	0.1	0.7931358005091581	0.8888888888888888	0.000870816445208404	0.0	0.0031053629895319013	-0.005923123073062864	0.3333333333333333	0.39511489836373725
2	0.1	0.8209663844140184	0.7777777777777778	0.0006799765425420136	0.0	0.0024892825531255824	-0.006113962975729254	0.3333333333333333	0.39449881792733094
2	0.1	0.851848739058562	0.7777777777777778	0.0006799765425420136	0.0	0.0024892825531255824	-0.006113962975729254	0.3333333333333333	0.39449881792733094
2	0.1	0.8734349154536685	0.4444444444444444	0.00036621905612229354	0.0	0.000559449157265024	-0.006427720462148974	0.3333333333333333	0.3925689845314704
2	0.1	0.9009006851442267	0.2222222222222222	0.00021466737347893526	0.0	0.0010731459339093918	-0.006579272144792332	0.3333333333333333	0.39308268130811475
2	0.1	0.916384103980441	0.1111111111111111	0.00012552770873221122	0.0	0.0005546712492710548	-0.006668411809539056	0.3333333333333333	0.3925642066234764
2	0.1	0.9566618557676194	0.0	0.0	0.0	0.0	-0.006793939518271268	0.3333333333333333	0.39200953537420535
2	0.1	0.9566628557676194	0.0	0.0	0.0	0.0	-0.006793939518271268	0.3333333333333333	0.39200953537420535
2	0.15	0.4933503502876452	1.0	0.001647465845635675	0.0	0.006426485864841458	-0.0051464736726355926	0.3333333333333333	0.3984360212390468
2	0.15	0.7300139265405944	1.0	0.001647465845635675	0.0	0.006426485864841458	-0.0051464736726355926	0.3333333333333333	0.3984360212390468
2	0.15	0.7931358005091581	0.8888888888888888	0.0012937764969377869	0.0	0.004668572237011115	-0.005500163021333481	0.3333333333333333	0.39667810761121647
2	0.15	0.8209663844140184	0.7777777777777778	0.001009348814042305	0.0	0.003728709404260677	-0.0057845907042289625	0.3333333333333333	0.39573824477846603
2	0.15	0.851848739058562	0.7777777777777778	0.001009348814042305	0.0	0.003728709404260677	-0.0057845907042289625	0.3333333333333333	0.39573824477846603
2	0.15	0.8734349154536685	0.4444444444444444	0.00054105440603891	0.0	0.0008145021948429143	-0.006252885112232358	0.3333333333333333	0.39282403756904827
2	0.15	0.9009006851442267	0.2222222222222222	0.0003182968236160105	0.0	0.001601843906129441	-0.006475642694655257	0.3333333333333333	0.3936113792803348
2	0.15	0.916384103980441	0.1111111111111111	0.00018651501930856598	0.0	0.0008309017993560208	-0.006607424498962702	0.3333333333333333	0.3928404371735614
2	0.15	0.9566618557676194	0.0	0.0	0.0	0.0	-0.006793939518271268	0.3333333333333333	0.39200953537420535
2	0.15	0.9566628557676194	0.0	0.0	0.0	0.0	-0.006793939518271268	0.3333333333333333	0.39200953537420535
2	0.2	0.4933503502876452	1.0	0.002168024116368245	0.0	0.008544818072951987	-0.0046259154019030226	0.3333333333333333	0.40055435344715734
2	0.2	0.7300139265405944	1.0	0.002168024116368245	0.0	0.008544818072951987	-0.0046259154019030226	0.3333333333333333	0.40055435344715734
2	0.2	0.7931358005091581	0.8888888888888888	0.0017083860749741078	0.0	0.006237350087985594	-0.00508555344329716	0.3333333333333333	0.39824688546219095
2	0.2	0.8209663844140184	0.7777777777777778	0.001331597736858598	0.0	0.004963224887242268	-0.00546234178141267	0.3333333333333333	0.3969727602614476
2	0.2	0.851848739058562	0.7777777777777778	0.001331597736858598	0.0	0.004963224887242268	-0.00546234178141267	0.3333333333333333	0.3969727602614476
2	0.2	0.8734349154536685	0.4444444444444444	0.0007103492549151132	0.0	0.0010530361309064595	-0.006083590263356154	0.3333333333333333	0.3930625715051118
2	0.2	0.9009006851442267	0.2222222222222222	0.0004194435919062413	0.0	0.002125005018152659	-0.006374495926365026	0.3333333333333333	0.394134540392358
2	0.2	0.916384103980441	0.1111111111111111	0.0002463089211907571	0.0	0.0011061779943505323	-0.0065476305970805105	0.3333333333333333	0.3931157133685559
2	0.2	0.9566618557676194	0.0	0.0	0.0	0.0	-0.006793939518271268	0.3333333333333333	0.39200953537420535
2	0.2	0.9566628557676194	0.0	0.0	0.0	0.0	-0.006793939518271268	0.3333333333333333	0.39200953537420535
