alpha_source_only	support_threshold	mean_active_fraction	mean_transition_gap	min_transition_gap	mean_recall_gap	min_recall_gap	mean_delta_cosine_gap	min_delta_cosine_gap
0.05	0.8209663844140184	0.625	0.00013269359010439268	-0.00022039465824503363	0.0	0.0	0.0006135858420217542	-0.0007568685715871881
0.05	0.851848739058562	0.5	0.00014146516164981204	-0.00022039465824503363	0.0	0.0	0.0006798968080797448	-0.0007568685715871881
0.05	0.8734349154536685	0.375	9.597854083488874e-05	-0.00022039465824503363	0.0	0.0	0.00045410109797820383	-0.0007568685715871881
0.05	0.9009006851442267	0.25	4.26933960305662e-05	-0.00020236141316339745	0.0	0.0	0.0001716612053153828	-0.0006544676985910103
0.05	0.916384103980441	0.125	-2.466443069958123e-05	-0.00017352591653505348	0.0	0.0	-5.938378919008794e-05	-0.0005968291198975018
0.05	0.9566618557676194	0.013888888888888888	-1.4523786236702273e-05	-0.00011619028989361818	0.0	0.0	-1.7131628017932887e-05	-0.0001370530241434631
0.05	0.9566628557676194	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.075	0.4933503502876452	1.0	0.0003348559147941175	7.380871320969429e-05	0.0	0.0	0.0019685948237033596	-0.0005622719988275793
0.075	0.7300139265405944	0.875	0.0002782651496751901	-0.0002243799587692552	0.0	0.0	0.0014723786176597184	-0.0003135474549235129
0.075	0.7931358005091581	0.75	0.00024194858707041222	-0.0003499170925550521	0.0	0.0	0.0012042252866865943	-0.0011717959352218754
0.075	0.8209663844140184	0.625	0.00019327763083986976	-0.00034094590400592095	0.0	0.0	0.0008904530001818158	-0.0011998892095985703
0.075	0.851848739058562	0.5	0.0002068241141995104	-0.00034094590400592095	0.0	0.0	0.0009907215008796467	-0.0011998892095985703
0.075	0.8734349154536685	0.375	0.00013909041052833444	-0.00034094590400592095	0.0	0.0	0.0006557940306679173	-0.0011998892095985703
0.075	0.9009006851442267	0.25	6.057251464620841e-05	-0.0003131294354424205	0.0	0.0	0.0002414735382646263	-0.0010366065085722909
0.075	0.916384103980441	0.125	-3.8523861981020575e-05	-0.00026161953293007273	0.0	0.0	-9.478033808155498e-05	-0.0008917264884129028
0.075	0.9566618557676194	0.013888888888888888	-2.18593320204059e-05	-0.0001748746561632472	0.0	0.0	-2.5851393520001653e-05	-0.00020681114816001323
0.075	0.9566628557676194	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.1	0.4933503502876452	1.0	0.00043469125141047107	8.946168703794638e-05	0.0	0.0	0.002554841056117845	-0.0007913170461401609
0.1	0.7300139265405944	0.875	0.00036017137103151135	-0.00031698281779631715	0.0	0.0	0.0019021798362124087	-0.0005403600641668005
0.1	0.7931358005091581	0.75	0.00031283819931649307	-0.00048354651882195204	0.0	0.0	0.0015524039065637762	-0.0016736455036214792
0.1	0.8209663844140184	0.625	0.0002500214162238952	-0.0004683657162727825	0.0	0.0	0.0011481201058434198	-0.0016827866353578136
0.1	0.851848739058562	0.5	0.0002686019707417368	-0.0004683657162727825	0.0	0.0	0.001282847915621426	-0.0016827866353578136
0.1	0.8734349154536685	0.375	0.00017895227064148428	-0.0004683657162727825	0.0	0.0	0.0008413380592323556	-0.0016827866353578136
0.1	0.9009006851442267	0.25	7.614210351294926e-05	-0.0004302551905912416	0.0	0.0	0.0003011877141320292	-0.0014521410455166084
0.1	0.916384103980441	0.125	-5.33985092542943e-05	-0.0003505997684615722	0.0	0.0	-0.00013359430750164644	-0.0011842646095612253
0.1	0.9566618557676194	0.013888888888888888	-2.9243982403765086e-05	-0.00023395185923012068	0.0	0.0	-3.467556326383625e-05	-0.00027740450611069
0.1	0.9566628557676194	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.15	0.4933503502876452	1.0	0.0006166507975578917	0.00010740389814959533	0.0	0.0	0.003626350468122718	-0.0013090498769847136
0.15	0.7300139265405944	0.875	0.0005076753664388204	-0.0005287256840609128	0.0	0.0	0.0026744947449226196	-0.0011635552133557603
0.15	0.7931358005091581	0.75	0.0004399504401077543	-0.0007761121141547089	0.0	0.0	0.0021729356235894066	-0.002830647157941013
0.15	0.8209663844140184	0.625	0.0003519964835916144	-0.000743696526359007	0.0	0.0	0.001608020357541897	-0.0027592915986737188
0.15	0.851848739058562	0.5	0.0003814218427117664	-0.000743696526359007	0.0	0.0	0.0018130769340136237	-0.0027592915986737188
0.15	0.8734349154536685	0.375	0.00024893412720895704	-0.000743696526359007	0.0	0.0	0.001166152067946024	-0.0027592915986737188
0.15	0.9009006851442267	0.25	0.00010036196805302932	-0.0006834661375418258	0.0	0.0	0.0003919785955780186	-0.0023744089518545897
0.15	0.916384103980441	0.125	-8.618315748088834e-05	-0.0005312182391749611	0.0	0.0	-0.00022040654338418078	-0.0017622309469238484
0.15	0.9566618557676194	0.013888888888888888	-4.416059613241655e-05	-0.0003532847690593324	0.0	0.0	-5.264253452084977e-05	-0.00042114027616679817
0.15	0.9566628557676194	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.2	0.4933503502876452	1.0	0.0007749671024914207	0.00010760139508955713	-0.013888888888888895	-0.11111111111111116	0.004567588726283978	-0.0019031971461991315
0.2	0.7300139265405944	0.875	0.0006334070747249821	-0.0007756244823568584	-0.013888888888888895	-0.11111111111111116	0.0033350071556484395	-0.0019986075912387102
0.2	0.7931358005091581	0.75	0.0005474874782796168	-0.001102191345693261	-0.013888888888888895	-0.11111111111111116	0.0026967207903086446	-0.004178160608851789
0.2	0.8209663844140184	0.625	0.00043864110839529743	-0.001046137958006281	-0.013888888888888895	-0.11111111111111116	0.0019974565287565783	-0.003969654413693013
0.2	0.851848739058562	0.5	0.0004799453930757236	-0.001046137958006281	-0.013888888888888895	-0.11111111111111116	0.0022745695646016195	-0.003969654413693013
0.2	0.8734349154536685	0.375	0.00030594601943389175	-0.001046137958006281	0.0	0.0	0.001432707625297576	-0.003969654413693013
0.2	0.9009006851442267	0.25	0.00011537597959590312	-0.0009617467123618217	0.0	0.0	0.0004471884577128826	-0.003404427029368051
0.2	0.916384103980441	0.125	-0.000122995333084754	-0.0007153769456883854	0.0	0.0	-0.0003178430962088169	-0.002330681057206463
0.2	0.9566618557676194	0.013888888888888888	-5.927361017266878e-05	-0.00047418888138135024	0.0	0.0	-7.10435658778652e-05	-0.0005683485270229216
0.2	0.9566628557676194	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.35	0.4933503502876452	1.0	0.0011079114869309644	-1.9828510434069524e-06	0.0	-0.11111111111111116	0.006660833482395722	-0.004107070662780987
0.35	0.7300139265405944	0.875	0.000879825986005326	-0.0017240601978416453	0.0	-0.11111111111111116	0.004698134749662589	-0.005624320301119701
0.35	0.7931358005091581	0.75	0.0007525975122359963	-0.0022782955419297715	0.0	-0.11111111111111116	0.0037370248267201284	-0.00921744279526071
0.35	0.8209663844140184	0.625	0.0006069515266305898	-0.0021131719152846437	0.0	-0.11111111111111116	0.002780458306022058	-0.008263533342037999
0.35	0.851848739058562	0.5	0.0006900786577550428	-0.0021131719152846437	0.0	-0.11111111111111116	0.0032824128494238526	-0.008263533342037999
0.35	0.8734349154536685	0.375	0.0003995119707624193	-0.0021131719152846437	0.013888888888888895	0.0	0.0019197994288146607	-0.008263533342037999
0.35	0.9009006851442267	0.25	0.00010551651319931567	-0.001944070053306421	0.0	0.0	0.00042680063039836347	-0.006999981989440074
0.35	0.916384103980441	0.125	-0.00025731007664112223	-0.0012890345611062184	0.0	0.0	-0.0006579849374913106	-0.003978834112995211
0.35	0.9566618557676194	0.013888888888888888	-0.00010579050578116058	-0.0008463240462492846	0.0	0.0	-0.0001289658542455857	-0.0010317268339646857
0.35	0.9566628557676194	0.0	0.0	0.0	0.0	0.0	0.0	0.0
