seed	perturbation_id	row_count	transition_improvement	delta_cosine	recall_at_1	delta_rank	magnitude_ratio	action_support_fraction_mean	active_action_dims_mean	unsupported_action_dims_mean	exact_action_match_fraction	action_support_cosine_mean	teacher_delta_support_cosine_mean	predicted_delta_support_cosine_mean
1	3	9	0.012526069783507664	0.4878678571295681	0.8888888888888888	5.887186923160093	0.7076077098578964	0.0	2.0	2.0	0.0	0.0	0.7211973032126937	0.8447246522466759
1	4	9	0.020880873514428896	0.2350866792494869	0.7777777777777778	5.645444953359083	0.5161123269025595	0.0	2.0	2.0	0.0	0.0	0.7809493500543333	0.8538162152680431
1	5	9	0.019160886353520548	0.621883002562844	0.8888888888888888	5.5116890712758675	0.7906212737782483	0.0	2.0	2.0	0.0	0.0	0.7201501007044351	0.8041927743308737
1	6	9	0.039503028380242396	0.5121734145705372	0.8888888888888888	5.84413824797421	0.7367924841665952	0.0	2.0	2.0	0.0	0.0	0.7645097132996344	0.8309923461315427
1	7	9	0.03037908627460881	0.6924145254685086	0.8888888888888888	5.930181573283899	0.8351165186356106	0.0	2.0	2.0	0.0	0.0	0.7510299104411708	0.808037784497753
1	8	9	0.020011690878588465	0.5695420516772336	0.6666666666666666	5.786447266892032	0.6774502281478979	0.0	2.0	2.0	0.0	0.0	0.7331698055985895	0.8191420957850606
2	1	9	0.010444315613137016	0.49028030999024924	1.0	5.528902562430008	0.9655505889812779	0.0	2.0	2.0	0.0	0.0	0.6856424444175766	0.8169107823298174
2	2	9	0.015936053286110412	0.7522755291493637	1.0	6.035542048967541	0.832268348054783	0.0	2.0	2.0	0.0	0.0	0.7901754597474558	0.8448968828171457
2	3	9	0.031140439865727357	0.5606535536486771	1.0	6.259692667821545	0.7245751652507023	0.0	2.0	2.0	0.0	0.0	0.7502476030894056	0.8249605932377685
2	4	9	-0.02554238193350564	0.21238230639347366	0.6666666666666666	5.4433821828283975	0.5973198181705809	0.0	2.0	2.0	0.0	0.0	0.6892024884586425	0.7988939795185709
2	5	9	0.014899015369394308	0.41169001182274784	0.8888888888888888	5.528233763947976	0.6881627300577232	0.0	2.0	2.0	0.0	0.0	0.8170152529354815	0.8476970108609908
2	6	9	0.008605172725165193	0.47548445116512816	0.7777777777777778	6.293823139717974	0.5926394211620224	0.0	2.0	2.0	0.0	0.0	0.730830523337219	0.8436576275902461
2	7	9	0.03013674964490624	0.515345909615963	0.7777777777777778	5.559938998705132	0.5741008488704341	0.0	2.0	2.0	0.0	0.0	0.7674766022537856	0.7828488189191999
2	8	9	0.02297847417863456	0.4788314624570449	0.6666666666666666	6.655769808258404	0.56020535947863	0.0	2.0	2.0	0.0	0.0	0.7703537589360926	0.7895412196679135
3	1	9	0.0116060896721046	0.4272357699277288	0.8888888888888888	6.699460116366534	0.5630321861091496	0.0	2.0	2.0	0.0	0.0	0.7848817592154869	0.7919688304444588
3	2	9	0.00896809528219569	0.42591922170981705	0.6666666666666666	6.763261972442963	0.6324126264714107	0.0	2.0	2.0	0.0	0.0	0.6887450878328883	0.8549936889948554
3	3	9	0.039837126876252196	0.688607078522937	0.8888888888888888	6.2729613713267955	0.6753617527675261	0.0	2.0	2.0	0.0	0.0	0.8224918499567831	0.8242903323867111
3	4	9	0.02605939172368601	0.4663831772944802	0.5555555555555556	5.723673381013983	0.5345046833357305	0.0	2.0	2.0	0.0	0.0	0.7788094046280236	0.8404364817678114
3	5	9	-0.001186617183135335	0.3409387926475008	0.8888888888888888	6.346004693696793	0.718890659040619	0.0	2.0	2.0	0.0	0.0	0.727759196088009	0.8184491656472435
3	6	9	-8.985975299709755e-06	0.3879982134631037	0.5555555555555556	6.348433117443016	0.8592937112899536	0.0	2.0	2.0	0.0	0.0	0.7277458338475093	0.8405176129487539
3	7	9	-0.007428791350058805	0.23471667829092813	0.7777777777777778	6.200780318785593	0.8438315882468624	0.0	2.0	2.0	0.0	0.0	0.6504011062469581	0.8594406592763798
3	8	9	0.013987376030800629	0.5555254767391227	1.0	6.052875182015611	0.8846710529907497	0.0	2.0	2.0	0.0	0.0	0.7531375413683711	0.8197482134402062
4	1	9	0.008489728982367044	0.5262841511981996	1.0	6.726064840234237	0.902724491552823	0.0	2.0	2.0	0.0	0.0	0.7552559196838985	0.8143509494497889
4	2	9	0.03065727741759948	0.6404688736870867	1.0	6.168743132007808	0.7934866775601139	0.0	2.0	2.0	0.0	0.0	0.7706301820011952	0.8022533055833465
4	3	9	0.02862080892499097	0.6221222844498018	0.8888888888888888	6.741031824722114	0.7708506909711528	0.0	2.0	2.0	0.0	0.0	0.7601625791232873	0.8257581080867765
4	4	9	0.02281137405159022	0.5097079061823311	0.8888888888888888	6.1317740787324775	0.6997093522326974	0.0	2.0	2.0	0.0	0.0	0.7858066838512126	0.7883303565705755
4	5	9	0.04402147264253985	0.6912141390831901	0.8888888888888888	6.715896307990643	0.7044025932570637	0.0	2.0	2.0	0.0	0.0	0.7877403226120887	0.8084994677919082
4	6	9	0.013225744426414086	0.47215908178855437	1.0	6.5905839237717485	1.0400459738917023	0.0	2.0	2.0	0.0	0.0	0.6828015673599349	0.8353244031724967
4	7	9	0.010498529355703378	0.41477775881341933	1.0	6.65122254727248	0.6281138286445412	0.0	2.0	2.0	0.0	0.0	0.6552400169923476	0.8406556090772432
4	8	9	0.022229897720819243	0.5732538334721561	0.7777777777777778	6.1896645718385175	0.678844756844092	0.0	2.0	2.0	0.0	0.0	0.7608728728034426	0.8106074522537036
