seed	benchmark	representation	baseline	status	transition_improvement	delta_cosine	condition_recall_at_1	delta_prediction_effective_rank	delta_magnitude_ratio
1	synth_program_aligned_genetic_lite	true_synthetic_z_bio	source_only_ridge	completed	0.03332404712898719	0.39789889498182524	0.3333333333333333	6.766764894281757	0.4334911011150187
1	synth_program_aligned_genetic_lite	true_synthetic_z_bio	source_plus_program_action	completed	0.17612808792797915	0.9549995836621555	1.0	3.7009134208432632	0.9655386377500115
1	synth_program_aligned_genetic_lite	true_synthetic_z_bio	program_action_only	completed	0.17548265013278538	0.954271044956526	1.0	1.998874427942829	0.9616796796245342
2	synth_program_aligned_genetic_lite	celljepa_rna_z	source_as_target	completed	0.0	0.0	0.3333333333333333	0.0	0.0
2	synth_program_aligned_genetic_lite	celljepa_rna_z	source_only_ridge	completed	1.730402580870896e-05	0.4892331114338453	0.2222222222222222	3.7845355241499443	1.07069401604957
2	synth_program_aligned_genetic_lite	celljepa_rna_z	source_plus_program_action	completed	3.399171866247386e-05	0.7141421702526711	0.6296296296296297	4.421314408461977	1.0864400334241264
2	synth_program_aligned_genetic_lite	celljepa_rna_z	program_action_only	completed	1.4299840368286814e-05	0.497522560560689	0.3333333333333333	1.5794993110252693	0.9266398727809523
2	synth_program_aligned_genetic_lite	observed_rna_train_pca	source_as_target	completed	0.0	0.0	0.3333333333333333	0.0	0.0
2	synth_program_aligned_genetic_lite	observed_rna_train_pca	source_only_ridge	completed	0.03039425349873643	0.4876140654466471	0.3333333333333333	7.195746122446383	0.6948901778271119
2	synth_program_aligned_genetic_lite	observed_rna_train_pca	source_plus_program_action	completed	0.10372015262959243	0.8967476297973342	1.0	7.7196823664979854	1.0078310110919566
2	synth_program_aligned_genetic_lite	observed_rna_train_pca	program_action_only	completed	0.07861852094641517	0.7857298184368605	0.9629629629629629	1.9120898468599623	0.8742171907688393
2	synth_program_aligned_genetic_lite	true_synthetic_z_bio	source_as_target	completed	0.0	0.0	0.3333333333333333	0.0	0.0
2	synth_program_aligned_genetic_lite	true_synthetic_z_bio	source_only_ridge	completed	0.020930454773517137	0.4065762553573382	0.3333333333333333	6.628155891604647	0.5683973387981353
2	synth_program_aligned_genetic_lite	true_synthetic_z_bio	source_plus_program_action	completed	0.1252167257592387	0.9606052286906431	1.0	3.629764436476668	1.0138062907505987
2	synth_program_aligned_genetic_lite	true_synthetic_z_bio	program_action_only	completed	0.12507697719503433	0.9606338309870767	1.0	1.9732411148095437	1.0095337965763003
3	synth_program_aligned_genetic_lite	celljepa_rna_z	source_as_target	completed	0.0	0.0	0.2962962962962963	0.0	0.0
3	synth_program_aligned_genetic_lite	celljepa_rna_z	source_only_ridge	completed	6.743776107719656e-05	0.6663513151228995	0.2222222222222222	3.3149058687458126	0.8069547440332353
3	synth_program_aligned_genetic_lite	celljepa_rna_z	source_plus_program_action	completed	9.052493547081732e-05	0.7274859366318793	0.37037037037037035	4.2102932061193785	0.9237666762833804
3	synth_program_aligned_genetic_lite	celljepa_rna_z	program_action_only	completed	3.5639181725888314e-05	0.4139442853440983	0.37037037037037035	1.5344445610062794	0.9410055255637039
3	synth_program_aligned_genetic_lite	observed_rna_train_pca	source_as_target	completed	0.0	0.0	0.3333333333333333	0.0	0.0
3	synth_program_aligned_genetic_lite	observed_rna_train_pca	source_only_ridge	completed	0.14856609832637804	0.5745605726366921	0.3333333333333333	7.168096917591276	0.7244530049833928
3	synth_program_aligned_genetic_lite	observed_rna_train_pca	source_plus_program_action	completed	0.5181417064563216	0.9042793467028707	1.0	7.913143090214886	0.9843501232209576
