policy	benchmark	seed	representation	eval_cell_image_latent_cosine	real_transition	real_delta_cosine	real_recall_at_1	real_delta_rank	real_magnitude_ratio	eval_effective_rank_z	train_perturbation_probe_cv	train_batch_probe_cv	inner_mean_transition	inner_min_transition	inner_mean_delta_cosine	inner_min_delta_cosine	inner_mean_recall_at_1	inner_min_recall_at_1	inner_fold_count	transition_optimism	delta_optimism	recall_optimism	abs_transition_optimism	abs_delta_optimism
random_perturbation	synth_program_aligned_random_holdout_lite	36	rna_relational_student_embedding	-0.11113761559296098	0.06137205207571181	0.7033518391859338	0.7777777777777778	6.840669888024169	1.0097245976531626	5.546432843628953	0.08333333333333333	0.2638888888888889	0.05235934797496486	-0.0030046917438510587	0.7175465102595502	0.4434677017373325	1.0	1.0	8.0	-0.009012704100746949	0.014194671073616383	0.2222222222222222	0.009012704100746949	0.014194671073616383
random_perturbation	synth_program_aligned_random_holdout_lite	36	rna_relational_predicted_image_latent	0.7619567332770745	0.03109981654694741	0.5488105273887928	0.48148148148148145	6.128035201407793	1.203444734230023	4.9500014707615065	0.08333333333333333	0.2222222222222222	0.05629714285164383	-0.0030234667646247765	0.6987873187238958	0.40813469111500217	1.0	1.0	8.0	0.025197326304696423	0.149976791335103	0.5185185185185186	0.025197326304696423	0.149976791335103
stratified_program	synth_program_aligned_stratified_holdout_lite	34	observed_rna_train_pca	0.10698238187747883	0.2408949407365648	0.8945632546726583	1.0	7.836600029552756	1.107825610252968	10.210053759845152	0.20833333333333334	0.4027777777777778	0.3536406902738766	0.21962026243660887	0.848052711900558	0.8004168050036176	1.0	1.0	8.0	0.11274574953731181	-0.046510542772100316	0.0	0.11274574953731181	0.046510542772100316
stratified_program	synth_program_aligned_stratified_holdout_lite	34	image_train_pca	1.0	0.3007187174274544	0.9706652620247295	1.0	4.020182277673615	1.00699607568182	7.245415300501227	0.3888888888888889	0.5694444444444444	0.2908519816405286	0.21340772596192897	0.9517361753227946	0.9344770373905606	1.0	1.0	8.0	-0.009866735786925762	-0.018929086701934827	0.0	0.009866735786925762	0.018929086701934827
stratified_program	synth_program_aligned_stratified_holdout_lite	34	rna_relational_student_embedding	-0.014072731799034673	0.16766039085262457	0.9297649855344058	0.8888888888888888	6.176742381476341	1.0543673546779342	7.258304373032827	0.18055555555555555	0.3194444444444444	0.20744133333826442	0.14068145546457908	0.9264022238099505	0.8926060453276254	1.0	1.0	8.0	0.03978094248563985	-0.0033627617244552654	0.11111111111111116	0.03978094248563985	0.0033627617244552654
stratified_program	synth_program_aligned_stratified_holdout_lite	34	rna_relational_predicted_image_latent	0.7975351890394717	0.14476768313437288	0.945677564598077	0.9259259259259259	4.698098031171701	1.021822336880024	5.618035134607295	0.1527777777777778	0.3194444444444444	0.1772566144842879	0.09023731235152642	0.9322226558270938	0.9102525953037204	1.0	1.0	8.0	0.03248893134991501	-0.013454908770983098	0.07407407407407407	0.03248893134991501	0.013454908770983098
stratified_program	synth_program_aligned_stratified_holdout_lite	35	observed_rna_train_pca	-0.1296639700936865	0.5180757704883505	0.9690441674043012	0.8518518518518519	6.337577887598266	0.9979603580092944	6.454370561828533	0.19444444444444445	0.3055555555555556	0.4353117476121261	0.252419765835014	0.9149243518377421	0.8459234347026834	0.9444444444444444	0.6666666666666666	8.0	-0.08276402287622442	-0.05411981556655909	0.09259259259259256	0.08276402287622442	0.05411981556655909
stratified_program	synth_program_aligned_stratified_holdout_lite	35	image_train_pca	1.0	0.1865484734631357	0.9757400715116729	1.0	3.6845285697037906	0.9582489768966774	6.529327480898136	0.3194444444444444	0.3055555555555556	0.167260787327491	0.09927418349029735	0.9572108640348047	0.9332411602833335	1.0	1.0	8.0	-0.019287686135644688	-0.018529207476868148	0.0	0.019287686135644688	0.018529207476868148
stratified_program	synth_program_aligned_stratified_holdout_lite	35	rna_relational_student_embedding	-0.024774821254354748	0.2791595108400488	0.9150919827989087	0.5555555555555556	5.181630089263545	0.8887421137349727	6.001045500517897	0.125	0.25	0.20746822506486	-0.0004755175753531225	0.8957249747222982	0.836201763327417	1.0	1.0	8.0	-0.0716912857751888	-0.019367008076610515	0.4444444444444444	0.0716912857751888	0.019367008076610515
stratified_program	synth_program_aligned_stratified_holdout_lite	35	rna_relational_predicted_image_latent	0.517279664365377	0.20748658512256965	0.7782880183782739	0.5555555555555556	4.734939448209199	1.0664299734098925	5.920130351898291	0.08333333333333333	0.2361111111111111	0.1939182674771714	0.024160048695807235	0.7338100070648633	0.5280439250851273	1.0	1.0	8.0	-0.013568317645398259	-0.04447801131341056	0.4444444444444444	0.013568317645398259	0.04447801131341056
stratified_program	synth_program_aligned_stratified_holdout_lite	36	observed_rna_train_pca	0.49396943431474133	0.2364216667866631	0.8891931033623423	0.9629629629629629	7.751806403632023	0.9162248357729053	6.758132198044676	0.19444444444444445	0.25	0.23471718980655487	0.16241387489264422	0.8158034795969755	0.6679860856317422	1.0	1.0	8.0	-0.0017044769801082271	-0.07338962376536673	0.03703703703703709	0.0017044769801082271	0.07338962376536673
stratified_program	synth_program_aligned_stratified_holdout_lite	36	image_train_pca	1.0	0.23568503449948722	0.963033677143346	1.0	3.9103795460970963	1.0281373159832992	7.002894761853632	0.3472222222222222	0.2777777777777778	0.2635378828018176	0.18617359636360656	0.9568143162893408	0.9476873712450092	1.0	1.0	8.0	0.027852848302330396	-0.006219360854005207	0.0	0.027852848302330396	0.006219360854005207
stratified_program	synth_program_aligned_stratified_holdout_lite	36	rna_relational_student_embedding	-0.09055692646281385	0.010180783427287097	0.7029024847579641	0.8148148148148148	7.3827904893455	1.0224307357790952	5.0159562717370285	0.09722222222222222	0.25	0.08166357621254541	0.008031158264239712	0.7437367710454912	0.38414174362361814	1.0	1.0	8.0	0.07148279278525832	0.040834286287527055	0.18518518518518523	0.07148279278525832	0.040834286287527055
stratified_program	synth_program_aligned_stratified_holdout_lite	36	rna_relational_predicted_image_latent	0.742033808855762	0.016784826419309343	0.551094808822137	0.8148148148148148	5.8188033524753235	1.606649096588688	4.855571324991133	0.06944444444444445	0.3055555555555556	0.07643042313236784	-0.0007567527391849257	0.7326660690594065	0.5023624469558722	1.0	1.0	8.0	0.059645596713058496	0.18157126023726944	0.18518518518518523	0.059645596713058496	0.18157126023726944
