metric,value
rna_counterfactual_by_group=BRD-A05186015|10.0|24.0|A549_direction_accuracy,0.8139059304703476
rna_counterfactual_by_group=BRD-A05186015|10.0|24.0|A549_top20_de_overlap,0.25
rna_counterfactual_by_group=BRD-A05186015|10.0|24.0|A549_top50_de_overlap,0.3
rna_counterfactual_by_group=BRD-A05186015|10.0|24.0|A549_top100_de_overlap,0.36
rna_counterfactual_by_group=BRD-A05334458|10.0|24.0|A549_pseudobulk_correlation,0.6904096962067993
rna_counterfactual_by_group=BRD-A05334458|10.0|24.0|A549_logfc_correlation,0.6280939595800301
rna_counterfactual_by_group=BRD-A05334458|10.0|24.0|A549_direction_accuracy,0.7852760736196319
rna_counterfactual_by_group=BRD-A05334458|10.0|24.0|A549_top20_de_overlap,0.1
rna_counterfactual_by_group=BRD-A05334458|10.0|24.0|A549_top50_de_overlap,0.26
rna_counterfactual_by_group=BRD-A05334458|10.0|24.0|A549_top100_de_overlap,0.42
rna_counterfactual_by_group=BRD-A05457250|10.0|24.0|A549_pseudobulk_correlation,0.7527164941184472
rna_counterfactual_by_group=BRD-A05457250|10.0|24.0|A549_logfc_correlation,0.7158468664033159
rna_counterfactual_by_group=BRD-A05457250|10.0|24.0|A549_direction_accuracy,0.7975460122699386
rna_counterfactual_by_group=BRD-A05457250|10.0|24.0|A549_top20_de_overlap,0.35
rna_counterfactual_by_group=BRD-A05457250|10.0|24.0|A549_top50_de_overlap,0.3
rna_counterfactual_by_group=BRD-A05457250|10.0|24.0|A549_top100_de_overlap,0.37
rna_counterfactual_by_group=BRD-A05523972|10.0|24.0|A549_pseudobulk_correlation,0.6997414844294089
rna_counterfactual_by_group=BRD-A05523972|10.0|24.0|A549_logfc_correlation,0.6683220731603817
rna_counterfactual_by_group=BRD-A05523972|10.0|24.0|A549_direction_accuracy,0.7883435582822086
rna_counterfactual_by_group=BRD-A05523972|10.0|24.0|A549_top20_de_overlap,0.2
rna_counterfactual_by_group=BRD-A05523972|10.0|24.0|A549_top50_de_overlap,0.32
rna_counterfactual_by_group=BRD-A05523972|10.0|24.0|A549_top100_de_overlap,0.39
rna_counterfactual_by_group=BRD-A05821830|10.0|24.0|A549_pseudobulk_correlation,0.8309159945004341
rna_counterfactual_by_group=BRD-A05821830|10.0|24.0|A549_logfc_correlation,0.8313875957580315
rna_counterfactual_by_group=BRD-A05821830|10.0|24.0|A549_direction_accuracy,0.8640081799591002
rna_counterfactual_by_group=BRD-A05821830|10.0|24.0|A549_top20_de_overlap,0.3
rna_counterfactual_by_group=BRD-A05821830|10.0|24.0|A549_top50_de_overlap,0.48
rna_counterfactual_by_group=BRD-A05821830|10.0|24.0|A549_top100_de_overlap,0.47
rna_counterfactual_by_group=BRD-A06916187|10.0|24.0|A549_pseudobulk_correlation,0.7121520824186804
rna_counterfactual_by_group=BRD-A06916187|10.0|24.0|A549_logfc_correlation,0.6907396447209536
rna_counterfactual_by_group=BRD-A06916187|10.0|24.0|A549_direction_accuracy,0.7862985685071575
rna_counterfactual_by_group=BRD-A06916187|10.0|24.0|A549_top20_de_overlap,0.15
rna_counterfactual_by_group=BRD-A06916187|10.0|24.0|A549_top50_de_overlap,0.38
rna_counterfactual_by_group=BRD-A06916187|10.0|24.0|A549_top100_de_overlap,0.46
rna_counterfactual_by_group=BRD-A06935312|10.0|24.0|A549_pseudobulk_correlation,0.7293252958634044
rna_counterfactual_by_group=BRD-A06935312|10.0|24.0|A549_logfc_correlation,0.72282807277564
rna_counterfactual_by_group=BRD-A06935312|10.0|24.0|A549_direction_accuracy,0.7903885480572597
rna_counterfactual_by_group=BRD-A06935312|10.0|24.0|A549_top20_de_overlap,0.2
rna_counterfactual_by_group=BRD-A06935312|10.0|24.0|A549_top50_de_overlap,0.3
rna_counterfactual_by_group=BRD-A06935312|10.0|24.0|A549_top100_de_overlap,0.36
rna_counterfactual_by_group=BRD-A07395371|10.0|24.0|A549_pseudobulk_correlation,0.7332204931873069
rna_counterfactual_by_group=BRD-A07395371|10.0|24.0|A549_logfc_correlation,0.7174472672320658
rna_counterfactual_by_group=BRD-A07395371|10.0|24.0|A549_direction_accuracy,0.7842535787321063
rna_counterfactual_by_group=BRD-A07395371|10.0|24.0|A549_top20_de_overlap,0.3
rna_counterfactual_by_group=BRD-A07395371|10.0|24.0|A549_top50_de_overlap,0.38
rna_counterfactual_by_group=BRD-A07395371|10.0|24.0|A549_top100_de_overlap,0.45
rna_counterfactual_by_group=BRD-A07440155|10.0|24.0|A549_pseudobulk_correlation,0.7322221787564543
rna_counterfactual_by_group=BRD-A07440155|10.0|24.0|A549_logfc_correlation,0.7201155271390094
rna_counterfactual_by_group=BRD-A07440155|10.0|24.0|A549_direction_accuracy,0.7811860940695297
rna_counterfactual_by_group=BRD-A07440155|10.0|24.0|A549_top20_de_overlap,0.2
rna_counterfactual_by_group=BRD-A07440155|10.0|24.0|A549_top50_de_overlap,0.36
rna_counterfactual_by_group=BRD-A07440155|10.0|24.0|A549_top100_de_overlap,0.36
rna_counterfactual_by_group=BRD-A07563059|10.0|24.0|A549_pseudobulk_correlation,0.6749894253514223
rna_counterfactual_by_group=BRD-A07563059|10.0|24.0|A549_logfc_correlation,0.6414956995034529
rna_counterfactual_by_group=BRD-A07563059|10.0|24.0|A549_direction_accuracy,0.8098159509202454
rna_counterfactual_by_group=BRD-A07563059|10.0|24.0|A549_top20_de_overlap,0.1
rna_counterfactual_by_group=BRD-A07563059|10.0|24.0|A549_top50_de_overlap,0.2
rna_counterfactual_by_group=BRD-A07563059|10.0|24.0|A549_top100_de_overlap,0.37
rna_counterfactual_by_group=BRD-A07704283|10.0|24.0|A549_pseudobulk_correlation,0.7509715939112377
rna_counterfactual_by_group=BRD-A07704283|10.0|24.0|A549_logfc_correlation,0.7324222518157766
rna_counterfactual_by_group=BRD-A07704283|10.0|24.0|A549_direction_accuracy,0.7658486707566462
rna_counterfactual_by_group=BRD-A07704283|10.0|24.0|A549_top20_de_overlap,0.5
rna_counterfactual_by_group=BRD-A07704283|10.0|24.0|A549_top50_de_overlap,0.48
rna_counterfactual_by_group=BRD-A07704283|10.0|24.0|A549_top100_de_overlap,0.46
rna_counterfactual_by_group=BRD-A07815743|10.0|24.0|A549_pseudobulk_correlation,0.7936346709361926
rna_counterfactual_by_group=BRD-A07815743|10.0|24.0|A549_logfc_correlation,0.7785626568933462
rna_counterfactual_by_group=BRD-A07815743|10.0|24.0|A549_direction_accuracy,0.8149284253578732
rna_counterfactual_by_group=BRD-A07815743|10.0|24.0|A549_top20_de_overlap,0.25
rna_counterfactual_by_group=BRD-A07815743|10.0|24.0|A549_top50_de_overlap,0.44
rna_counterfactual_by_group=BRD-A07815743|10.0|24.0|A549_top100_de_overlap,0.47
rna_counterfactual_by_group=BRD-A07986123|10.0|24.0|A549_pseudobulk_correlation,0.7256552628321781
rna_counterfactual_by_group=BRD-A07986123|10.0|24.0|A549_logfc_correlation,0.7272297872233366
rna_counterfactual_by_group=BRD-A07986123|10.0|24.0|A549_direction_accuracy,0.8220858895705522
rna_counterfactual_by_group=BRD-A07986123|10.0|24.0|A549_top20_de_overlap,0.35
rna_counterfactual_by_group=BRD-A07986123|10.0|24.0|A549_top50_de_overlap,0.36
rna_counterfactual_by_group=BRD-A07986123|10.0|24.0|A549_top100_de_overlap,0.53
rna_counterfactual_by_group=BRD-A08187463|10.0|24.0|A549_pseudobulk_correlation,0.6761286024305627
rna_counterfactual_by_group=BRD-A08187463|10.0|24.0|A549_logfc_correlation,0.6870671802520355
rna_counterfactual_by_group=BRD-A08187463|10.0|24.0|A549_direction_accuracy,0.787321063394683
rna_counterfactual_by_group=BRD-A08187463|10.0|24.0|A549_top20_de_overlap,0.2
rna_counterfactual_by_group=BRD-A08187463|10.0|24.0|A549_top50_de_overlap,0.3
rna_counterfactual_by_group=BRD-A08187463|10.0|24.0|A549_top100_de_overlap,0.41
rna_counterfactual_by_group=BRD-A08545410|10.0|24.0|A549_pseudobulk_correlation,0.7349812661746413
rna_counterfactual_by_group=BRD-A08545410|10.0|24.0|A549_logfc_correlation,0.7309907536714119
rna_counterfactual_by_group=BRD-A08545410|10.0|24.0|A549_direction_accuracy,0.7699386503067485
rna_counterfactual_by_group=BRD-A08545410|10.0|24.0|A549_top20_de_overlap,0.4
rna_counterfactual_by_group=BRD-A08545410|10.0|24.0|A549_top50_de_overlap,0.44
