baseline,group,n_samples,pearson_delta,spearman_delta,delta_mae,delta_mse,top50_jaccard_delta,top50_de_recovery,perturbation_split,perturbation
control_mean,overall,277,0.0,0.0,0.9030647210755056,2.0024347081671645,0.0,0.07530685920577618,,
control_mean,held_out|BRD-A97808748,1,0.0,0.0,0.8690430341662863,1.4784688922840878,0.041666666666666664,0.02,held_out,BRD-A97808748
control_mean,held_out|BRD-K00077635,1,0.0,0.0,0.9118692981263872,1.4690326528645743,0.0,0.02,held_out,BRD-K00077635
control_mean,held_out|BRD-K00494077,1,0.0,0.0,0.9613192102975257,1.6587501344630262,0.030927835051546393,0.04,held_out,BRD-K00494077
control_mean,held_out|BRD-K00603606,1,0.0,0.0,0.5616235229145198,0.7304039395658838,0.06382978723404255,0.1,held_out,BRD-K00603606
control_mean,held_out|BRD-K00674894,1,0.0,0.0,1.0749927272460331,1.9741261775395713,0.010101010101010102,0.0,held_out,BRD-K00674894
control_mean,held_out|BRD-K01638814,1,0.0,0.0,0.5720093645911102,0.5740893930819247,0.0,0.04,held_out,BRD-K01638814
control_mean,held_out|BRD-K01815685,1,0.0,0.0,0.7919916465476471,1.4575693567956924,0.05263157894736842,0.1,held_out,BRD-K01815685
control_mean,held_out|BRD-K02389548,1,0.0,0.0,1.4235204561586394,3.462968233951161,0.041666666666666664,0.12,held_out,BRD-K02389548
control_mean,held_out|BRD-K02501528,1,0.0,0.0,0.7016463238153657,1.1920924484998867,0.05263157894736842,0.1,held_out,BRD-K02501528
control_mean,held_out|BRD-K03384561,1,0.0,0.0,0.7469408372284876,1.245792885402022,0.06382978723404255,0.04,held_out,BRD-K03384561
control_mean,held_out|BRD-K04112579,1,0.0,0.0,0.8026712906186944,1.149877793219867,0.06382978723404255,0.12,held_out,BRD-K04112579
control_mean,held_out|BRD-K04804440,1,0.0,0.0,0.7051738654462546,1.0000991347014128,0.041666666666666664,0.04,held_out,BRD-K04804440
control_mean,held_out|BRD-K04887706,1,0.0,0.0,0.6576762700454455,1.000214987221898,0.030927835051546393,0.04,held_out,BRD-K04887706
control_mean,held_out|BRD-K05236810,1,0.0,0.0,0.8989747271911966,1.6951258322021872,0.041666666666666664,0.1,held_out,BRD-K05236810
control_mean,held_out|BRD-K05674516,1,0.0,0.0,0.6113212102020388,0.6932681280762386,0.010101010101010102,0.08,held_out,BRD-K05674516
control_mean,held_out|BRD-K06762493,1,0.0,0.0,0.6362225200168392,0.8146937560021672,0.041666666666666664,0.1,held_out,BRD-K06762493
control_mean,held_out|BRD-K07106112,1,0.0,0.0,0.835656275432542,1.476144511392639,0.030927835051546393,0.14,held_out,BRD-K07106112
control_mean,held_out|BRD-K07160047,1,0.0,0.0,0.5817388611159715,0.7076618878894038,0.030927835051546393,0.1,held_out,BRD-K07160047
control_mean,held_out|BRD-K07208025,1,0.0,0.0,0.9433513367703052,1.7945184940475245,0.02040816326530612,0.1,held_out,BRD-K07208025
control_mean,held_out|BRD-K07572174,1,0.0,0.0,0.8951301403203143,1.269971160589068,0.02040816326530612,0.06,held_out,BRD-K07572174
control_mean,held_out|BRD-K07609981,1,0.0,0.0,0.7237639166532736,0.9985832401653699,0.0,0.02,held_out,BRD-K07609981
control_mean,held_out|BRD-K07753030,1,0.0,0.0,0.6528902497509987,0.9046818253685491,0.02040816326530612,0.06,held_out,BRD-K07753030
control_mean,held_out|BRD-K08252256,1,0.0,0.0,0.638953980234024,0.8911444705302346,0.05263157894736842,0.12,held_out,BRD-K08252256
control_mean,held_out|BRD-K08924299,1,0.0,0.0,0.6524138330972419,0.9304239999477092,0.02040816326530612,0.02,held_out,BRD-K08924299
control_mean,held_out|BRD-K10843433,1,0.0,0.0,0.865930971339439,1.4574104623329518,0.030927835051546393,0.04,held_out,BRD-K10843433
control_mean,held_out|BRD-K11129031,1,0.0,0.0,0.6485995634086816,0.8653736944483588,0.041666666666666664,0.08,held_out,BRD-K11129031
control_mean,held_out|BRD-K11153516,1,0.0,0.0,0.7515471634067014,1.0201086634138596,0.030927835051546393,0.08,held_out,BRD-K11153516
control_mean,held_out|BRD-K11973162,1,0.0,0.0,0.567148042281822,0.587602251939391,0.030927835051546393,0.06,held_out,BRD-K11973162
control_mean,held_out|BRD-K12609457,1,0.0,0.0,0.5551400023739486,0.6246744780271971,0.030927835051546393,0.12,held_out,BRD-K12609457
control_mean,held_out|BRD-K12787259,1,0.0,0.0,1.9439755110396497,7.641448054729495,0.02040816326530612,0.1,held_out,BRD-K12787259
control_mean,held_out|BRD-K12994359,1,0.0,0.0,0.5515629869320395,0.5875161545483035,0.030927835051546393,0.04,held_out,BRD-K12994359
control_mean,held_out|BRD-K13390322,1,0.0,0.0,3.564574406463203,19.341159132756626,0.0,0.02,held_out,BRD-K13390322
control_mean,held_out|BRD-K13926615,1,0.0,0.0,0.5843927600848801,0.5988193742502569,0.030927835051546393,0.08,held_out,BRD-K13926615
control_mean,held_out|BRD-K14175878,1,0.0,0.0,0.515881175071936,0.49638075635897616,0.041666666666666664,0.06,held_out,BRD-K14175878
control_mean,held_out|BRD-K14529030,1,0.0,0.0,0.6729015149447507,0.8976387737112438,0.030927835051546393,0.04,held_out,BRD-K14529030
control_mean,held_out|BRD-K15976406,1,0.0,0.0,1.3888620486274972,3.984837173504816,0.030927835051546393,0.02,held_out,BRD-K15976406
control_mean,held_out|BRD-K16133773,1,0.0,0.0,0.7158679702400486,1.0739972864178364,0.010101010101010102,0.08,held_out,BRD-K16133773
control_mean,held_out|BRD-K16195444,1,0.0,0.0,0.7382864446133416,1.1078955864196962,0.05263157894736842,0.14,held_out,BRD-K16195444
control_mean,held_out|BRD-K16295392,1,0.0,0.0,0.6841733571766054,0.9917038517179856,0.010101010101010102,0.08,held_out,BRD-K16295392
control_mean,held_out|BRD-K16730910,1,0.0,0.0,1.1835346023348694,2.852922238361553,0.041666666666666664,0.08,held_out,BRD-K16730910
control_mean,held_out|BRD-K16761703,1,0.0,0.0,0.9401111254640921,1.7876903244340272,0.041666666666666664,0.08,held_out,BRD-K16761703
control_mean,held_out|BRD-K16803204,1,0.0,0.0,0.7100019610434337,0.9108403254145514,0.02040816326530612,0.08,held_out,BRD-K16803204
control_mean,held_out|BRD-K17561142,1,0.0,0.0,0.880930775151587,1.814756339615866,0.041666666666666664,0.04,held_out,BRD-K17561142
control_mean,held_out|BRD-K17894950,1,0.0,0.0,0.7786487618692735,1.235962143060542,0.041666666666666664,0.06,held_out,BRD-K17894950
control_mean,held_out|BRD-K17930269,1,0.0,0.0,0.6704503356375944,0.9815254939162975,0.030927835051546393,0.12,held_out,BRD-K17930269
control_mean,held_out|BRD-K19352500,1,0.0,0.0,0.7660592979194779,1.245321347168009,0.041666666666666664,0.06,held_out,BRD-K19352500
control_mean,held_out|BRD-K19939891,1,0.0,0.0,0.7096997012137628,1.0394744845995343,0.041666666666666664,0.1,held_out,BRD-K19939891
control_mean,held_out|BRD-K20285085,1,0.0,0.0,1.2689308261405046,2.9426437144048636,0.030927835051546393,0.1,held_out,BRD-K20285085
control_mean,held_out|BRD-K20920669,1,0.0,0.0,0.6717030460279071,0.9877979784682235,0.041666666666666664,0.12,held_out,BRD-K20920669
control_mean,held_out|BRD-K22024824,1,0.0,0.0,0.8361933287124191,1.4598330908535313,0.05263157894736842,0.18,held_out,BRD-K22024824
control_mean,held_out|BRD-K22822991,1,0.0,0.0,0.7104184717165163,1.0681354621156192,0.041666666666666664,0.1,held_out,BRD-K22822991
control_mean,held_out|BRD-K23248433,1,0.0,0.0,0.7331847166497427,1.101945810449953,0.041666666666666664,0.08,held_out,BRD-K23248433
control_mean,held_out|BRD-K24723746,1,0.0,0.0,0.7663086762391519,1.1795434793565194,0.02040816326530612,0.08,held_out,BRD-K24723746
control_mean,held_out|BRD-K25433859,1,0.0,0.0,0.73017077625119,1.299752576218734,0.010101010101010102,0.04,held_out,BRD-K25433859
control_mean,held_out|BRD-K26325692,1,0.0,0.0,0.673185726023677,0.9056311424185589,0.041666666666666664,0.14,held_out,BRD-K26325692
control_mean,held_out|BRD-K26657438,1,0.0,0.0,0.5500594639018349,0.591586529187064,0.05263157894736842,0.1,held_out,BRD-K26657438
control_mean,held_out|BRD-K27184429,1,0.0,0.0,0.8744747962390791,1.4810410171798287,0.041666666666666664,0.14,held_out,BRD-K27184429
control_mean,held_out|BRD-K27955832,1,0.0,0.0,0.6323716563167736,0.7851064912128519,0.02040816326530612,0.12,held_out,BRD-K27955832
control_mean,held_out|BRD-K28217197,1,0.0,0.0,0.7196050104996079,1.0698185954671664,0.02040816326530612,0.08,held_out,BRD-K28217197
control_mean,held_out|BRD-K28428262,1,0.0,0.0,0.7392290085969059,0.9282992406415371,0.041666666666666664,0.1,held_out,BRD-K28428262
control_mean,held_out|BRD-K28470988,1,0.0,0.0,0.5223740708943312,0.5203468494808721,0.041666666666666664,0.02,held_out,BRD-K28470988
control_mean,held_out|BRD-K28761891,1,0.0,0.0,0.6155988778166901,0.7443324492610529,0.030927835051546393,0.04,held_out,BRD-K28761891
control_mean,held_out|BRD-K28971625,1,0.0,0.0,2.1259811800082544,8.11615562750142,0.030927835051546393,0.04,held_out,BRD-K28971625
control_mean,held_out|BRD-K29133151,1,0.0,0.0,0.5757310020890593,0.599017383868783,0.010101010101010102,0.04,held_out,BRD-K29133151
control_mean,held_out|BRD-K29359156,1,0.0,0.0,0.6285586082936135,0.8735364920824187,0.05263157894736842,0.04,held_out,BRD-K29359156
control_mean,held_out|BRD-K29968218,1,0.0,0.0,1.3955295064932398,3.7141908544184883,0.02040816326530612,0.06,held_out,BRD-K29968218
control_mean,held_out|BRD-K31092604,1,0.0,0.0,0.6029011386799065,0.7486368814470779,0.030927835051546393,0.08,held_out,BRD-K31092604
control_mean,held_out|BRD-K31135544,1,0.0,0.0,0.7898122233332104,1.4115776099154402,0.0,0.02,held_out,BRD-K31135544
control_mean,held_out|BRD-K31519811,1,0.0,0.0,0.7668313294108732,1.327667855778728,0.041666666666666664,0.08,held_out,BRD-K31519811
control_mean,held_out|BRD-K32744045,1,0.0,0.0,0.779328832524187,1.1184218890568531,0.02040816326530612,0.08,held_out,BRD-K32744045
