aggregator	mode	split	stage	rows	dims	min_std	mean_std	rank	effective_rank	mean_norm	pairwise_cosine_mean	pairwise_cosine_std	collapse_flag	bio_latent_r2_from_train
attention	eval	val	image_projection_pre_norm	32	32	0.003724625150382309	0.013085835661953532	19	6.432281184620561	3.7345865323492387	0.9995245398998529	0.0003800360213303297	True	0.8751605336064133
attention	eval	val	rna_projection_norm_instance_mean	32	32	0.003920640844234654	0.008324370002433305	19	8.162184649415886	0.9999999868958002	0.9974104770762807	0.002193404027425876	True	-0.029107503475740648
attention	eval	val	image_projection_norm_instance_mean	32	32	0.001067974912043088	0.0034680583349092266	13	6.4148700951789595	0.9999999975002429	0.9995245396920309	0.00038003615756553624	True	0.7970023915330557
attention	eval	val	rna_shared	32	32	0.005871314007378819	0.027729215847802004	22	7.345239614652361	5.69030022573369	0.9990521838817757	0.0008688772659127769	True	-0.34830863557270386
attention	eval	val	image_shared	32	32	0.00435797522525892	0.012643081038644583	17	5.941194886273651	5.716795630534174	0.9998040761995125	0.00016300813249799453	True	0.8656236500556777
attention	eval	test	rna_raw_cls	32	32	0.03052199964397489	0.07148173107348593	30	10.278084896271778	5.7347396589339334	0.994054878921853	0.004916388432189345	False	-0.7250795349569106
attention	eval	test	image_raw_cls	32	32	0.0055401554351699085	0.01169984434569854	24	9.479533387187411	5.777191296825855	0.9998448251990263	0.00010457337525474946	True	0.9256241021405789
attention	eval	test	rna_token_mean	32	32	0.009604980752364808	0.041935737613321616	30	8.470459620377103	2.421370835893873	0.9937923147550219	0.007407488627508564	True	0.10490239195514917
attention	eval	test	image_patch_mean	32	32	0.004781870807888599	0.019844449805661246	26	8.926683141870758	5.750652073466915	0.999525208850286	0.00035722873998278454	True	0.9265703803098394
attention	eval	test	rna_projection_pre_norm	32	32	0.012694737822981667	0.03443019567196167	25	8.885990675458798	4.594952000796673	0.9981456938794075	0.001353809815365982	False	-0.3388970245214671
attention	eval	test	image_projection_pre_norm	32	32	0.003968910166297891	0.013136667148390924	18	6.4861642752573205	3.733763919542338	0.9995254304780314	0.00038182184286286855	True	0.90002300559043
attention	eval	test	rna_projection_norm_instance_mean	32	32	0.003424323318194387	0.007168764107071422	19	8.891961825785941	0.9999999876205323	0.9981456939298238	0.0013538095881849858	True	0.014497554237505428
attention	eval	test	image_projection_norm_instance_mean	32	32	0.0012075211543719057	0.0034831730932046957	13	6.473160946897038	1.000000006556491	0.9995254304922206	0.0003818217796864531	True	0.7902943700840694
attention	eval	test	rna_shared	32	32	0.00714595651573954	0.024252981572351243	22	7.997989503765289	5.690486165207684	0.999314260395999	0.0005297253804295954	True	-0.29491863955872266
