seed	benchmark	representation	baseline	status	transition_improvement	delta_cosine	condition_recall_at_1	delta_prediction_effective_rank	delta_magnitude_ratio	same_condition_recall_at_1	effective_rank_z	perturbation_probe_cv	batch_probe_cv
2	synth_program_aligned_genetic_lite	pca_distilled_rna_encoder	source_only_ridge	completed	-0.0005468945057073869	0.20376569778247824	0.2222222222222222	6.751786601591227	0.42020937163896854	0.9629629629629629	3.2705812852518314	0.25	0.18055555555555555
2	synth_program_aligned_genetic_lite	pca_distilled_rna_encoder	source_plus_program_action	completed	0.036333809651112874	0.8640465257523906	1.0	5.235272773320127	0.9060292834656591	0.9629629629629629	3.2705812852518314	0.25	0.18055555555555555
2	synth_program_aligned_genetic_lite	pca_distilled_rna_encoder	program_action_only	completed	0.03533643301846196	0.8335974937203696	0.8888888888888888	1.6004701374165204	0.8115524929197494	0.9629629629629629	3.2705812852518314	0.25	0.18055555555555555
2	synth_program_aligned_genetic_lite	observed_rna_train_pca	source_as_target	completed	0.0	0.0	0.3333333333333333	0.0	0.0	1.0	7.5136773381188595	0.3333333333333333	0.3194444444444444
2	synth_program_aligned_genetic_lite	observed_rna_train_pca	source_only_ridge	completed	0.03039425349873643	0.4876140654466471	0.3333333333333333	7.195746122446383	0.6948901778271119	1.0	7.5136773381188595	0.3333333333333333	0.3194444444444444
2	synth_program_aligned_genetic_lite	observed_rna_train_pca	source_plus_program_action	completed	0.10372015262959243	0.8967476297973342	1.0	7.7196823664979854	1.0078310110919566	1.0	7.5136773381188595	0.3333333333333333	0.3194444444444444
2	synth_program_aligned_genetic_lite	observed_rna_train_pca	program_action_only	completed	0.07861852094641517	0.7857298184368605	0.9629629629629629	1.9120898468599623	0.8742171907688393	1.0	7.5136773381188595	0.3333333333333333	0.3194444444444444
2	synth_program_aligned_genetic_lite	true_synthetic_z_bio	source_as_target	completed	0.0	0.0	0.3333333333333333	0.0	0.0	1.0	5.781166991447675	0.625	0.1527777777777778
2	synth_program_aligned_genetic_lite	true_synthetic_z_bio	source_only_ridge	completed	0.020930454773517137	0.4065762553573382	0.3333333333333333	6.628155891604647	0.5683973387981353	1.0	5.781166991447675	0.625	0.1527777777777778
2	synth_program_aligned_genetic_lite	true_synthetic_z_bio	source_plus_program_action	completed	0.1252167257592387	0.9606052286906431	1.0	3.629764436476668	1.0138062907505987	1.0	5.781166991447675	0.625	0.1527777777777778
2	synth_program_aligned_genetic_lite	true_synthetic_z_bio	program_action_only	completed	0.12507697719503433	0.9606338309870767	1.0	1.9732411148095437	1.0095337965763003	1.0	5.781166991447675	0.625	0.1527777777777778
3	synth_program_aligned_genetic_lite	pca_distilled_rna_encoder	source_as_target	completed	0.0	0.0	0.2962962962962963	0.0	0.0	0.8518518518518519	7.355624415969692	0.2638888888888889	0.16666666666666666
3	synth_program_aligned_genetic_lite	pca_distilled_rna_encoder	source_only_ridge	completed	0.130246532745341	0.4946392727038859	0.3333333333333333	7.1502723390542045	0.6081790339185656	0.8518518518518519	7.355624415969692	0.2638888888888889	0.16666666666666666
3	synth_program_aligned_genetic_lite	pca_distilled_rna_encoder	source_plus_program_action	completed	0.5070416069695836	0.9558696757760424	0.8148148148148148	6.249565419341775	1.0085169265724914	0.8518518518518519	7.355624415969692	0.2638888888888889	0.16666666666666666
3	synth_program_aligned_genetic_lite	pca_distilled_rna_encoder	program_action_only	completed	0.4374348897480192	0.8855092302183919	0.7037037037037037	1.5392022498877966	0.9978822313834451	0.8518518518518519	7.355624415969692	0.2638888888888889	0.16666666666666666
3	synth_program_aligned_genetic_lite	observed_rna_train_pca	source_as_target	completed	0.0	0.0	0.3333333333333333	0.0	0.0	0.8518518518518519	9.622388462418062	0.3472222222222222	0.20833333333333334
3	synth_program_aligned_genetic_lite	observed_rna_train_pca	source_only_ridge	completed	0.14856609832637804	0.5745605726366921	0.3333333333333333	7.168096917591276	0.7244530049833928	0.8518518518518519	9.622388462418062	0.3472222222222222	0.20833333333333334
3	synth_program_aligned_genetic_lite	observed_rna_train_pca	source_plus_program_action	completed	0.5181417064563216	0.9042793467028707	1.0	7.913143090214886	0.9843501232209576	0.8518518518518519	9.622388462418062	0.3472222222222222	0.20833333333333334
3	synth_program_aligned_genetic_lite	observed_rna_train_pca	program_action_only	completed	0.4189474506888501	0.7999098692478372	0.7777777777777778	1.672769721547206	0.8729197032619713	0.8518518518518519	9.622388462418062	0.3472222222222222	0.20833333333333334
3	synth_program_aligned_genetic_lite	true_synthetic_z_bio	source_as_target	completed	0.0	0.0	0.3333333333333333	0.0	0.0	1.0	5.771799887841328	0.5416666666666666	0.1388888888888889
3	synth_program_aligned_genetic_lite	true_synthetic_z_bio	source_only_ridge	completed	0.030814580406714837	0.4201094374205133	0.3333333333333333	6.467795598513967	0.44553837979430216	1.0	5.771799887841328	0.5416666666666666	0.1388888888888889
3	synth_program_aligned_genetic_lite	true_synthetic_z_bio	source_plus_program_action	completed	0.1516911384491599	0.9684991744527162	1.0	3.4875661346611304	0.9535248501263456	1.0	5.771799887841328	0.5416666666666666	0.1388888888888889
3	synth_program_aligned_genetic_lite	true_synthetic_z_bio	program_action_only	completed	0.15204702545806853	0.9705231826144215	1.0	1.982045730662141	0.9508232231347393	1.0	5.771799887841328	0.5416666666666666	0.1388888888888889
