dataset	seed	eval_split	reference	state	status	n	dim	batch_probe_balanced_accuracy	batch_probe_majority_accuracy	batch_probe_resub_balanced_accuracy	effective_rank	std_mean	checkpoint
synth_heldout_perturbation_lite	0	test_heldout_perturbation	EXP001_familyA_heldout_perturb	image_online_z_shared	ok	81.0	32.0	0.8395061728395062	0.3333333333333333	1.0	8.976875253362426	0.12757569551467896	
synth_heldout_perturbation_lite	0	test_heldout_perturbation	EXP001_familyA_heldout_perturb	joint_online_z_shared	ok	81.0	32.0	0.6419753086419753	0.3333333333333333	0.9135802469135802	23.189141332228917	0.12920013070106506	
synth_heldout_perturbation_lite	0	test_heldout_perturbation	EXP001_familyA_heldout_perturb	transition_predicted_latent	ok	81.0	32.0	0.6172839506172839	0.3333333333333333	0.9259259259259259	23.272567434768916	0.12914936244487762	
synth_heldout_perturbation_lite	0	test_heldout_perturbation	EXP001_familyA_heldout_perturb	rna_ema_teacher_target	ok	81.0	32.0	0.35802469135802467	0.3333333333333333	0.7407407407407408	25.04294046712546	0.18058043718338013	
synth_heldout_perturbation_lite	0	test_heldout_perturbation	EXP001_familyA_heldout_perturb	image_ema_teacher_target	ok	81.0	32.0	0.4197530864197531	0.3333333333333333	0.9012345679012346	10.2865425296648	0.16731145977973938	
synth_heldout_perturbation_lite	0	test_heldout_perturbation	EXP001_familyA_heldout_perturb	joint_ema_teacher_target	ok	81.0	32.0	0.30864197530864196	0.3333333333333333	0.691358024691358	21.023677419244137	0.13680708408355713	
synth_heldout_perturbation_lite	0	test_heldout_perturbation	EXP001_familyA_heldout_perturb	transition_joint_ema_teacher_target	ok	81.0	32.0	0.30864197530864196	0.3333333333333333	0.691358024691358	21.023677419244137	0.13680708408355713	
synth_heldout_perturbation_lite	1	test_heldout_perturbation	zero_step_bioaction_encoder	rna_online_z_shared	ok	81.0	32.0	0.6419753086419754	0.3333333333333333	0.8765432098765432	25.47756237341724	0.20225444436073303	
synth_heldout_perturbation_lite	1	test_heldout_perturbation	zero_step_bioaction_encoder	image_online_z_shared	ok	81.0	32.0	0.6296296296296297	0.3333333333333333	1.0	7.973768285937253	0.1689032018184662	
synth_heldout_perturbation_lite	1	test_heldout_perturbation	zero_step_bioaction_encoder	joint_online_z_shared	ok	81.0	32.0	0.5185185185185185	0.3333333333333333	0.8395061728395062	22.219664560318886	0.1328621655702591	
synth_heldout_perturbation_lite	1	test_heldout_perturbation	zero_step_bioaction_encoder	transition_predicted_latent	ok	81.0	32.0	0.5308641975308642	0.3333333333333333	0.8271604938271605	22.390461898696824	0.13173410296440125	
synth_heldout_perturbation_lite	1	test_heldout_perturbation	zero_step_bioaction_encoder	rna_ema_teacher_target	ok	81.0	32.0	0.25925925925925924	0.3333333333333333	0.7283950617283951	23.965580988987146	0.20246624946594238	
synth_heldout_perturbation_lite	1	test_heldout_perturbation	zero_step_bioaction_encoder	image_ema_teacher_target	ok	81.0	32.0	0.40740740740740744	0.3333333333333333	0.8395061728395062	10.867128035402297	0.18980154395103455	
synth_heldout_perturbation_lite	1	test_heldout_perturbation	zero_step_bioaction_encoder	joint_ema_teacher_target	ok	81.0	32.0	0.30864197530864196	0.3333333333333333	0.7777777777777778	21.600785523546673	0.13515552878379822	
synth_heldout_perturbation_lite	1	test_heldout_perturbation	zero_step_bioaction_encoder	transition_joint_ema_teacher_target	ok	81.0	32.0	0.30864197530864196	0.3333333333333333	0.7777777777777778	21.600785523546673	0.13515552878379822	
synth_heldout_perturbation_lite	1	test_heldout_perturbation	EXP001_familyA_heldout_perturb	checkpoint	checkpoint_available_for_seed0_only								outputs/autoresearch_bioaction_jepa_v1/experiments/EXP001_familyA_minimal_heldout_perturb_seed0_s32/checkpoint.pt
synth_heldout_perturbation_lite	2	test_heldout_perturbation	zero_step_bioaction_encoder	rna_online_z_shared	ok	81.0	32.0	0.6790123456790123	0.3333333333333333	0.9753086419753086	25.42995832110991	0.18125870823860168	
synth_heldout_perturbation_lite	2	test_heldout_perturbation	zero_step_bioaction_encoder	image_online_z_shared	ok	81.0	32.0	0.5925925925925926	0.3333333333333333	0.9012345679012346	7.106490391405852	0.1612630933523178	
synth_heldout_perturbation_lite	2	test_heldout_perturbation	zero_step_bioaction_encoder	joint_online_z_shared	ok	81.0	32.0	0.5925925925925926	0.3333333333333333	0.9506172839506172	22.19242341259211	0.11755667626857758	
synth_heldout_perturbation_lite	2	test_heldout_perturbation	zero_step_bioaction_encoder	transition_predicted_latent	ok	81.0	32.0	0.5925925925925926	0.3333333333333333	0.9259259259259259	22.209750963571707	0.11772550642490387	
synth_heldout_perturbation_lite	2	test_heldout_perturbation	zero_step_bioaction_encoder	rna_ema_teacher_target	ok	81.0	32.0	0.24691358024691357	0.3333333333333333	0.7654320987654321	24.377937065565984	0.183724507689476	
synth_heldout_perturbation_lite	2	test_heldout_perturbation	zero_step_bioaction_encoder	image_ema_teacher_target	ok	81.0	32.0	0.345679012345679	0.3333333333333333	0.7160493827160493	10.35287676626071	0.19185850024223328	
synth_heldout_perturbation_lite	2	test_heldout_perturbation	zero_step_bioaction_encoder	joint_ema_teacher_target	ok	81.0	32.0	0.23456790123456792	0.3333333333333333	0.7160493827160493	21.108543023894942	0.13094019889831543	
synth_heldout_perturbation_lite	2	test_heldout_perturbation	zero_step_bioaction_encoder	transition_joint_ema_teacher_target	ok	81.0	32.0	0.23456790123456792	0.3333333333333333	0.7160493827160493	21.108543023894942	0.13094019889831543	
synth_heldout_perturbation_lite	2	test_heldout_perturbation	EXP001_familyA_heldout_perturb	checkpoint	checkpoint_available_for_seed0_only								outputs/autoresearch_bioaction_jepa_v1/experiments/EXP001_familyA_minimal_heldout_perturb_seed0_s32/checkpoint.pt
synth_dose_extrapolation_lite	0	test_heldout_dose	zero_step_bioaction_encoder	rna_online_z_shared	ok	198.0	32.0	1.0	0.3333333333333333	1.0	13.206105428818377	0.18251687288284302	
synth_dose_extrapolation_lite	0	test_heldout_dose	zero_step_bioaction_encoder	image_online_z_shared	ok	198.0	32.0	1.0	0.3333333333333333	1.0	4.497965148283413	0.16840896010398865	
synth_dose_extrapolation_lite	0	test_heldout_dose	zero_step_bioaction_encoder	joint_online_z_shared	ok	198.0	32.0	0.9646464646464646	0.3333333333333333	1.0	11.077074529268883	0.13396400213241577	
