dataset	seed	eval_split	audit	representation	train_n	eval_n	train_batch_classes	eval_batch_classes	eval_majority_accuracy	status	accuracy	balanced_accuracy	balanced_accuracy_ci_low	balanced_accuracy_ci_high	per_class_recall_json
synth_heldout_perturbation_lite	0	test_heldout_perturbation	raw_signal_batch_probe	synthetic_oracle_true_z_tech_audit_only	243	81	3	3	0.3333333333333333	ok	1.0	1.0	1.0	1.0	"{""batch_0"": 1.0, ""batch_1"": 1.0, ""batch_2"": 1.0}"
synth_heldout_perturbation_lite	1	test_heldout_perturbation	raw_signal_batch_probe	raw_rna_pseudobulk	243	81	3	3	0.3333333333333333	ok	0.5802469135802469	0.5802469135802469	0.4938476868885657	0.6927008021886762	"{""batch_0"": 0.5185185185185185, ""batch_1"": 0.4444444444444444, ""batch_2"": 0.7777777777777778}"
synth_heldout_perturbation_lite	1	test_heldout_perturbation	raw_signal_batch_probe	raw_count_pseudobulk	243	81	3	3	0.3333333333333333	ok	0.8024691358024691	0.8024691358024691	0.719580003954067	0.8829757343550446	"{""batch_0"": 0.6666666666666666, ""batch_1"": 0.8148148148148148, ""batch_2"": 0.9259259259259259}"
synth_heldout_perturbation_lite	1	test_heldout_perturbation	raw_signal_batch_probe	raw_image_pooled_pixels	243	81	3	3	0.3333333333333333	ok	0.9876543209876543	0.9876543209876543	0.9560704022988505	1.0	"{""batch_0"": 1.0, ""batch_1"": 0.9629629629629629, ""batch_2"": 1.0}"
synth_heldout_perturbation_lite	1	test_heldout_perturbation	raw_signal_batch_probe	protected_pls_rna_latent	243	81	3	3	0.3333333333333333	ok	0.3333333333333333	0.3333333333333333	0.2511765867922709	0.4235373507070561	"{""batch_0"": 0.1111111111111111, ""batch_1"": 0.6666666666666666, ""batch_2"": 0.2222222222222222}"
synth_heldout_perturbation_lite	1	test_heldout_perturbation	raw_signal_batch_probe	protected_pls_image_latent	243	81	3	3	0.3333333333333333	ok	0.3333333333333333	0.3333333333333333	0.2440930212844659	0.41774362818590693	"{""batch_0"": 0.0, ""batch_1"": 0.48148148148148145, ""batch_2"": 0.5185185185185185}"
synth_heldout_perturbation_lite	1	test_heldout_perturbation	raw_signal_batch_probe	random_gaussian_16d	243	81	3	3	0.3333333333333333	ok	0.32098765432098764	0.3209876543209876	0.2340715678084099	0.4061787544618004	"{""batch_0"": 0.4074074074074074, ""batch_1"": 0.2222222222222222, ""batch_2"": 0.3333333333333333}"
synth_heldout_perturbation_lite	1	test_heldout_perturbation	raw_signal_batch_probe	metadata_only_excluding_batch	243	81	3	3	0.3333333333333333	ok	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.3333333333333333	"{""batch_0"": 1.0, ""batch_1"": 0.0, ""batch_2"": 0.0}"
synth_heldout_perturbation_lite	1	test_heldout_perturbation	raw_signal_batch_probe	synthetic_oracle_true_z_bio_audit_only	243	81	3	3	0.3333333333333333	ok	0.32098765432098764	0.3209876543209876	0.19805416202155335	0.40971956102180507	"{""batch_0"": 0.2222222222222222, ""batch_1"": 0.4074074074074074, ""batch_2"": 0.3333333333333333}"
synth_heldout_perturbation_lite	1	test_heldout_perturbation	raw_signal_batch_probe	synthetic_oracle_true_z_tech_audit_only	243	81	3	3	0.3333333333333333	ok	1.0	1.0	1.0	1.0	"{""batch_0"": 1.0, ""batch_1"": 1.0, ""batch_2"": 1.0}"
synth_heldout_perturbation_lite	2	test_heldout_perturbation	raw_signal_batch_probe	raw_rna_pseudobulk	243	81	3	3	0.3333333333333333	ok	0.7037037037037037	0.7037037037037037	0.6220969643383437	0.8126674195369846	"{""batch_0"": 0.6296296296296297, ""batch_1"": 0.5555555555555556, ""batch_2"": 0.9259259259259259}"
synth_heldout_perturbation_lite	2	test_heldout_perturbation	raw_signal_batch_probe	raw_count_pseudobulk	243	81	3	3	0.3333333333333333	ok	0.8395061728395061	0.839506172839506	0.7580453745600805	0.9152936507936508	"{""batch_0"": 0.7407407407407407, ""batch_1"": 0.8148148148148148, ""batch_2"": 0.9629629629629629}"
synth_heldout_perturbation_lite	2	test_heldout_perturbation	raw_signal_batch_probe	raw_image_pooled_pixels	243	81	3	3	0.3333333333333333	ok	0.9629629629629629	0.9629629629629629	0.9259259259259259	0.9952020202020201	"{""batch_0"": 1.0, ""batch_1"": 0.8888888888888888, ""batch_2"": 1.0}"
synth_heldout_perturbation_lite	2	test_heldout_perturbation	raw_signal_batch_probe	protected_pls_rna_latent	243	81	3	3	0.3333333333333333	ok	0.345679012345679	0.345679012345679	0.24453555697641374	0.4723434028284597	"{""batch_0"": 0.5185185185185185, ""batch_1"": 0.25925925925925924, ""batch_2"": 0.25925925925925924}"
synth_heldout_perturbation_lite	2	test_heldout_perturbation	raw_signal_batch_probe	protected_pls_image_latent	243	81	3	3	0.3333333333333333	ok	0.3333333333333333	0.3333333333333333	0.24754273504273508	0.4243689083820662	"{""batch_0"": 0.1111111111111111, ""batch_1"": 0.4074074074074074, ""batch_2"": 0.48148148148148145}"
synth_heldout_perturbation_lite	2	test_heldout_perturbation	raw_signal_batch_probe	random_gaussian_16d	243	81	3	3	0.3333333333333333	ok	0.3333333333333333	0.3333333333333333	0.24338383838383837	0.4343939550592776	"{""batch_0"": 0.25925925925925924, ""batch_1"": 0.3333333333333333, ""batch_2"": 0.4074074074074074}"
synth_heldout_perturbation_lite	2	test_heldout_perturbation	raw_signal_batch_probe	metadata_only_excluding_batch	243	81	3	3	0.3333333333333333	ok	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.3333333333333333	"{""batch_0"": 1.0, ""batch_1"": 0.0, ""batch_2"": 0.0}"
synth_heldout_perturbation_lite	2	test_heldout_perturbation	raw_signal_batch_probe	synthetic_oracle_true_z_bio_audit_only	243	81	3	3	0.3333333333333333	ok	0.35802469135802467	0.35802469135802467	0.25803276071754333	0.4532734674329502	"{""batch_0"": 0.37037037037037035, ""batch_1"": 0.2962962962962963, ""batch_2"": 0.4074074074074074}"
synth_heldout_perturbation_lite	2	test_heldout_perturbation	raw_signal_batch_probe	synthetic_oracle_true_z_tech_audit_only	243	81	3	3	0.3333333333333333	ok	1.0	1.0	1.0	1.0	"{""batch_0"": 1.0, ""batch_1"": 1.0, ""batch_2"": 1.0}"
synth_dose_extrapolation_lite	0	test_heldout_dose	raw_signal_batch_probe	raw_rna_pseudobulk	324	216	3	3	0.3333333333333333	ok	0.7731481481481481	0.7731481481481483	0.7278082794484482	0.8294902268928349	"{""batch_0"": 0.7222222222222222, ""batch_1"": 0.9166666666666666, ""batch_2"": 0.6805555555555556}"
synth_dose_extrapolation_lite	0	test_heldout_dose	raw_signal_batch_probe	raw_count_pseudobulk	324	216	3	3	0.3333333333333333	ok	0.9675925925925926	0.9675925925925926	0.9370588170031947	0.9911239222404149	"{""batch_0"": 0.9722222222222222, ""batch_1"": 0.9861111111111112, ""batch_2"": 0.9444444444444444}"
synth_dose_extrapolation_lite	0	test_heldout_dose	raw_signal_batch_probe	raw_image_pooled_pixels	324	216	3	3	0.3333333333333333	ok	1.0	1.0	1.0	1.0	"{""batch_0"": 1.0, ""batch_1"": 1.0, ""batch_2"": 1.0}"
synth_dose_extrapolation_lite	0	test_heldout_dose	raw_signal_batch_probe	protected_pls_rna_latent	324	216	3	3	0.3333333333333333	ok	0.3148148148148148	0.3148148148148148	0.24662573873380414	0.3624438572832469	"{""batch_0"": 0.18055555555555555, ""batch_1"": 0.4444444444444444, ""batch_2"": 0.3194444444444444}"
synth_dose_extrapolation_lite	0	test_heldout_dose	raw_signal_batch_probe	protected_pls_image_latent	324	216	3	3	0.3333333333333333	ok	0.32407407407407407	0.3240740740740741	0.2620271820521553	0.3869766330919554	"{""batch_0"": 0.2638888888888889, ""batch_1"": 0.4166666666666667, ""batch_2"": 0.2916666666666667}"
synth_dose_extrapolation_lite	0	test_heldout_dose	raw_signal_batch_probe	random_gaussian_16d	324	216	3	3	0.3333333333333333	ok	0.3287037037037037	0.3287037037037037	0.26006688611715334	0.37994776988198037	"{""batch_0"": 0.2222222222222222, ""batch_1"": 0.3472222222222222, ""batch_2"": 0.4166666666666667}"
synth_dose_extrapolation_lite	0	test_heldout_dose	raw_signal_batch_probe	metadata_only_excluding_batch	324	216	3	3	0.3333333333333333	ok	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.3333333333333333	"{""batch_0"": 1.0, ""batch_1"": 0.0, ""batch_2"": 0.0}"
synth_dose_extrapolation_lite	0	test_heldout_dose	raw_signal_batch_probe	synthetic_oracle_true_z_bio_audit_only	324	216	3	3	0.3333333333333333	ok	0.3333333333333333	0.3333333333333333	0.2810405350862846	0.40156517226824645	"{""batch_0"": 0.3194444444444444, ""batch_1"": 0.25, ""batch_2"": 0.4305555555555556}"
synth_dose_extrapolation_lite	0	test_heldout_dose	raw_signal_batch_probe	synthetic_oracle_true_z_tech_audit_only	324	216	3	3	0.3333333333333333	ok	1.0	1.0	1.0	1.0	"{""batch_0"": 1.0, ""batch_1"": 1.0, ""batch_2"": 1.0}"
synth_dose_extrapolation_lite	1	test_heldout_dose	raw_signal_batch_probe	raw_rna_pseudobulk	324	216	3	3	0.3333333333333333	ok	0.7407407407407407	0.7407407407407408	0.6717042849206931	0.7936423615945895	"{""batch_0"": 0.7222222222222222, ""batch_1"": 0.625, ""batch_2"": 0.875}"
synth_dose_extrapolation_lite	1	test_heldout_dose	raw_signal_batch_probe	raw_count_pseudobulk	324	216	3	3	0.3333333333333333	ok	0.8842592592592593	0.8842592592592592	0.8391984391777066	0.9262865277185985	"{""batch_0"": 0.8194444444444444, ""batch_1"": 0.8611111111111112, ""batch_2"": 0.9722222222222222}"
synth_dose_extrapolation_lite	1	test_heldout_dose	raw_signal_batch_probe	raw_image_pooled_pixels	324	216	3	3	0.3333333333333333	ok	1.0	1.0	1.0	1.0	"{""batch_0"": 1.0, ""batch_1"": 1.0, ""batch_2"": 1.0}"
synth_dose_extrapolation_lite	1	test_heldout_dose	raw_signal_batch_probe	protected_pls_rna_latent	324	216	3	3	0.3333333333333333	ok	0.33796296296296297	0.33796296296296297	0.28618999949433477	0.39316528166587994	"{""batch_0"": 0.5555555555555556, ""batch_1"": 0.375, ""batch_2"": 0.08333333333333333}"
synth_dose_extrapolation_lite	1	test_heldout_dose	raw_signal_batch_probe	protected_pls_image_latent	324	216	3	3	0.3333333333333333	ok	0.33796296296296297	0.33796296296296297	0.2924513547114289	0.3928147883371764	"{""batch_0"": 0.20833333333333334, ""batch_1"": 0.2222222222222222, ""batch_2"": 0.5833333333333334}"
synth_dose_extrapolation_lite	1	test_heldout_dose	raw_signal_batch_probe	random_gaussian_16d	324	216	3	3	0.3333333333333333	ok	0.3287037037037037	0.3287037037037037	0.2644203647653033	0.4064907504975997	"{""batch_0"": 0.3472222222222222, ""batch_1"": 0.3055555555555556, ""batch_2"": 0.3333333333333333}"
synth_dose_extrapolation_lite	1	test_heldout_dose	raw_signal_batch_probe	metadata_only_excluding_batch	324	216	3	3	0.3333333333333333	ok	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.3333333333333333	"{""batch_0"": 1.0, ""batch_1"": 0.0, ""batch_2"": 0.0}"
synth_dose_extrapolation_lite	1	test_heldout_dose	raw_signal_batch_probe	synthetic_oracle_true_z_bio_audit_only	324	216	3	3	0.3333333333333333	ok	0.3194444444444444	0.3194444444444444	0.25890951295720455	0.3732386953549633	"{""batch_0"": 0.2777777777777778, ""batch_1"": 0.3194444444444444, ""batch_2"": 0.3611111111111111}"
synth_dose_extrapolation_lite	1	test_heldout_dose	raw_signal_batch_probe	synthetic_oracle_true_z_tech_audit_only	324	216	3	3	0.3333333333333333	ok	1.0	1.0	1.0	1.0	"{""batch_0"": 1.0, ""batch_1"": 1.0, ""batch_2"": 1.0}"
synth_dose_extrapolation_lite	2	test_heldout_dose	raw_signal_batch_probe	raw_rna_pseudobulk	324	216	3	3	0.3333333333333333	ok	0.6944444444444444	0.6944444444444443	0.6371475101433887	0.7516861750777878	"{""batch_0"": 0.6111111111111112, ""batch_1"": 0.5416666666666666, ""batch_2"": 0.9305555555555556}"
synth_dose_extrapolation_lite	2	test_heldout_dose	raw_signal_batch_probe	raw_count_pseudobulk	324	216	3	3	0.3333333333333333	ok	0.8240740740740741	0.8240740740740741	0.7832180485570316	0.8769076748627357	"{""batch_0"": 0.6388888888888888, ""batch_1"": 0.8333333333333334, ""batch_2"": 1.0}"
synth_dose_extrapolation_lite	2	test_heldout_dose	raw_signal_batch_probe	raw_image_pooled_pixels	324	216	3	3	0.3333333333333333	ok	1.0	1.0	1.0	1.0	"{""batch_0"": 1.0, ""batch_1"": 1.0, ""batch_2"": 1.0}"
synth_dose_extrapolation_lite	2	test_heldout_dose	raw_signal_batch_probe	protected_pls_rna_latent	324	216	3	3	0.3333333333333333	ok	0.3333333333333333	0.3333333333333333	0.2757338742810374	0.3823523345591314	"{""batch_0"": 0.5833333333333334, ""batch_1"": 0.1388888888888889, ""batch_2"": 0.2777777777777778}"
synth_dose_extrapolation_lite	2	test_heldout_dose	raw_signal_batch_probe	protected_pls_image_latent	324	216	3	3	0.3333333333333333	ok	0.33796296296296297	0.33796296296296297	0.27506163722283644	0.4025025124801244	"{""batch_0"": 0.25, ""batch_1"": 0.3194444444444444, ""batch_2"": 0.4444444444444444}"
synth_dose_extrapolation_lite	2	test_heldout_dose	raw_signal_batch_probe	random_gaussian_16d	324	216	3	3	0.3333333333333333	ok	0.35648148148148145	0.35648148148148145	0.29383266012861603	0.41433771643049566	"{""batch_0"": 0.375, ""batch_1"": 0.3611111111111111, ""batch_2"": 0.3333333333333333}"
synth_dose_extrapolation_lite	2	test_heldout_dose	raw_signal_batch_probe	metadata_only_excluding_batch	324	216	3	3	0.3333333333333333	ok	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.3333333333333333	"{""batch_0"": 1.0, ""batch_1"": 0.0, ""batch_2"": 0.0}"
synth_dose_extrapolation_lite	2	test_heldout_dose	raw_signal_batch_probe	synthetic_oracle_true_z_bio_audit_only	324	216	3	3	0.3333333333333333	ok	0.3287037037037037	0.32870370370370366	0.2775472865921257	0.38495466785877747	"{""batch_0"": 0.2638888888888889, ""batch_1"": 0.5138888888888888, ""batch_2"": 0.20833333333333334}"
synth_dose_extrapolation_lite	2	test_heldout_dose	raw_signal_batch_probe	synthetic_oracle_true_z_tech_audit_only	324	216	3	3	0.3333333333333333	ok	1.0	1.0	1.0	1.0	"{""batch_0"": 1.0, ""batch_1"": 1.0, ""batch_2"": 1.0}"
synth_batch_confound_lite	0	test	raw_signal_batch_probe	raw_rna_pseudobulk	126	126	3	3	0.35714285714285715	ok	0.5952380952380952	0.5925925925925927	0.49388173386121403	0.6877093996749768	"{""batch_0"": 0.5555555555555556, ""batch_1"": 0.6666666666666666, ""batch_2"": 0.5555555555555556}"
synth_batch_confound_lite	0	test	raw_signal_batch_probe	raw_count_pseudobulk	126	126	3	3	0.35714285714285715	ok	0.8333333333333334	0.8296296296296296	0.7673185213554967	0.8978782484534139	"{""batch_0"": 0.7777777777777778, ""batch_1"": 0.8444444444444444, ""batch_2"": 0.8666666666666667}"
synth_batch_confound_lite	0	test	raw_signal_batch_probe	raw_image_pooled_pixels	126	126	3	3	0.35714285714285715	ok	1.0	1.0	1.0	1.0	"{""batch_0"": 1.0, ""batch_1"": 1.0, ""batch_2"": 1.0}"
synth_batch_confound_lite	0	test	raw_signal_batch_probe	protected_pls_rna_latent	126	126	3	3	0.35714285714285715	ok	0.3888888888888889	0.3962962962962963	0.31517691849213586	0.4680311068146002	"{""batch_0"": 0.5, ""batch_1"": 0.5555555555555556, ""batch_2"": 0.13333333333333333}"
synth_batch_confound_lite	0	test	raw_signal_batch_probe	protected_pls_image_latent	126	126	3	3	0.35714285714285715	ok	0.4444444444444444	0.43703703703703706	0.348509980365279	0.5114929337355808	"{""batch_0"": 0.3333333333333333, ""batch_1"": 0.6222222222222222, ""batch_2"": 0.35555555555555557}"
synth_batch_confound_lite	0	test	raw_signal_batch_probe	random_gaussian_16d	126	126	3	3	0.35714285714285715	ok	0.30158730158730157	0.30185185185185187	0.2213671346215226	0.3744432010893238	"{""batch_0"": 0.3055555555555556, ""batch_1"": 0.3111111111111111, ""batch_2"": 0.28888888888888886}"
