policy	benchmark	seed	representation	representation_class	eval_cell_zbio_cosine	real_transition	real_delta_cosine	real_recall_at_1	real_delta_rank	real_magnitude_ratio	eval_effective_rank_z	train_perturbation_probe_cv	train_batch_probe_cv	inner_mean_transition	inner_min_transition	inner_mean_delta_cosine	inner_min_delta_cosine	inner_mean_recall_at_1	inner_min_recall_at_1	inner_fold_count	transition_optimism	delta_optimism	recall_optimism	abs_transition_optimism	abs_delta_optimism
extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	36	rna_image_to_zbio_ridge	train_only_recovered	0.9973313766041514	0.23221363139892304	0.9739520722901138	1.0	3.3862641527585087	0.9447797287321597	5.694967065487696	0.7361111111111112	0.1111111111111111	0.21157492122739685	0.1506508628181987	0.9607278744200112	0.9522767565005584	1.0	1.0	8.0	-0.020638710171526187	-0.01322419787010265	0.0	0.020638710171526187	0.01322419787010265
extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	37	observed_rna_train_pca	train_only_recovered	0.0	0.08535756104268287	0.8709109773245904	1.0	8.626369489698364	1.0963717787449125	7.2355147999637275	0.18055555555555555	0.4027777777777778	0.1196172749031752	0.06125171998010074	0.821329470194921	0.6936734617820898	1.0	1.0	8.0	0.03425971386049233	-0.049581507129669466	0.0	0.03425971386049233	0.049581507129669466
extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	37	true_z_bio	oracle	1.0	0.11913652329578538	0.9405297099030325	1.0	3.732648205705066	0.9777518224287249	5.499870437639129	0.5833333333333334	0.20833333333333334	0.1292617046304882	0.08445301491569705	0.9499889353525581	0.9065997740470662	1.0	1.0	8.0	0.010125181334702818	0.009459225449525599	0.0	0.010125181334702818	0.009459225449525599
extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	37	observed_rna_to_zbio_ridge	train_only_recovered	0.7856799434187404	0.0384090302389212	0.7309884833301205	1.0	4.474172086340927	1.2296968112777322	5.563836257349083	0.3333333333333333	0.2361111111111111	0.09064308848752368	0.05439625911387231	0.938323197010179	0.9002382601548224	1.0	1.0	8.0	0.052234058248602486	0.2073347136800585	0.0	0.052234058248602486	0.2073347136800585
extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	37	batch_residualized_rna_to_zbio_ridge	train_only_recovered	0.785028715488027	0.037722189563937664	0.7327147330616254	1.0	4.472527127517154	1.2307527977618118	5.549960481334607	0.3472222222222222	0.18055555555555555	0.09130388693696379	0.05645878339404653	0.9392239067274545	0.900787713369404	1.0	1.0	8.0	0.05358169737302612	0.2065091736658291	0.0	0.05358169737302612	0.2065091736658291
extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	37	clean_rna_to_zbio_ridge	oracle	0.9611984102910789	0.08308914978388075	0.9313223359314294	1.0	3.2324466985084186	1.235408035627755	4.480674552509103	0.3611111111111111	0.25	0.10685357207245286	0.054202820230902025	0.9574446334660929	0.9071672885123776	1.0	1.0	8.0	0.023764422288572104	0.02612229753466344	0.0	0.023764422288572104	0.02612229753466344
extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	37	image_to_zbio_ridge	train_only_recovered	0.9989747308072587	0.11958055529080637	0.9483455957443908	1.0	3.743579396084613	0.9846719512246922	5.474953653386655	0.5833333333333334	0.19444444444444445	0.12913250383651587	0.08276901290557513	0.9519205486084689	0.9084779401452683	1.0	1.0	8.0	0.009551948545709496	0.0035749528640780515	0.0	0.009551948545709496	0.0035749528640780515
extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	37	rna_image_to_zbio_ridge	train_only_recovered	0.9972491104214865	0.1194956546269761	0.9514600053777726	1.0	3.7082098737366898	0.9912678913601133	5.500026266353835	0.5833333333333334	0.20833333333333334	0.12919903722274945	0.0837735551079388	0.9511935093986945	0.9082228586590255	1.0	1.0	8.0	0.009703382595773344	-0.0002664959790781296	0.0	0.009703382595773344	0.0002664959790781296
extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	38	observed_rna_train_pca	train_only_recovered	0.0	0.3699424376479329	0.955032434206475	0.8888888888888888	6.3262667956779355	1.0407202527625226	7.658674943278757	0.4166666666666667	0.5	0.34178933698700187	0.15496411353536044	0.905205712688842	0.8418440323619346	1.0	1.0	8.0	-0.02815310066093102	-0.04982672151763301	0.11111111111111116	0.02815310066093102	0.04982672151763301
extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	38	true_z_bio	oracle	1.0	0.18619671504233132	0.978099019736979	1.0	3.384694476258965	0.9806841380165614	5.722476913346211	0.5277777777777778	0.16666666666666666	0.16138152180836135	0.07491604885118026	0.9688315629317865	0.9330872131214463	1.0	1.0	8.0	-0.024815193233969968	-0.009267456805192475	0.0	0.024815193233969968	0.009267456805192475
extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	38	observed_rna_to_zbio_ridge	train_only_recovered	0.7563274971612969	0.14167553233896282	0.8646708481931683	1.0	3.986787357195512	0.9746626585770288	5.536454339542789	0.5138888888888888	0.2361111111111111	0.13741710090349935	0.05506382693698254	0.9646877294543931	0.9270902362491488	1.0	1.0	8.0	-0.004258431435463478	0.10001688126122477	0.0	0.004258431435463478	0.10001688126122477
extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	38	batch_residualized_rna_to_zbio_ridge	train_only_recovered	0.7567958756989769	0.1404126728406168	0.865562913578768	1.0	4.005026499038146	0.9777910226605672	5.53573210926224	0.5277777777777778	0.19444444444444445	0.13788057698292444	0.05495825050518652	0.964927508158897	0.9279406971805213	1.0	1.0	8.0	-0.002532095857692346	0.09936459458012903	0.0	0.002532095857692346	0.09936459458012903
