heldout_perturbation_ids	label_col	recall_at_1	recall_at_5	map	median_rank
1,3,5	cell_line_label	0.9259259259259259	1.0	0.7302682922658984	1.0
1,3,5	batch_label	0.25925925925925924	0.9629629629629629	0.41881211416397596	2.0
1,3,6	condition_key	0.2962962962962963	0.8148148148148148	0.38974735769312074	3.0
1,3,6	condition_batch_label	0.07407407407407407	0.4074074074074074	0.24023911436192139	6.0
1,3,6	perturbation_label	0.2962962962962963	0.8888888888888888	0.403559468917841	3.0
1,3,6	cell_line_label	0.9629629629629629	1.0	0.7216754647689804	1.0
1,3,6	batch_label	0.25925925925925924	0.9259259259259259	0.39263753680867797	2.0
1,3,7	condition_key	0.37037037037037035	0.8148148148148148	0.3922335603937484	2.0
1,3,7	condition_batch_label	0.14814814814814814	0.4444444444444444	0.2828714968965514	11.0
1,3,7	perturbation_label	0.37037037037037035	0.8518518518518519	0.4235294616258357	2.0
1,3,7	cell_line_label	0.9259259259259259	1.0	0.6813727236583816	1.0
1,3,7	batch_label	0.2962962962962963	1.0	0.40383735560580053	2.0
1,3,8	condition_key	0.2222222222222222	0.7777777777777778	0.34669042600736716	3.0
1,3,8	condition_batch_label	0.1111111111111111	0.4074074074074074	0.2616097763497593	8.0
1,3,8	perturbation_label	0.2222222222222222	0.8518518518518519	0.40107328388795005	2.0
1,3,8	cell_line_label	0.8888888888888888	1.0	0.6482242826345476	1.0
1,3,8	batch_label	0.2962962962962963	0.9629629629629629	0.4038634185787816	2.0
1,4,5	condition_key	0.14814814814814814	0.9259259259259259	0.3417040526964723	3.0
1,4,5	condition_batch_label	0.037037037037037035	0.5185185185185185	0.244312715445613	5.0
1,4,5	perturbation_label	0.14814814814814814	0.9629629629629629	0.38733999316985745	2.0
1,4,5	cell_line_label	0.9629629629629629	1.0	0.7322171541717772	1.0
1,4,5	batch_label	0.3333333333333333	0.9259259259259259	0.42383235965389815	2.0
1,4,6	condition_key	0.2222222222222222	0.8888888888888888	0.3767887011233531	2.0
1,4,6	condition_batch_label	0.07407407407407407	0.48148148148148145	0.2576456838273144	6.0
1,4,6	perturbation_label	0.2222222222222222	0.8888888888888888	0.3903699112225134	2.0
1,4,6	cell_line_label	0.8888888888888888	1.0	0.7580214894356005	1.0
1,4,6	batch_label	0.3333333333333333	0.8888888888888888	0.41060138080870145	2.0
1,4,7	condition_key	0.37037037037037035	0.7407407407407407	0.3763471568373528	2.0
1,4,7	condition_batch_label	0.1111111111111111	0.4444444444444444	0.26559768501489633	6.0
1,4,7	perturbation_label	0.37037037037037035	0.7777777777777778	0.40967272291371293	2.0
1,4,7	cell_line_label	0.9259259259259259	1.0	0.6889200918062578	1.0
1,4,7	batch_label	0.3333333333333333	0.8888888888888888	0.4153404341883426	2.0
1,4,8	condition_key	0.48148148148148145	0.6666666666666666	0.4105543206788826	2.0
1,4,8	condition_batch_label	0.25925925925925924	0.4444444444444444	0.3578519552553369	7.0
1,4,8	perturbation_label	0.48148148148148145	0.7407407407407407	0.4170729525847025	2.0
1,4,8	cell_line_label	1.0	1.0	0.7012116383177948	1.0
1,4,8	batch_label	0.4074074074074074	1.0	0.41651512155844517	2.0
1,5,6	condition_key	0.2962962962962963	0.8518518518518519	0.3718744243669711	2.0
1,5,6	condition_batch_label	0.07407407407407407	0.37037037037037035	0.23517773198572417	7.0
1,5,6	perturbation_label	0.2962962962962963	0.9259259259259259	0.39335990612770466	2.0
1,5,6	cell_line_label	0.9629629629629629	1.0	0.7409319955309146	1.0
1,5,6	batch_label	0.4074074074074074	0.9629629629629629	0.4140154581455896	2.0
1,5,7	condition_key	0.2222222222222222	0.7037037037037037	0.336294698811587	2.0
1,5,7	condition_batch_label	0.07407407407407407	0.2962962962962963	0.2344337531371702	8.0
1,5,7	perturbation_label	0.2222222222222222	0.8518518518518519	0.4041088557667106	2.0
1,5,7	cell_line_label	0.9629629629629629	1.0	0.6746208460566564	1.0
1,5,7	batch_label	0.3333333333333333	0.9629629629629629	0.42031767849767965	2.0
1,5,8	condition_key	0.1111111111111111	0.5925925925925926	0.3006411382466058	4.0
1,5,8	condition_batch_label	0.0	0.37037037037037035	0.17953667674169912	7.0
1,5,8	perturbation_label	0.1111111111111111	0.7407407407407407	0.39628996084675283	3.0
1,5,8	cell_line_label	0.8518518518518519	1.0	0.6212530270096466	1.0
1,5,8	batch_label	0.2962962962962963	1.0	0.4169248914518703	2.0
1,6,7	condition_key	0.2222222222222222	0.6666666666666666	0.377031165782705	3.0
1,6,7	condition_batch_label	0.0	0.4444444444444444	0.2079458599788713	7.0
1,6,7	perturbation_label	0.2222222222222222	0.7407407407407407	0.39731395149814214	3.0
1,6,7	cell_line_label	0.8888888888888888	1.0	0.7100830744322383	1.0
1,6,7	batch_label	0.14814814814814814	1.0	0.40530633148425194	2.0
1,6,8	condition_key	0.2222222222222222	0.5925925925925926	0.3544358977246735	4.0
1,6,8	condition_batch_label	0.1111111111111111	0.4074074074074074	0.2472912829052806	9.0
1,6,8	perturbation_label	0.25925925925925924	0.6666666666666666	0.4021374157683357	3.0
1,6,8	cell_line_label	0.8518518518518519	1.0	0.6705374973028597	1.0
1,6,8	batch_label	0.5185185185185185	0.9629629629629629	0.42323797337578833	1.0
1,7,8	condition_key	0.2962962962962963	0.7037037037037037	0.3537767500043216	3.0
1,7,8	condition_batch_label	0.1111111111111111	0.2962962962962963	0.241731214209141	8.0
