seed	policy	benchmark	representation	heldout_train_perturbation_id	rows	inner_transition	inner_delta_cosine	inner_recall_at_1	inner_delta_rank	inner_magnitude_ratio
38	extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	observed_rna_pca	2	9	0.2296199914009569	0.9383775673339387	1.0	7.632589039842986	1.0766796165428074
38	extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	observed_rna_pca	3	9	0.32285742669610806	0.8760084291079568	1.0	7.624851226449806	0.8428204259644176
38	extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	observed_rna_pca	4	9	0.15496411353536044	0.8580389477809174	1.0	7.612928551132998	1.0188834385411032
38	extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	observed_rna_pca	5	9	0.6892895542107338	0.9614552906383658	1.0	7.60904137765971	0.9499062313622623
38	extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	observed_rna_pca	6	9	0.3316857533350517	0.9507355197206552	1.0	7.610001039551356	0.9162599003146599
38	extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	observed_rna_pca	7	9	0.1650945735847506	0.8463421736461966	1.0	7.6186910655545494	1.0269966740977305
38	extrapolative_index	synth_program_aligned_extrapolative_holdout_lite	observed_rna_pca	8	9	0.1726470920737429	0.8418440323619346	1.0	7.555644060479852	0.8835348119294308
34	random_perturbation	synth_program_aligned_random_holdout_lite	true_z_bio	2	9	0.22883087364838317	0.9716811359904725	1.0	6.466399146557256	0.9672292899246708
34	random_perturbation	synth_program_aligned_random_holdout_lite	true_z_bio	3	9	0.1651568354102578	0.9363456949687381	1.0	6.505495460872554	0.8974313505723119
34	random_perturbation	synth_program_aligned_random_holdout_lite	true_z_bio	5	9	0.2291490832847011	0.9795542437303771	1.0	6.5140074317345285	1.0048928699714446
34	random_perturbation	synth_program_aligned_random_holdout_lite	true_z_bio	6	9	0.24511144289647804	0.9753663185606152	1.0	6.55783890816909	0.9632375586451565
34	random_perturbation	synth_program_aligned_random_holdout_lite	true_z_bio	7	9	0.14175747499152935	0.9441770086984866	1.0	6.625085477614484	1.0758027842355296
34	random_perturbation	synth_program_aligned_random_holdout_lite	true_z_bio	8	9	-0.1438966849035744	-0.13433692952991005	1.0	6.535208931334421	0.7014749163128265
34	random_perturbation	synth_program_aligned_random_holdout_lite	true_z_bio	9	9	0.24445206660184032	0.9767275440318726	1.0	6.537096484227275	0.9773837628723587
34	random_perturbation	synth_program_aligned_random_holdout_lite	true_z_bio	10	9	0.21979573351799092	0.9633949691255448	1.0	6.503759417551629	1.0242501224573022
34	random_perturbation	synth_program_aligned_random_holdout_lite	observed_rna_pca	2	9	0.23679565169734357	0.8144772522959387	1.0	7.441648840668946	0.8397854782281369
34	random_perturbation	synth_program_aligned_random_holdout_lite	observed_rna_pca	3	9	0.2912419644962537	0.8241758919482515	1.0	7.522897684167011	0.9145926389927026
34	random_perturbation	synth_program_aligned_random_holdout_lite	observed_rna_pca	5	9	0.2095681125785454	0.7955378021385971	1.0	7.448910405289678	1.1033468525964314
34	random_perturbation	synth_program_aligned_random_holdout_lite	observed_rna_pca	6	9	0.2542032737118862	0.8155004002939772	1.0	7.475457458992443	0.8922702508338225
34	random_perturbation	synth_program_aligned_random_holdout_lite	observed_rna_pca	7	9	0.24980668971243125	0.8330063702629736	1.0	7.4491323929712765	0.9350437059680845
34	random_perturbation	synth_program_aligned_random_holdout_lite	observed_rna_pca	8	9	-0.07501994658836268	0.03303515731866259	1.0	7.4386702576060575	0.38672106064544254
34	random_perturbation	synth_program_aligned_random_holdout_lite	observed_rna_pca	9	9	0.2566697989753579	0.8217166421304685	1.0	7.466221127801	0.7446464402919948
34	random_perturbation	synth_program_aligned_random_holdout_lite	observed_rna_pca	10	9	0.25036468297025416	0.8189151256673172	1.0	7.4886421484083	0.9894919737372193
35	random_perturbation	synth_program_aligned_random_holdout_lite	true_z_bio	2	9	0.1320406693650445	0.9850021809293534	1.0	6.952809503005666	1.0215235024806573
35	random_perturbation	synth_program_aligned_random_holdout_lite	true_z_bio	3	9	0.17186546986814225	0.9716191222648717	1.0	6.823364541245039	0.9416278313765578
