transition_source_cosine_improvement	absolute_target_cosine	source_as_target_bio_cosine_to_teacher	delta_cosine	delta_magnitude_ratio	delta_prediction_effective_rank	delta_prediction_spectral_entropy	delta_teacher_effective_rank	source_improvement_hinge_violation_fraction	transition_to_target_map	transition_to_target_median_rank	transition_to_target_recall@1	transition_to_target_recall@5	transition_to_target_recall@10	transition_to_target_same_perturbation_enrichment@10
0.010695374699863517	0.9081047308256744	0.8974093561258111	0.4250075507834118	0.8184278831150216	9.095081163188155	1.648945644324262	9.502572296428887	0.5925925925925926	0.46462655636947575	3.0	0.4444444444444444	0.6666666666666666	0.8888888888888888	1.1994444444444443
0.00557228761128835	0.9116821081467178	0.9061098205354295	0.3598462532269449	0.7844701573523503	9.265915913582303	1.6462129922878783	9.143238514698858	0.7777777777777778	0.46417583384903643	4.0	0.4074074074074074	0.5925925925925926	0.8518518518518519	1.0080555555555557
-0.01305385039649858	0.8947593199354154	0.9078131703319138	0.2711540757136162	0.7830910827491487	9.49496029396928	1.6079555545612292	10.540130978684337	0.8888888888888888	0.4568471455029638	4.0	0.4074074074074074	0.6666666666666666	0.8518518518518519	1.128611111111111
0.021743902420097383	0.9206001865418046	0.8988562841217075	0.4716856225624585	0.7468138582074574	9.011668601732005	1.6044852761170976	9.812647886275832	0.6296296296296297	0.4469674785902857	4.0	0.4444444444444444	0.7037037037037037	0.7037037037037037	0.9727777777777776
0.00579287841696093	0.9137016686363667	0.9079087902194058	0.42593741489289344	0.8093538388807403	9.573543201745569	1.7085634803700351	10.419589400400703	0.7777777777777778	0.531150455703546	3.0	0.48148148148148145	0.6296296296296297	0.8148148148148148	1.0333333333333332
-0.01446233431594378	0.8997385819001503	0.9142009162160941	0.372553341816673	0.8105553049016014	8.310404068689563	1.3840435588674254	9.46142997534611	0.8518518518518519	0.4995893365297551	3.0	0.37037037037037035	0.6296296296296297	0.7037037037037037	1.142777777777778
0.01066010135590987	0.9243856870338084	0.9137255856778984	0.4266609027885509	0.7912434146435651	9.410975845388913	1.5977559895033195	11.157409366059571	0.7407407407407407	0.42021598708881525	3.0	0.4444444444444444	0.7037037037037037	0.7037037037037037	1.0855555555555556
0.009112773996781934	0.9157737187170909	0.906660944720309	0.42561244325900977	0.7923907601661884	9.241968081220302	1.5992877827015382	10.092652635084997	0.7777777777777778	0.559461359747189	1.0	0.6296296296296297	0.8518518518518519	0.8518518518518519	0.9658119658119659
0.013281783600741537	0.9150752591996183	0.9017934755988768	0.46079199780073593	0.7740917926635308	8.687110709498004	1.5225468348150972	9.601308226153346	0.7407407407407407	0.3756512757193584	3.0	0.2222222222222222	0.7407407407407407	0.7777777777777778	1.031024531024531
0.03528731253482149	0.9358400497654652	0.9005527372306438	0.6088562689878209	0.8638397515598439	8.803442881390843	1.531041077497809	10.016062140349533	0.5185185185185185	0.5219586945975835	1.0	0.5555555555555556	0.7777777777777778	0.8888888888888888	1.2
0.02501028585067194	0.9334246824050176	0.9084143965543454	0.5422549131216915	0.8491372349446145	7.782542731845506	1.472637780075629	8.84276042397026	0.5925925925925926	0.5287955864076721	1.0	0.5555555555555556	0.7037037037037037	0.7407407407407407	1.1800000000000002
0.010170462629844643	0.9151053797941441	0.9049349171642995	0.3224846604529899	0.6797129834791629	8.670819863628536	1.607367986287127	8.65586088774739	0.7777777777777778	0.4903503221340912	5.0	0.4074074074074074	0.5185185185185185	0.8518518518518519	1.2196969696969697
0.013793726680871286	0.9241847523373949	0.9103910256565236	0.4544646042223369	0.8009760953507244	9.211501467215854	1.5997920554080833	10.585687643752548	0.7037037037037037	0.44965117163244	1.0	0.5555555555555556	0.6666666666666666	0.7777777777777778	1.0093939393939395
-0.0037338865969696045	0.899812793796793	0.9035466803937626	0.36987382666553686	0.7819098127083549	8.705724057848558	1.6302411746505454	9.063648417614594	0.7407407407407407	0.49906525929112583	3.0	0.4074074074074074	0.7777777777777778	0.8518518518518519	1.1011904761904763
0.017773555533900635	0.9159631036366724	0.8981895481027719	0.5186099619225547	0.8336813079277374	9.371590871188038	1.642502254285393	10.163074016969835	0.6296296296296297	0.46757914068099243	3.0	0.4444444444444444	0.8518518518518519	0.9629629629629629	1.0933621933621933
0.010751960266298046	0.9055417989321318	0.8947898386658336	0.3989541544985886	0.704308216383377	9.080374775131741	1.6767703184501401	9.829293475342256	0.7407407407407407	0.4128063519053857	4.0	0.37037037037037035	0.5925925925925926	0.8148148148148148	0.926388888888889
-0.007346636881290069	0.9020708010920928	0.909417437973383	0.3521615234680156	0.864465271408954	7.9129189820118775	1.435022185671984	8.800142143062168	0.7777777777777778	0.44037556284094814	5.0	0.48148148148148145	0.5925925925925926	0.6666666666666666	1.04
-0.005558184370473145	0.9200489441308828	0.9256071285013561	0.34833908451214446	0.8495221675082655	9.098167112310895	1.530087441010624	9.814507118925729	0.8888888888888888	0.56354053025249	1.0	0.5555555555555556	0.6296296296296297	0.8148148148148148	1.0555555555555556
-0.00038487737231056665	0.9117554873238772	0.9121403646961878	0.32570708455289493	0.7247157589973119	9.735598903113129	1.6403329248415601	10.884580506942322	0.8148148148148148	0.408029390184533	3.0	0.4074074074074074	0.7407407407407407	0.8518518518518519	1.0022727272727272
-0.0014720598658870502	0.9008799959775149	0.9023520558434022	0.34089622447435347	0.760912882671358	8.883571400805478	1.536435840614172	9.679692846178444	0.7407407407407407	0.40765402514857846	4.0	0.2962962962962963	0.5925925925925926	0.6666666666666666	1.1430303030303028
-0.01708860803177858	0.8793105962788187	0.896399204310597	0.26748469308854694	0.8113410291892719	9.145216052591882	1.5930802436991662	9.533540953462856	0.8148148148148148	0.3169021793729022	5.0	0.2222222222222222	0.5185185185185185	0.7777777777777778	0.9100000000000001
0.01705318430866089	0.8947280128885047	0.8776748285798439	0.44481262127246335	0.772790159309015	9.102861912616342	1.6454437148375232	8.682550916624304	0.6296296296296297	0.4634511932328485	1.0	0.5555555555555556	0.7037037037037037	0.9629629629629629	1.058888888888889
-0.006067309586292807	0.8995136405112225	0.905580950097515	0.3089996293744515	0.7530647519344416	9.771434132563055	1.6459913317389885	9.847012868506177	0.8518518518518519	0.4022949761011623	4.0	0.37037037037037035	0.5555555555555556	0.7777777777777778	1.1404040404040408
-0.009035995288354835	0.902829702703646	0.911865697992001	0.3281011849918614	0.8400061592027019	8.36666779797069	1.5467511408424843	9.637309548670276	0.8148148148148148	0.42559612210168346	3.0	0.37037037037037035	0.7407407407407407	0.7777777777777778	1.0954545454545455
-0.00428992790830745	0.911928131371092	0.9162180592793994	0.3121837872740963	0.7391440785998712	9.385011934722526	1.5954190451075663	10.28689344414293	0.7777777777777778	0.4459326759666457	3.0	0.4444444444444444	0.5925925925925926	0.6666666666666666	0.963888888888889
0.0034834593716866788	0.882715313964466	0.8792318545927792	0.3798143360756993	0.7795897837904256	8.653915032241605	1.5695965247364119	9.255133000500487	0.7037037037037037	0.357782079308081	3.0	0.37037037037037035	0.7037037037037037	0.9259259259259259	1.024848484848485
-0.005862151986662594	0.9015440726655789	0.9074062246522415	0.33878672773688945	0.7757766620689116	9.911370146114988	1.7248111929916439	10.245562375441592	0.8148148148148148	0.39697607706573135	3.0	0.2962962962962963	0.7407407407407407	0.9629629629629629	1.1372222222222224
0.014296724578446851	0.9207461517079778	0.906449427129531	0.40564050841112465	0.7566297396273375	9.453008756669092	1.7161531729649706	9.612790463907245	0.7037037037037037	0.5760234077227542	1.0	0.5185185185185185	0.6666666666666666	0.7777777777777778	1.0482142857142858
-0.012894397418699823	0.8938862303196187	0.9067806277383186	0.28103211513340326	0.7402159341429603	9.683595357880021	1.6321275990345347	10.439667586503939	0.8518518518518519	0.30588008892759294	4.0	0.25925925925925924	0.5555555555555556	0.9259259259259259	0.9204545454545455
-0.01156556920673444	0.8859475672228959	0.8975131364296304	0.20351521196109687	0.6951554654217381	9.301335283429944	1.6539752474154081	10.522984659001608	0.8148148148148148	0.35459489526456367	8.0	0.3333333333333333	0.4444444444444444	0.7777777777777778	0.9904761904761905
-0.004916563545293647	0.9135372839019046	0.9184538474471984	0.2891253779458673	0.7273991923909066	8.380437916528056	1.4978988867378202	9.404930180736155	0.8518518518518519	0.4370627171696159	2.0	0.37037037037037035	0.8518518518518519	0.9629629629629629	1.1021978021978025
0.011865033773278258	0.9270077514215745	0.9151427176482962	0.45084224789476374	0.8150769451973218	9.40165912174546	1.6435668455490222	10.196965250470422	0.7777777777777778	0.49339480667996793	1.0	0.5925925925925926	0.6296296296296297	0.7037037037037037	1.2182692307692309
0.016214116542444788	0.9150540884876327	0.8988399719451882	0.4428725120223001	0.817272471497778	8.719564202868316	1.574800431144392	9.123641519440666	0.6666666666666666	0.5395600866897162	3.0	0.48148148148148145	0.6666666666666666	0.6666666666666666	1.0602777777777779
-0.0037144010854258174	0.8957741693951335	0.8994885704805596	0.31496338732277857	0.6888299325613368	9.66343681539532	1.658574847672059	10.479377874371849	0.8148148148148148	0.36403029746995835	3.0	0.2962962962962963	0.7777777777777778	0.9259259259259259	1.1561111111111109
0.005215788928690794	0.9087370063997946	0.903521217471104	0.3857390004526895	0.767860189031485	8.210214358187446	1.5006029116625048	8.223403933441146	0.7407407407407407	0.5028121380460561	4.0	0.4444444444444444	0.5185185185185185	0.7407407407407407	0.9971428571428572
