heldout_perturbation_id	seed	candidate	alpha	rows	transition_improvement	delta_cosine	condition_recall_at_1	condition_median_rank	delta_rank	magnitude_ratio	floor_transition_improvement	floor_delta_cosine	floor_condition_recall_at_1	transition_gap_vs_fold_floor	delta_cosine_gap_vs_fold_floor	recall_gap_vs_fold_floor
1	0	pooled_environment_centered_ridge	0.2	9	0.026791762772104266	0.5263995660857346	0.8888888888888888	1.0	6.156702178655753	0.7442375670094943	0.023028965137528685	0.48590465293160473	0.8888888888888888	0.0037627976345755813	0.04049491315412984	0.0
1	0	pooled_environment_centered_ridge	0.35	9	0.029046709402363424	0.5565779191030863	0.8888888888888888	1.0	6.180089514838163	0.7193007839710321	0.023028965137528685	0.48590465293160473	0.8888888888888888	0.006017744264834739	0.07067326617148156	0.0
1	0	pooled_environment_centered_ridge	0.5	9	0.03081530463208552	0.5848491092786259	0.8888888888888888	1.0	6.200655222683396	0.7000064316829442	0.023028965137528685	0.48590465293160473	0.8888888888888888	0.007786339494556836	0.09894445634702115	0.0
1	0	pooled_environment_centered_ridge	0.75	9	0.03268932552048698	0.622691962557185	0.8888888888888888	1.0	6.219747777531877	0.6816350841041529	0.023028965137528685	0.48590465293160473	0.8888888888888888	0.009660360382958293	0.13678730962558022	0.0
1	0	pooled_environment_centered_ridge	1.0	9	0.033243342237573935	0.643453635272875	0.8888888888888888	1.0	6.209264272722189	0.6812334041757846	0.023028965137528685	0.48590465293160473	0.8888888888888888	0.01021437710004525	0.1575489823412703	0.0
1	1	pooled_source_only_ridge	0.0	9	0.03400944060506556	0.45962470312726666	0.8888888888888888	1.0	6.1726979671610485	0.6578173999664902	0.03400944060506556	0.45962470312726666	0.8888888888888888	0.0	0.0	0.0
1	1	pooled_source_only_ridge	0.025	9	0.033910805752109266	0.45968097981454137	0.8888888888888888	1.0	6.16943511195884	0.652544509717438	0.03400944060506556	0.45962470312726666	0.8888888888888888	-9.863485295629609e-05	5.627668727470336e-05	0.0
1	1	pooled_source_only_ridge	0.05	9	0.033796557224781205	0.459661903412636	0.8888888888888888	1.0	6.166238969351015	0.6474187513784805	0.03400944060506556	0.45962470312726666	0.8888888888888888	-0.0002128833802843566	3.720028536935427e-05	0.0
1	1	pooled_source_only_ridge	0.075	9	0.033666693892753626	0.45956353108750947	0.8888888888888888	1.0	6.163113989660343	0.6424436509115229	0.03400944060506556	0.45962470312726666	0.8888888888888888	-0.00034274671231193654	-6.117203975719576e-05	0.0
1	1	pooled_source_only_ridge	0.1	9	0.03352121869100576	0.4593818659731725	0.8888888888888888	1.0	6.160066706103901	0.637622709568331	0.03400944060506556	0.45962470312726666	0.8888888888888888	-0.00048822191405980403	-0.0002428371540941776	0.0
