left_out_perturbation_id	alpha_source_only	transition_gap_vs_full	recall_gap_vs_full	delta_cosine_gap_vs_full	transition_improvement	recall_at_1	delta_cosine
4	0.1	0.00015931029439764793	0.0	0.0032993972305879193	0.05175716715983029	1.0	0.6489690298802844
4	0.2	0.00022898601500964677	0.0	0.005628145174781274	0.051826842880442286	1.0	0.6512977778244777
4	0.35	0.00016706197295828645	0.0	0.007488546370757021	0.051764918838390926	1.0	0.6531581790204535
4	0.5	-9.18693952047453e-05	0.0	0.007660443805868056	0.051505987470227894	1.0	0.6533300764555645
4	0.75	-0.0009511177271835924	0.0	0.005003536826198585	0.05064673913824905	1.0	0.650673169475895
4	1.0	-0.0023271479122444483	0.0	-0.00026852870381721683	0.04927070895318819	1.0	0.6454011039458792
5	0.0	0.0	0.0	0.0	0.01845665132929523	0.7777777777777778	0.48037401211633907
5	0.05	0.00021168636477148298	0.0	0.0001434204609415679	0.018668337694066714	0.7777777777777778	0.48051743257728063
5	0.1	0.0004135053934514049	0.0	0.00024259634720702472	0.018870156722746636	0.7777777777777778	0.4806166084635461
5	0.2	0.0007875330379087699	-0.11111111111111116	0.0003126527896136211	0.019244184367204	0.6666666666666666	0.4806866649059527
5	0.35	0.0012745556395066006	-0.11111111111111116	0.00011509430177031321	0.01973120696880183	0.6666666666666666	0.4804891064181094
5	0.5	0.0016728457879271463	-0.11111111111111116	-0.000414228447268683	0.020129497117222377	0.6666666666666666	0.4799597836690704
5	0.75	0.0021400959262653056	-0.11111111111111116	-0.0019307623099250049	0.020596747255560537	0.6666666666666666	0.47844324980641406
5	1.0	0.0023631494132115953	-0.11111111111111116	-0.004085741645680707	0.020819800742506826	0.6666666666666666	0.47628827047065836
6	0.0	0.0	0.0	0.0	0.04312902570158434	1.0	0.6155503279254639
6	0.05	0.0004959367870784395	0.0	0.0034707484676322897	0.04362496248866278	1.0	0.6190210763930962
6	0.1	0.0009481487700964755	0.0	0.00672667542977079	0.044077174471680816	1.0	0.6222770033552347
6	0.2	0.0017194609131957334	0.0	0.012622781176657494	0.044848486614780074	1.0	0.6281731091021214
6	0.35	0.0025372846718657235	0.0	0.02004179473811063	0.045666310373450064	1.0	0.6355921226635746
6	0.5	0.0029399958613514215	0.0	0.025924517051145624	0.04606902156293576	1.0	0.6414748449766096
6	0.75	0.0026738491559509386	0.0	0.03272067223108621	0.04580287485753528	1.0	0.6482710001565501
6	1.0	0.0012338103937579517	0.0	0.03605782350448761	0.04436283609534229	1.0	0.6516081514299515
7	0.0	0.0	0.0	0.0	0.05811407395532012	0.7777777777777778	0.679365341052053
7	0.05	5.3687281863078196e-05	0.0	0.0007320917172821684	0.058167761237183195	0.7777777777777778	0.6800974327693352
7	0.1	8.946168703796026e-05	0.0	0.0013172456267149801	0.05820353564235808	0.7777777777777778	0.680682586678768
