heldout_group	alpha_source_only	transition_gap_vs_full	recall_gap_vs_full	delta_cosine_gap_vs_full	transition_improvement	recall_at_1	delta_cosine
pert=6|dose=1|cell=1	0.1	0.001612592545999176	0.0	0.012170960130799768	0.018046498032188607	1.0	0.5126176170265909
pert=6|dose=1|cell=1	0.15	0.0022602309504501372	0.0	0.01734022657060974	0.01869413643663957	1.0	0.5177868834664009
pert=6|dose=1|cell=1	0.2	0.0028006921195991366	0.0	0.02187354636675032	0.019234597605788568	1.0	0.5223202032625415
pert=6|dose=1|cell=1	0.35	0.0037711004198392635	0.0	0.031591813616004716	0.020205005906028695	1.0	0.5320384705117959
pert=6|dose=1|cell=1	0.5	0.0037549854452862963	0.0	0.035607073988612736	0.020188890931475727	1.0	0.5360537308844039
pert=6|dose=1|cell=2	0.0	0.0	0.0	0.0	0.07751833389836582	1.0	0.6212474673368357
pert=6|dose=1|cell=2	0.025	0.0007967552669385647	0.0	0.005459679525279704	0.07831508916530439	1.0	0.6267071468621154
pert=6|dose=1|cell=2	0.05	0.001563448905413642	0.0	0.010834971149704886	0.07908178280377946	1.0	0.6320824384865406
pert=6|dose=1|cell=2	0.075	0.002299676747559376	0.0	0.01611780623484238	0.0798180106459252	1.0	0.637365273571678
pert=6|dose=1|cell=2	0.1	0.003005041344197032	0.0	0.021300043954746384	0.08052337524256285	1.0	0.642547511291582
pert=6|dose=1|cell=2	0.15	0.004321626630445441	0.0	0.031330000982888295	0.08183996052881126	1.0	0.652577468319724
pert=6|dose=1|cell=2	0.2	0.005510172359480994	0.0	0.04085956108919464	0.08302850625784682	1.0	0.6621070284260303
pert=6|dose=1|cell=2	0.35	0.008279242446428456	0.0	0.06581737177783076	0.08579757634479428	1.0	0.6870648391146664
pert=6|dose=1|cell=2	0.5	0.009800302186471474	0.0	0.08417073095467575	0.0873186360848373	1.0	0.7054181982915114
pert=7|dose=1|cell=0	0.0	0.0	0.0	0.0	0.04010126532258573	1.0	0.8896800438256114
pert=7|dose=1|cell=0	0.025	0.0012389978816466848	0.0	-0.00013728374914201424	0.04134026320423242	1.0	0.8895427600764694
pert=7|dose=1|cell=0	0.05	0.0024331592809589617	0.0	-0.0003272522504554898	0.042534424603544695	1.0	0.8893527915751559
pert=7|dose=1|cell=0	0.075	0.0035815888621822944	0.0	-0.0005734706260104305	0.04368285418476803	1.0	0.889106573199601
pert=7|dose=1|cell=0	0.1	0.00468340271302773	0.0	-0.0008797532887619974	0.04478466803561346	1.0	0.8888002905368494
pert=7|dose=1|cell=0	0.15	0.006743712831813374	0.0	-0.0016891294617287222	0.04684497815439911	1.0	0.8879909143638827
pert=7|dose=1|cell=0	0.2	0.008607298648208452	0.0	-0.0027916296731559376	0.048708563970794184	1.0	0.8868884141524555
pert=7|dose=1|cell=0	0.35	0.012954131958311112	0.0	-0.008305488430827346	0.053055397280896845	1.0	0.881374555394784
pert=7|dose=1|cell=0	0.5	0.01531704994302726	0.0	-0.01837754119324231	0.05541831526561299	1.0	0.8713025026323691
pert=7|dose=1|cell=1	0.0	0.0	0.0	0.0	0.1259312628119514	1.0	0.9255603559156617
pert=7|dose=1|cell=1	0.025	-8.358773655692264e-05	0.0	-0.0008823733502779652	0.1258476750753945	1.0	0.9246779825653837
pert=7|dose=1|cell=1	0.05	-0.00021880000775920116	0.0	-0.0018319660252439363	0.1257124628041922	1.0	0.9237283898904177
pert=7|dose=1|cell=1	0.075	-0.00040621488316924803	0.0	-0.002852692168375248	0.12552504792878216	1.0	0.9227076637472864
pert=7|dose=1|cell=1	0.1	-0.0006463898835295523	0.0	-0.00394874191566541	0.12528487292842186	1.0	0.9216116139999962
pert=7|dose=1|cell=1	0.15	-0.0012871420188835525	0.0	-0.00638510847523488	0.12464412079306786	1.0	0.9191752474404268
pert=7|dose=1|cell=1	0.2	-0.0021450705763452066	0.0	-0.009181149797279353	0.1237861922356062	1.0	0.9163792061183823
pert=7|dose=1|cell=1	0.35	-0.006056097264462407	0.0	-0.020232214997378817	0.119875165547489	1.0	0.9053281409182828
pert=7|dose=1|cell=1	0.5	-0.012026196857884794	0.0	-0.03675799566543847	0.11390506595406662	1.0	0.8888023602502232
pert=7|dose=1|cell=2	0.0	0.0	0.0	0.0	0.11104669708175297	1.0	0.8110112200228979
pert=7|dose=1|cell=2	0.025	-0.0010774732081310495	0.0	-0.002798220763752468	0.10996922387362192	1.0	0.8082129992591455
pert=7|dose=1|cell=2	0.05	-0.002196399384074274	0.0	-0.00572835516401915	0.10885029769767869	1.0	0.8052828648588788
pert=7|dose=1|cell=2	0.075	-0.0033569482605747963	0.0	-0.008796781212149662	0.10768974882117817	1.0	0.8022144388107483
