split_seed	baseline	subset	condition	condition_label	perturbation_ids	pearson_delta_all	pearson_delta_de20	top20_de_overlap	mse_delta_all	mse_delta_de20	mse_expression_all	mse_expression_de20	direction_accuracy_de20	pred_delta_l2	true_delta_l2	de20_count
1	B2_additive_bounded_interaction_mlp	all_test	KLF1+COL2A1	double	KLF1+COL2A1	-0.05884638161404305	-0.11203167815310656	0.0	0.005751598626375198	0.6383835673332214	0.005751598626375198	0.6383835673332214	0.5	0.4595973789691925	5.340792655944824	20
1	B2_additive_bounded_interaction_mlp	all_test	PTPN12+OSR2	double	PTPN12+OSR2	-0.048578737840524855	-0.1869997076945509	0.1	0.0018578165909275413	0.15517136454582214	0.0018578165909275413	0.15517136454582214	0.5	1.6655852794647217	2.496819496154785	20
1	B2_additive_bounded_interaction_mlp	all_test	BPGM+SAMD1	double	BPGM+SAMD1	-0.05883209184085215	-0.27721544330819164	0.05	0.006387853063642979	0.7773846387863159	0.006387853994965553	0.7773846387863159	0.6	0.6694485545158386	5.598025798797607	20
1	B2_additive_bounded_interaction_mlp	all_test	DUSP9+PRTG	double	DUSP9+PRTG	0.3786706027703542	0.3796525960076859	0.15	0.009086188860237598	1.0921751260757446	0.009086188860237598	1.0921751260757446	0.65	1.2255266904830933	7.141734600067139	20
1	B2_additive_bounded_interaction_mlp	all_test	BCL2L11+TGFBR2	double	BCL2L11+TGFBR2	0.020697739385426062	0.11553690297368059	0.0	0.0014932517660781741	0.12255720794200897	0.0014932517660781741	0.12255720794200897	0.6	1.90863835811615	2.013725996017456	20
1	B2_additive_bounded_interaction_mlp	all_test	CEBPB+CEBPA	double	CEBPB+CEBPA	-0.6604200234049117	-0.9224434909489097	0.2	0.04886167123913765	2.275322675704956	0.04886166751384735	2.2753231525421143	0.05	3.967733383178711	12.789652824401855	20
1	B2_additive_bounded_interaction_mlp	all_test	PTPN12+UBASH3A	double	PTPN12+UBASH3A	-0.18249837375759537	-0.39386591928013515	0.05	0.008644996210932732	0.9247992634773254	0.008644996210932732	0.9247992634773254	0.4	1.2012815475463867	6.2784953117370605	20
1	B2_additive_bounded_interaction_mlp	all_test	FEV+MAP7D1	double	FEV+MAP7D1	-0.15882470136874272	-0.4854553890283245	0.25	0.007718086242675781	0.8199369311332703	0.007718086242675781	0.8199369311332703	0.45	0.38144373893737793	6.168097972869873	20
1	B2_additive_bounded_interaction_mlp	all_test	FOXL2+MEIS1	double	FOXL2+MEIS1	0.09515024256365688	0.23087123084714245	0.2	0.00477282889187336	0.2555106580257416	0.00477282889187336	0.2555106580257416	0.55	1.2233761548995972	4.875682830810547	20
1	B2_additive_bounded_interaction_mlp	all_test	PTPN12+PTPN9	double	PTPN12+PTPN9	-0.18282463029540116	-0.37441400887973514	0.1	0.0063117374666035175	0.6685276627540588	0.0063117374666035175	0.6685276627540588	0.4	0.6888056993484497	5.4764628410339355	20
1	B2_additive_bounded_interaction_mlp	all_test	FOSB+CEBPB	double	FOSB+CEBPB	-0.0916543569379216	0.049232971430160505	0.1	0.023214071989059448	1.1313331127166748	0.023214071989059448	1.1313331127166748	0.45	1.3345056772232056	10.62138557434082	20
