candidate	alpha	threshold	payload_count	mean_active_fraction	mean_safe_active_fraction	mean_unsafe_active_fraction	mean_transition_gap	min_transition_gap	mean_delta_cosine_gap	min_delta_cosine_gap	mean_recall_gap	min_recall_gap
pooled_environment_centered_ridge	1.0	0.5650308391113671	40	0.15	0.08055555555555556	0.06944444444444445	0.00031005351169590843	-0.007199182108790718	-4.097509672745803e-06	-0.0660782519432217	-0.008333333333333335	-0.11111111111111116
pooled_environment_centered_ridge	1.0	0.5861456595397173	40	0.1	0.05555555555555556	0.04444444444444444	0.00046306725419032336	-0.002809752264765604	-0.0005570501738913311	-0.0660782519432217	-0.002777777777777776	-0.11111111111111105
pooled_full_ridge	0.2	0.6243736763880174	40	0.75	0.46944444444444444	0.28055555555555556	0.0012106019186380074	-0.0032242736945802195	0.0058520379394151525	-0.02528967201105936	-0.011111111111111112	-0.11111111111111116
pooled_full_ridge	0.2	0.6388743222133503	40	0.65	0.4111111111111111	0.23888888888888893	0.0011881880716689106	-0.0032242736945802195	0.0048509879894874375	-0.02252167765256069	-0.01388888888888889	-0.11111111111111116
pooled_full_ridge	0.2	0.6539088294128927	40	0.5	0.3083333333333333	0.19166666666666668	0.0009571156381935192	-0.0032242736945802195	0.003763999326432796	-0.023889811312173048	-0.01111111111111111	-0.11111111111111116
pooled_full_ridge	0.2	0.6715625003722451	40	0.35	0.21388888888888888	0.13611111111111113	0.0006887220900281798	-0.0031237406916523602	0.002496250634618399	-0.01267480732186016	-0.008333333333333335	-0.11111111111111116
pooled_full_ridge	0.2	0.6907650889484984	40	0.25	0.15833333333333335	0.09166666666666667	0.0006147883064070707	-0.0014600015598003613	0.0018658512147526757	-0.01267480732186016	-0.002777777777777779	-0.11111111111111116
pooled_full_ridge	0.2	0.7040325829312204	40	0.15	0.08888888888888888	0.061111111111111116	0.0003417074439090954	-0.0018042528376293679	0.0009064578431389386	-0.01267480732186016	0.0	0.0
pooled_full_ridge	0.2	0.7184966508163076	40	0.1	0.05555555555555556	0.04444444444444444	0.00018741321226504695	-0.001227304848882109	0.000634434708460195	-0.01267480732186016	0.0	0.0
pooled_full_ridge	0.35	0.6024013396350071	40	0.75	0.45555555555555555	0.29444444444444445	0.0014062057537551783	-0.006330456187651455	0.008249388636442714	-0.05635060388892443	-0.0027777777777777775	-0.2222222222222222
pooled_full_ridge	0.35	0.6140039070168253	40	0.65	0.38333333333333336	0.26666666666666666	0.0012343579182090198	-0.0031152760690166398	0.007228108103969175	-0.040159840386068846	-0.0027777777777777775	-0.11111111111111116
pooled_full_ridge	0.35	0.6286663696712298	40	0.5	0.29444444444444445	0.20555555555555557	0.000977329800399962	-0.0031152760690166398	0.003896656715288816	-0.03291674251458687	0.002777777777777776	-0.11111111111111116
pooled_full_ridge	0.35	0.6442423470839601	40	0.35	0.19722222222222224	0.1527777777777778	0.0005274497466142018	-0.003568087572141436	0.002672286410058463	-0.027041141746790176	-0.002777777777777776	-0.11111111111111116
pooled_full_ridge	0.35	0.6551801196288068	40	0.25	0.13055555555555556	0.11944444444444444	0.00030390654498617067	-0.0035280003495050324	0.0019737297800034243	-0.027041141746790176	0.002777777777777779	0.0
pooled_full_ridge	0.35	0.6686489565449883	40	0.15	0.08333333333333333	0.06666666666666668	0.0003249907021003318	-0.0035280003495050324	0.0018247428854852442	-0.02263292213751633	0.002777777777777779	0.0
pooled_full_ridge	0.35	0.6765835683380889	40	0.1	0.04444444444444444	0.05555555555555556	-2.1238089566632765e-05	-0.0035280003495050324	0.0007568890194772242	-0.024537758188139636	0.0	0.0
pooled_full_ridge	0.5	0.5541247552261149	40	0.75	0.42777777777777776	0.32222222222222224	0.0016823800413754454	-0.004383077516218865	0.010981963508507981	-0.0572528683323294	-0.011111111111111113	-0.22222222222222227
pooled_full_ridge	0.5	0.568929248325421	40	0.6499999999999999	0.36944444444444446	0.28055555555555556	0.001126911291939376	-0.004507677497734841	0.007918689621636358	-0.05169773893040225	-0.002777777777777783	-0.22222222222222227
pooled_full_ridge	0.5	0.5870470496006472	40	0.5	0.275	0.225	0.0008233434514923595	-0.004507677497734841	0.006038016737468404	-0.05131154668709864	-0.005555555555555561	-0.11111111111111116
pooled_full_ridge	0.5	0.6043170210754106	40	0.35	0.18611111111111112	0.1638888888888889	0.0006314096089265571	-0.0040013996117729544	0.005028703019546724	-0.04384187530188299	-2.7755575615628915e-18	-0.11111111111111116
pooled_full_ridge	0.5	0.6163473706140293	40	0.25	0.13333333333333336	0.11666666666666665	0.0003218541763826247	-0.005463535645416233	0.004367777107709073	-0.040505875397777974	-2.7755575615628915e-18	-0.11111111111111116
pooled_full_ridge	0.5	0.6311621789802414	40	0.15	0.06666666666666668	0.08333333333333333	-9.947583144715717e-05	-0.005565563589424838	0.000570111386001411	-0.040505875397777974	-0.002777777777777779	-0.11111111111111116
pooled_full_ridge	0.5	0.6413493043053146	40	0.1	0.04444444444444444	0.05555555555555556	-5.6799290727897874e-05	-0.005565563589424838	0.0006958429411407889	-0.040505875397777974	0.002777777777777779	0.0
pooled_full_ridge	0.75	0.4853530292192734	40	0.7499999999999999	0.37222222222222223	0.37777777777777777	0.0008967652317823302	-0.012515114294052332	-7.317713735124631e-05	-0.11468103880238428	-0.01666666666666667	-0.33333333333333337
pooled_full_ridge	0.75	0.4986337112662207	40	0.65	0.3277777777777778	0.32222222222222224	0.0007646121241342021	-0.011820819373436021	0.00135976609587206	-0.1004323829120422	-0.008333333333333335	-0.2222222222222222
pooled_full_ridge	0.75	0.5201037291481301	40	0.5	0.24166666666666664	0.2583333333333333	0.00034249634810122403	-0.011840683474534486	0.00072805117749951	-0.11992602034974853	-0.008333333333333335	-0.2222222222222222
pooled_full_ridge	0.75	0.5424341064159046	40	0.35	0.17777777777777776	0.17222222222222222	0.0006648299904323879	-0.012508249684331535	0.0017413166464949697	-0.11992602034974853	1.3877787807814458e-18	-0.11111111111111116
pooled_full_ridge	0.75	0.5565816797306702	40	0.25	0.11666666666666665	0.13333333333333333	0.0006916089698632968	-0.006987944304148435	0.0015693772455880168	-0.11992602034974853	0.0027777777777777805	-0.1111111111111111
pooled_full_ridge	0.75	0.573951799275384	40	0.15	0.07222222222222222	0.07777777777777777	0.00011979551000353848	-0.0072956412958632075	-0.00047138435495151093	-0.1235038737928249	0.002777777777777779	0.0
pooled_full_ridge	0.75	0.5890922228187601	40	0.1	0.04722222222222222	0.05277777777777777	3.352880988667015e-05	-0.003578839383276744	-8.127336611955319e-05	-0.06500365640152522	0.002777777777777779	0.0
pooled_full_ridge	1.0	0.42616358573338364	40	0.7499999999999999	0.2972222222222222	0.45277777777777783	-0.0017928372078631892	-0.012897109836468218	-0.03454590276808418	-0.18470984560797188	-0.03611111111111111	-0.4444444444444444
pooled_full_ridge	1.0	0.4369280286359438	40	0.6499999999999999	0.23888888888888887	0.4111111111111111	-0.0020901309034969443	-0.012897109836468218	-0.03420540060038885	-0.17233741320657536	-0.030555555555555558	-0.33333333333333337
pooled_full_ridge	1.0	0.44848717562913065	40	0.5	0.18333333333333332	0.31666666666666665	-0.001707685618211334	-0.011340538130379732	-0.02784987797666909	-0.17233741320657536	-0.022222222222222216	-0.2222222222222222
pooled_full_ridge	1.0	0.4609677311000527	40	0.35	0.11944444444444446	0.23055555555555554	-0.0013563658122488684	-0.011580763053081373	-0.024818116694672536	-0.17233741320657536	-0.03055555555555555	-0.2222222222222222
pooled_full_ridge	1.0	0.4684834638192697	40	0.25	0.07777777777777778	0.17222222222222222	-0.0011852483154578884	-0.01277665723231177	-0.020604471317749798	-0.17233741320657536	-0.016666666666666666	-0.2222222222222222
pooled_full_ridge	1.0	0.4791768987713267	40	0.15	0.036111111111111115	0.11388888888888889	-0.0006132508806239213	-0.0070009292497266425	-0.016634479241703158	-0.12262787082037896	-0.00833333333333333	-0.1111111111111111
pooled_full_ridge	1.0	0.48800738192518156	40	0.09999999999999999	0.02222222222222222	0.07777777777777777	-0.000505192566149328	-0.004525048910136201	-0.01076729869778408	-0.08749857557531354	-0.005555555555555554	-0.1111111111111111
pooled_source_only_ridge	0.2	0.6362294879205793	40	0.75	0.4777777777777777	0.27222222222222225	0.001239871388137206	-0.002091464299841826	0.006930978157314185	-0.013609265776243662	-0.008333333333333335	-0.11111111111111116
pooled_source_only_ridge	0.2	0.6471511255978489	40	0.65	0.4083333333333333	0.2416666666666667	0.0010639804819818355	-0.0030927423971558385	0.004613752704566443	-0.026806536547141713	-0.011111111111111115	-0.11111111111111116
pooled_source_only_ridge	0.2	0.6606839193998395	40	0.5	0.30277777777777776	0.19722222222222222	0.0007436198880193142	-0.0030542762563343442	0.0018181603253256003	-0.02732343147127514	-0.005555555555555558	-0.11111111111111116
pooled_source_only_ridge	0.2	0.6777246431601144	40	0.35	0.20833333333333331	0.14166666666666666	0.0006694294822333861	-0.0014544947115249784	0.001965233642546168	-0.014597296160987705	-0.005555555555555555	-0.11111111111111116
pooled_source_only_ridge	0.2	0.6891525431865446	40	0.25	0.15277777777777776	0.09722222222222221	0.0004823882659330519	-0.0014544947115249784	0.0014605382750472024	-0.013167054374869702	-0.002777777777777776	-0.11111111111111116
pooled_source_only_ridge	0.2	0.7042120385075837	40	0.15	0.08611111111111111	0.06388888888888888	0.0001934657195234447	-0.0008377489450250991	0.0004246702389458547	-0.013167054374869702	0.002777777777777779	0.0
pooled_source_only_ridge	0.2	0.7203797947365909	40	0.1	0.05833333333333333	0.041666666666666664	0.00015673396737933318	-0.0008377489450250991	0.0005976771721755335	-0.013167054374869702	0.0	0.0
pooled_source_only_ridge	0.35	0.6055147224506533	40	0.75	0.4638888888888889	0.2861111111111111	0.0013745885882569197	-0.0031641106383719156	0.007808618787825486	-0.0575435765622164	0.002777777777777775	-0.11111111111111116
pooled_source_only_ridge	0.35	0.6217326939899214	40	0.65	0.40555555555555556	0.24444444444444446	0.0012534226339364946	-0.003044212568297927	0.007640080750434925	-0.0575435765622164	0.0027777777777777775	-0.11111111111111116
pooled_source_only_ridge	0.35	0.6375327502381007	40	0.5	0.30277777777777776	0.19722222222222224	0.0009530627494723299	-0.0033980842013878673	0.006417251113985431	-0.03758043655738752	0.002777777777777776	-0.11111111111111116
pooled_source_only_ridge	0.35	0.6556251218162356	40	0.35	0.2111111111111111	0.1388888888888889	0.0006736360361547869	-0.0033980842013878673	0.0036641127826781265	-0.033455451454876384	0.011111111111111113	0.0
pooled_source_only_ridge	0.35	0.6667881957944284	40	0.25	0.15833333333333333	0.09166666666666667	0.0004891665553283877	-0.0035433667896951904	0.0030162459221212455	-0.02887833126590733	0.005555555555555555	0.0
pooled_source_only_ridge	0.35	0.6805106094309081	40	0.15	0.08055555555555556	0.06944444444444445	7.897563992752485e-05	-0.003540796870148709	0.0011694427694241374	-0.023186392536510225	0.0	0.0
pooled_source_only_ridge	0.35	0.6920757517253859	40	0.09999999999999999	0.05	0.05	1.710419279496448e-05	-0.0012479027548662064	0.00016376344257521339	-0.023186392536510225	0.0	0.0
pooled_source_only_ridge	0.5	0.5498320295981807	40	0.75	0.41388888888888886	0.33611111111111114	0.001355766047501019	-0.0050591824115295975	0.009435275371352378	-0.08389821617981782	-0.005555555555555558	-0.2222222222222222
