pred_endpoint_to_source_cosine	pred_endpoint_to_target_cosine	source_to_target_cosine	pred_delta_to_true_delta_cosine	cell_line_id	perturbation_id	batch_id
0.9789871388715274	0.9755256017482673	0.9715458756438269	0.5120145545714491	2	1	1
0.9786941170582059	0.9427732774381566	0.9700069272377546	-0.04363046617649805	1	5	2
0.9635228138779437	0.9627735332177414	0.9351566137867712	0.661989428492975	0	3	2
0.9713857906838002	0.92882728274343	0.9614354798470826	-0.011250628998862226	1	1	2
0.9033807735322775	0.8920282464480447	0.7446586487543523	0.7962670857998914	2	6	2
0.9512493068954602	0.9548987065514035	0.9371434421956534	0.606108085521848	2	1	2
0.9692846255878445	0.9735048294782235	0.9690503616071016	0.5715718777956014	0	6	0
0.9031190627769741	0.8678026030420011	0.6835978300657952	0.8337581411835946	1	1	1
0.9792080555081142	0.8848312763330686	0.8317844198679208	0.663239776109943	0	3	1
0.985877716692648	0.8987334026359298	0.9150780694949804	0.03798180728368896	1	3	2
0.9482063515067146	0.8956898046203136	0.9190477299623117	0.23624012798133773	0	1	2
0.9184189591555914	0.9797679948462343	0.8940223102640842	0.8981930965928742	0	6	2
0.9688949734618086	0.9674865255887383	0.9299967442987556	0.7350195205243997	0	3	0
0.969349973295425	0.9614989798985688	0.951853397128503	0.5142955401942606	1	1	0
0.9657022964639238	0.9577873623346262	0.9697274810444942	0.35557996227902694	0	1	1
0.9767226097454792	0.9052319369478274	0.8632474423791898	0.6097127148595497	2	3	0
0.9664325979928774	0.9735100986375497	0.943251926077743	0.7268021113099592	1	3	0
0.9689819873092663	0.9490819967879223	0.9523702259681952	0.37177409502567094	0	1	0
0.9578530980247473	0.9079690956918353	0.9452895888900988	0.09238423199862482	2	1	0
0.9803640301573427	0.941840047790245	0.9186351359370477	0.5558275214557737	1	3	1
0.9042853852143751	0.9547038902734066	0.7929426886660639	0.9217436621089633	2	3	2
0.9655865391510257	0.9330314467949661	0.9054587727689044	0.5629699767066579	2	6	1
0.9763252385832247	0.9640343407927758	0.9638078507786203	0.41195727655204467	1	6	2
0.9616926519826647	0.8660014584421083	0.8800163009011738	0.23491657816762404	1	6	1
0.9540986417186519	0.9218671450864808	0.8300171107484332	0.7772772797259115	2	3	1
0.972532131263944	0.952001172419667	0.9553068249471743	0.3505087206365835	0	6	1
0.9330530683292594	0.9337096988793137	0.8534017443375994	0.755736844185774	2	6	0
0.9632860281494602	0.9369486194305118	0.9357827334559926	0.4099360056309733	1	6	0
0.9842542092867048	0.9737529245415457	0.9715458756438269	0.4174980763995457	2	1	1
0.957973852901963	0.9565894717844613	0.9351566137867712	0.6048660887143072	0	3	2
0.9699869100978598	0.9187020115714131	0.9614354798470826	-0.14627213348876425	1	1	2
0.9079812359650447	0.900618301026698	0.930117074755272	0.40248677921885595	1	7	0
0.948146406263574	0.9686947536080174	0.9371434421956534	0.7324013478233352	2	1	2
0.9129510987591541	0.8730310494835197	0.6835978300657952	0.8628806925491325	1	1	1
0.976472634864663	0.9250428154249541	0.9312113593082991	0.2503978997755546	0	7	1
0.9764726742762361	0.8508640832962833	0.8317844198679208	0.3927431306057381	0	3	1
0.9877111781144999	0.8907300116149643	0.9150780694949804	-0.10628380627616271	1	3	2
0.9196320095178564	0.8719385397332162	0.9190477299623117	0.22215991339594124	0	1	2
0.9437400513923957	0.7255605890828175	0.7521271975430166	0.16563633086784676	2	7	2
0.8991446147736303	0.9175589208830602	0.7141401573710879	0.912724733227323	1	7	1
0.9635022953923633	0.96763589488377	0.9299967442987556	0.7380785375592018	0	3	0
0.9758401116419408	0.9665940829184346	0.951853397128503	0.5631271546922793	1	1	0
0.9587923355637511	0.9523414214039801	0.9697274810444942	0.3375446718531532	0	1	1
0.9748560427502448	0.8862845299598645	0.8632474423791898	0.44829069240116837	2	3	0
0.9732849852013592	0.9668341709819456	0.943251926077743	0.6478410929226301	1	3	0
0.969926979766652	0.9442085008146207	0.9523702259681952	0.3030077110311453	0	1	0
0.9446258067879473	0.8790573277603134	0.9452895888900988	-0.067676159348319	2	1	0
0.9873353860701146	0.9573087837310963	0.9186351359370477	0.8012896026937415	1	3	1
0.9219177402108807	0.9132967399985241	0.7929426886660639	0.7982227979402584	2	3	2
0.9925311680258354	0.8942226439466406	0.8826277119186317	0.3717554044942033	2	7	0
0.9497774542846374	0.9034793363951831	0.8300171107484332	0.6951243917529011	2	3	1
0.950821609450819	0.8908290980607774	0.8360570084478907	0.6081239770219574	2	7	1
0.9663782712363388	0.9656580760379834	0.9715458756438269	0.45030649811178247	2	1	1
0.9877395424193267	0.9343090143056406	0.9169513411577547	0.4931251120850173	1	7	2
0.9542334242773898	0.9621949312075586	0.9354105520299894	0.6719351771294004	0	7	0
0.957973852901963	0.9657133366774358	0.8980957833634902	0.8343122920052856	0	7	2
0.9528397133631205	0.9674398362771742	0.9351566137867712	0.7150232324563853	0	3	2
0.9816853725412483	0.9365583097941765	0.9614354798470826	-0.06854189374723023	1	1	2
0.944249218147094	0.8348100170850636	0.9291509814697555	-0.2937634318023438	2	8	1
0.9485132561611039	0.9740004241070017	0.9371434421956534	0.7758405024987604	2	1	2
0.8782622071561595	0.9166252162001157	0.6835978300657952	0.9209457640998482	1	1	1
0.9027399759691372	0.9125615375928252	0.9314455779162566	0.4867475028368155	1	8	1
0.9827949594797758	0.8647999185603781	0.8317844198679208	0.5164566031430299	0	3	1
0.9842183594924214	0.9131313751862199	0.9150780694949804	0.23361168360276113	1	3	2
