alpha_source_only	support_threshold	active_fraction	transition_improvement	recall_at_1	delta_cosine	delta_rank	magnitude_ratio	floor_gap_transition	floor_gap_recall	floor_gap_delta_cosine
0.075	0.8758977253508734	0.5185185185185185	0.005957758480331392	0.4444444444444444	0.3991258283825702	10.29542545559397	0.7697510205774907	0.0002958519641373166	-0.037037037037037035	0.0011633116878397853
0.075	0.8842389912966211	0.4074074074074074	0.005919235839835261	0.4444444444444444	0.3993112019768161	10.2922472738752	0.770933289888395	0.0002573293236411856	-0.037037037037037035	0.0013486852820856488
0.075	0.888804513352674	0.3333333333333333	0.005944489341525493	0.48148148148148145	0.39934110797243366	10.29363108859043	0.771412218885896	0.0002825828253314169	0.0	0.0013785912777032339
0.075	0.9080497913691117	0.25925925925925924	0.005913157958623432	0.48148148148148145	0.39903714847182675	10.297816356560604	0.7719570593968028	0.00025125144242935625	0.0	0.0010746317770963243
0.075	0.9244297576755922	0.18518518518518517	0.0058391824922847954	0.48148148148148145	0.3985784837573427	10.29372103867846	0.7733257301370776	0.0001772759760907197	0.0	0.0006159670626122993
0.075	0.9323819284524113	0.1111111111111111	0.005745069748001613	0.48148148148148145	0.39830290477474756	10.296133357805306	0.774117576758962	8.316323180753739e-05	0.0	0.00034038808001712884
0.075	0.970448962190005	0.037037037037037035	0.00567001436968808	0.48148148148148145	0.3976621021234827	10.294077294443126	0.7741193593010928	8.107853494004023e-06	0.0	-0.0003004145712477424
0.075	0.970449962190005	0.0	0.005661906516194076	0.48148148148148145	0.39796251669473043	10.283476977293052	0.7744371112179363	0.0	0.0	0.0
0.1	0.6927830792808186	1.0	0.006526221866498448	0.4444444444444444	0.4037716900528022	10.268397573424462	0.7655580299825776	0.0008643153503043724	-0.037037037037037035	0.005809173358071795
0.1	0.7411913856850569	0.8888888888888888	0.0065978757487066934	0.4444444444444444	0.40370591900290503	10.273479526505898	0.7651543491431915	0.0009359692325126177	-0.037037037037037035	0.0057434023081746055
0.1	0.7716336318941415	0.8148148148148148	0.006652965066829865	0.4444444444444444	0.40453063941717365	10.274018015800914	0.7663287143243437	0.000991058550635789	-0.037037037037037035	0.006568122722443226
0.1	0.8194066234673232	0.7407407407407407	0.006465360977581218	0.4444444444444444	0.4040250001925231	10.26713919284758	0.7680813620134155	0.0008034544613871424	-0.037037037037037035	0.006062483497792648
0.1	0.8351022750516954	0.6666666666666666	0.006194686380961368	0.4444444444444444	0.4012877601627445	10.285422969089401	0.7682717496222475	0.0005327798647672922	-0.037037037037037035	0.0033252434680140497
0.1	0.846594261214635	0.5925925925925926	0.006020436265822883	0.4444444444444444	0.3996420829568628	10.303459605601883	0.7684241486861266	0.0003585297496288076	-0.037037037037037035	0.0016795662621323926
0.1	0.8758977253508734	0.5185185185185185	0.006046259653340335	0.4444444444444444	0.39946305854542363	10.301207249109464	0.7682505930885509	0.00038435313714625923	-0.037037037037037035	0.0015005418506932044
0.1	0.8842389912966211	0.4074074074074074	0.005997300323009335	0.4444444444444444	0.39971994275623285	10.296415103524563	0.769812927552478	0.00033539380681525937	-0.037037037037037035	0.0017574260615024206
0.1	0.888804513352674	0.3333333333333333	0.006032163601143698	0.48148148148148145	0.39976462526070133	10.298180571462977	0.7704463765872029	0.00037025708494962256	0.0	0.0018021085659709057
0.1	0.9080497913691117	0.25925925925925924	0.005991568621705936	0.48148148148148145	0.399364952868798	10.303581185590156	0.7711668370642343	0.0003296621055118602	0.0	0.001402436174067545
0.1	0.9244297576755922	0.18518518518518517	0.0058958211207151955	0.48148148148148145	0.3987704667613446	10.297721078378716	0.7729691946567897	0.0002339146045211198	0.0	0.0008079500666141604
0.1	0.9323819284524113	0.1111111111111111	0.005771460508039289	0.48148148148148145	0.39841123467013156	10.300699294574589	0.7740187146915786	0.00010955399184521368	0.0	0.0004487179754011361
0.1	0.970448962190005	0.037037037037037035	0.005672242076638523	0.48148148148148145	0.3975611814109032	10.297719345040711	0.7740156726633765	1.0335560444447132e-05	0.0	-0.00040133528382724215
0.1	0.970449962190005	0.0	0.005661906516194076	0.48148148148148145	0.39796251669473043	10.283476977293052	0.7744371112179363	0.0	0.0	0.0
0.15	0.6927830792808186	1.0	0.006900231210263623	0.4444444444444444	0.40638412824016584	10.258600500807308	0.7615270479961317	0.0012383246940695473	-0.037037037037037035	0.008421611545435415
0.15	0.7411913856850569	0.8888888888888888	0.007011841527680097	0.4444444444444444	0.40630658183936824	10.267916516018198	0.7608958824065276	0.0013499350114860214	-0.037037037037037035	0.008344065144637813
0.15	0.7716336318941415	0.8148148148148148	0.007098516080492862	0.4444444444444444	0.4075992353498146	10.269672364222568	0.7626246332738683	0.0014366095642987867	-0.037037037037037035	0.009636718655084198
0.15	0.8194066234673232	0.7407407407407407	0.006822133323670814	0.4444444444444444	0.4068727705628253	10.259794893572227	0.7652232306846143	0.0011602268074767386	-0.037037037037037035	0.008910253868094853
0.15	0.8351022750516954	0.6666666666666666	0.0064206623919483554	0.4444444444444444	0.40275467314108004	10.289294064637902	0.7654563900416295	0.0007587558757542797	-0.037037037037037035	0.004792156446349616
0.15	0.846594261214635	0.5925925925925926	0.00616728767028144	0.4444444444444444	0.40033655089332143	10.318535942659775	0.7656329983076068	0.0005053811540873645	-0.037037037037037035	0.002374034198591002
0.15	0.8758977253508734	0.5185185185185185	0.006208059618266069	0.4444444444444444	0.40005619591825026	10.314901407180832	0.7653449175073804	0.000546153102071993	-0.037037037037037035	0.0020936792235198287
0.15	0.8842389912966211	0.4074074074074074	0.006141840260779048	0.4444444444444444	0.40047125980010134	10.306264539629302	0.7676457878161607	0.0004799337445849719	-0.037037037037037035	0.002508743105370914
0.15	0.888804513352674	0.3333333333333333	0.006197716749126092	0.48148148148148145	0.40055302702557255	10.30855559260641	0.7685804625263258	0.000535810232932016	0.0	0.002590510330842122
0.15	0.9080497913691117	0.25925925925925924	0.006140361861332324	0.48148148148148145	0.39997081673159596	10.316027892218031	0.7696429960045307	0.00047845534513824787	0.0	0.002008300036865529
0.15	0.9244297576755922	0.18518518518518517	0.006005407567845121	0.48148148148148145	0.3991327928000762	10.306344074509877	0.77227755987242	0.00034350105165104495	0.0	0.0011702761053457578
0.15	0.9323819284524113	0.1111111111111111	0.005822242426575293	0.48148148148148145	0.39861999284487243	10.310258509289811	0.7738324727294968	0.00016033591038121763	0.0	0.0006574761501420001
0.15	0.970448962190005	0.037037037037037035	0.005675986469294364	0.48148148148148145	0.3973581918963294	10.305097759549824	0.7738116856745285	1.4079953100288103e-05	0.0	-0.0006043247984010014
