feature	direction	threshold	mean_active_fraction	mean_oracle_safe_active_fraction	mean_unsafe_active_fraction	mean_transition_gap	min_transition_gap	mean_delta_cosine_gap	min_delta_cosine_gap	mean_recall_gap	min_recall_gap
blend_to_floor_norm_ratio	le	0.8766721887975943	0.24444444444444446	0.17777777777777776	0.06666666666666667	0.001434223991645755	-2.169581199346765e-05	7.629570479416037e-05	-0.009156959407607246	0.0	-0.037037037037037035
floor_delta_support	le	0.8360461057234995	0.274074074074074	0.2148148148148148	0.059259259259259255	0.0013419784551108216	4.7085068364667755e-05	0.014918564020505398	-0.0108352097735121	0.014814814814814814	0.0
blend_delta_support	le	0.8517142567939123	0.2962962962962963	0.2148148148148148	0.08148148148148147	0.0012556262390204243	5.744411269312938e-05	0.012266107617289657	-0.00914922980118893	0.014814814814814814	0.0
blend_minus_floor_norm	ge	0.0704118215276422	0.16296296296296295	0.11111111111111112	0.05185185185185185	0.0012118776162563477	-0.00017142120493778348	0.0037196199806211693	-0.0029578716887863066	-0.02222222222222222	-0.037037037037037035
floor_blend_delta_cosine	ge	0.9918864268297938	0.18518518518518517	0.13333333333333336	0.05185185185185185	0.0012036048023073888	0.0007436223031243548	0.0013843662612749274	-0.0006270927610363408	-0.007407407407407407	-0.037037037037037035
support_gain	ge	0.02624574858341866	0.19999999999999998	0.16296296296296292	0.037037037037037035	0.0011970526894654321	0.00013410528570292207	0.016787532006323137	0.0050641821249999275	0.007407407407407407	-0.037037037037037035
blend_delta_support	ge	0.9022011839488692	0.19999999999999998	0.14074074074074075	0.059259259259259255	0.0011650063689652712	0.00022435757050312186	0.00416511322908617	0.002514670616831083	-0.02222222222222222	-0.1111111111111111
floor_delta_support	ge	0.8833131337509142	0.25925925925925924	0.16296296296296292	0.0962962962962963	0.0011387951798484883	-1.2526471102006914e-05	0.003359716062096063	0.0008377353863133208	-0.014814814814814814	-0.1111111111111111
blend_minus_floor_norm	le	0.05078667073667206	0.3481481481481481	0.2518518518518518	0.0962962962962963	0.001043549635648873	0.00047256891917998173	0.012600106773747687	-0.0003525902163074024	0.02222222222222222	-0.037037037037037035
blend_to_floor_norm_ratio	ge	0.9357490754916147	0.274074074074074	0.18518518518518517	0.08888888888888888	0.0010017439663442935	6.457857600910899e-05	0.014141027605139411	-0.0009412538398579362	0.007407407407407407	-0.07407407407407407
blend_to_floor_norm_ratio	le	0.8310549517364332	0.1333333333333333	0.08888888888888888	0.04444444444444444	0.0009608098494810196	-0.0004378934132945357	-0.0008443940519095805	-0.00883808948262449	-0.014814814814814814	-0.037037037037037035
floor_blend_delta_cosine	le	0.9759098566208105	0.23703703703703702	0.17037037037037037	0.06666666666666667	0.0009574747146452358	-0.0001991928764501355	0.01296570829964494	-0.005228172063154735	0.0	0.0
support_gain	le	-0.0035587339103528848	0.22962962962962957	0.1333333333333333	0.0962962962962963	0.0009442488608488155	0.00023916473691649662	-0.0005769902033283091	-0.006898713930728828	-0.007407407407407407	-0.037037037037037035
source_support	ge	0.9942763435340929	0.34074074074074073	0.22222222222222224	0.11851851851851851	0.0009407188097210698	0.00012300081204696597	0.009648021951963081	-0.00817289804700283	0.007407407407407407	-0.037037037037037035
