aggregator	bag_label	bag_size	split	stage	rows	dims	min_std	mean_std	rank	effective_rank	top_singular	collapse_flag	bio_latent_r2_from_train	attention_entropy_mean	attention_max_weight_mean
mean	full_eval_bag	8	test	z_state	32.0	32.0	0.001109479428540576	0.0049144019581978705	14.0	5.643970448355622	0.16739910716041378	True	0.33874070320456573		
mean	full_eval_bag	8	test	image_attention	2.0	0.0						False		2.079441547393799	0.125
mean	full_eval_bag	8	test	rna_attention	2.0	0.0						False		2.079441547393799	0.125
mean	single_cell_bag	1	train	rna_instance_mean	32.0	32.0	0.0022760630910099388	0.01019039175785018	18.0	5.649913909812456	0.34867915924013226	True	0.32285218288430706		
mean	single_cell_bag	1	train	image_instance_mean	32.0	32.0	0.0006514863738482262	0.0024442535581462406	11.0	5.661623044461393	0.08087113794201685	True	0.73440674756615		
mean	single_cell_bag	1	train	rna_shared	32.0	32.0	0.016615872651055092	0.056781879693393045	24.0	5.6357764498640215	1.9432394225195713	False	0.5040868870811872		
mean	single_cell_bag	1	train	image_shared	32.0	32.0	0.005061965278834429	0.01385120581043739	18.0	5.676783536320798	0.45244558132695395	True	0.9149855041010962		
mean	single_cell_bag	1	train	rna_teacher_shared	32.0	32.0	0.02785486702738552	0.08338068823793948	26.0	7.864455857867624	2.7286072607413407	False	0.6415915468372868		
mean	single_cell_bag	1	train	image_teacher_shared	32.0	32.0	0.015297377665094173	0.037077826672834435	22.0	6.7096364115403615	1.0891886119990914	False	0.9467604017265512		
mean	single_cell_bag	1	train	rna_state	32.0	32.0	0.0018420370219075857	0.011044649931581354	14.0	4.180892968061036	0.40840752855032103	True	0.2713105359215022		
mean	single_cell_bag	1	train	image_state	32.0	32.0	0.0007350355671789807	0.002182450382749228	9.0	5.270074646198819	0.06536071698831224	True	0.7293532012494646		
mean	single_cell_bag	1	train	z_state	32.0	32.0	0.0009866056917827261	0.0056073306959649755	14.0	5.201910990991134	0.19899497107885375	True	0.48668079367359174		
mean	single_cell_bag	1	train	image_attention	2.0	0.0						False		0.0	1.0
mean	single_cell_bag	1	train	rna_attention	2.0	0.0						False		0.0	1.0
mean	single_cell_bag	1	val	rna_instance_mean	32.0	32.0	0.002515671179567909	0.011686523038645385	18.0	5.23472744938974	0.41016348275312703	True	0.21611830623987072		
mean	single_cell_bag	1	val	image_instance_mean	32.0	32.0	0.0006337827391643917	0.0023833123024911023	12.0	5.602834862845959	0.08140761791407909	True	0.7137225718895529		
mean	single_cell_bag	1	val	rna_shared	32.0	32.0	0.016147457607525083	0.06525772662089865	24.0	5.216061128490792	2.2885300331877154	False	0.12539857630774853		
mean	single_cell_bag	1	val	image_shared	32.0	32.0	0.004811096941951781	0.013453979713039915	16.0	5.627186310779568	0.45493050885736075	True	0.8730349972758449		
mean	single_cell_bag	1	val	rna_teacher_shared	32.0	32.0	0.03273753318872118	0.09261711549121628	26.0	7.458975271009216	3.100193726863642	False	-0.20813161070844344		
mean	single_cell_bag	1	val	image_teacher_shared	32.0	32.0	0.01317888295379197	0.036133620468967474	21.0	6.604873059811876	1.1049719633665966	False	0.8964828075091373		
mean	single_cell_bag	1	val	rna_state	32.0	32.0	0.002076685074025993	0.012722636327779738	14.0	3.8307904742482024	0.48357182259228265	True	0.19297574900361691		
mean	single_cell_bag	1	val	image_state	32.0	32.0	0.0007682914096018374	0.00215700266564682	9.0	5.20382665253279	0.06665148024170568	True	0.7120062813630486		
mean	single_cell_bag	1	val	z_state	32.0	32.0	0.0010504572526038878	0.006500007356618683	14.0	4.707018235325414	0.23842935352364786	True	0.48189904428638597		
mean	single_cell_bag	1	val	image_attention	2.0	0.0						False		0.0	1.0
mean	single_cell_bag	1	val	rna_attention	2.0	0.0						False		0.0	1.0
mean	single_cell_bag	1	test	rna_instance_mean	32.0	32.0	0.002763727142188105	0.008577120860170907	19.0	6.61774186789032	0.2825468418599266	True	0.09959372710140035		
mean	single_cell_bag	1	test	image_instance_mean	32.0	32.0	0.0006951406064598074	0.002395469896393903	11.0	5.585827322817418	0.08020062357676633	True	0.6972138084802569		
mean	single_cell_bag	1	test	rna_shared	32.0	32.0	0.012326631716557575	0.04774921986579484	24.0	6.613081064559876	1.5703275893973836	False	-0.22101832616883055		
mean	single_cell_bag	1	test	image_shared	32.0	32.0	0.0051216791221411805	0.013565653502706679	17.0	5.591709266332386	0.44914008609642936	True	0.8826491846844392		
