perturbation,dose,time,cell_line,perturbation_type,target_gene,moa,condition_key_coarse,condition_key_medium,condition_key_fine,condition_key_with_type,bio_key,condition_id,condition_key,batch,plate,run,well,site,z_plane,imaging_channel,sequencing_lane,library_id
BRD-A00218260,10uM,24h,A549,compound,NA,Sterol demethylase inhibitor,BRD-A00218260,BRD-A00218260|10uM|24h,BRD-A00218260|10uM|24h|A549,BRD-A00218260|compound|10uM|24h|A549,BRD-A00218260|10uM,BRD-A00218260|10uM,BRD-A00218260|10uM,SQ00015196,SQ00015196,NA,B13,profile,NA,NA,NA,NA
BRD-A02006392,10uM,24h,A549,compound,NA,Calcium channel blocker,BRD-A02006392,BRD-A02006392|10uM|24h,BRD-A02006392|10uM|24h|A549,BRD-A02006392|compound|10uM|24h|A549,BRD-A02006392|10uM,BRD-A02006392|10uM,BRD-A02006392|10uM,SQ00015128,SQ00015128,NA,G19,profile,NA,NA,NA,NA
BRD-A02367930,10uM,24h,A549,compound,NA,Estrogen receptor agonist|DNA directed DNA polymerase stimunlant|Estrogenic component in oral contraceptives,BRD-A02367930,BRD-A02367930|10uM|24h,BRD-A02367930|10uM|24h|A549,BRD-A02367930|compound|10uM|24h|A549,BRD-A02367930|10uM,BRD-A02367930|10uM,BRD-A02367930|10uM,SQ00015196,SQ00015196,NA,K01,profile,NA,NA,NA,NA
BRD-A02990301,10uM,24h,A549,compound,NA,Adrenergic receptor agonist,BRD-A02990301,BRD-A02990301|10uM|24h,BRD-A02990301|10uM|24h|A549,BRD-A02990301|compound|10uM|24h|A549,BRD-A02990301|10uM,BRD-A02990301|10uM,BRD-A02990301|10uM,SQ00015196,SQ00015196,NA,M07,profile,NA,NA,NA,NA
BRD-A03506276,10uM,24h,A549,compound,NA,HSP inhibitor,BRD-A03506276,BRD-A03506276|10uM|24h,BRD-A03506276|10uM|24h|A549,BRD-A03506276|compound|10uM|24h|A549,BRD-A03506276|10uM,BRD-A03506276|10uM,BRD-A03506276|10uM,SQ00015195,SQ00015195,NA,A07,profile,NA,NA,NA,NA
BRD-A10012892,10uM,24h,A549,compound,NA,Thrombin inhibitor,BRD-A10012892,BRD-A10012892|10uM|24h,BRD-A10012892|10uM|24h|A549,BRD-A10012892|compound|10uM|24h|A549,BRD-A10012892|10uM,BRD-A10012892|10uM,BRD-A10012892|10uM,SQ00015129,SQ00015129,NA,J19,profile,NA,NA,NA,NA
BRD-A10977446,10uM,24h,A549,compound,NA,Adrenergic receptor antagonist,BRD-A10977446,BRD-A10977446|10uM|24h,BRD-A10977446|10uM|24h|A549,BRD-A10977446|compound|10uM|24h|A549,BRD-A10977446|10uM,BRD-A10977446|10uM,BRD-A10977446|10uM,SQ00015129,SQ00015129,NA,N07,profile,NA,NA,NA,NA
BRD-A11319535,10uM,24h,A549,compound,NA,Immunosuppressant|Glucocorticoid receptor agonist,BRD-A11319535,BRD-A11319535|10uM|24h,BRD-A11319535|10uM|24h|A549,BRD-A11319535|compound|10uM|24h|A549,BRD-A11319535|10uM,BRD-A11319535|10uM,BRD-A11319535|10uM,SQ00015129,SQ00015129,NA,O13,profile,NA,NA,NA,NA
BRD-A11990600,10uM,24h,A549,compound,NA,Benzodiazepine receptor agonist,BRD-A11990600,BRD-A11990600|10uM|24h,BRD-A11990600|10uM|24h|A549,BRD-A11990600|compound|10uM|24h|A549,BRD-A11990600|10uM,BRD-A11990600|10uM,BRD-A11990600|10uM,SQ00015194,SQ00015194,NA,B07,profile,NA,NA,NA,NA
BRD-A14262390,10uM,24h,A549,compound,NA,Adrenergic inhibitor,BRD-A14262390,BRD-A14262390|10uM|24h,BRD-A14262390|10uM|24h|A549,BRD-A14262390|compound|10uM|24h|A549,BRD-A14262390|10uM,BRD-A14262390|10uM,BRD-A14262390|10uM,SQ00015194,SQ00015194,NA,J19,profile,NA,NA,NA,NA
BRD-A14886633,10uM,24h,A549,compound,NA,Progesterone receptor agonist,BRD-A14886633,BRD-A14886633|10uM|24h,BRD-A14886633|10uM|24h|A549,BRD-A14886633|compound|10uM|24h|A549,BRD-A14886633|10uM,BRD-A14886633|10uM,BRD-A14886633|10uM,SQ00015194,SQ00015194,NA,M01,profile,NA,NA,NA,NA
BRD-A14941520,10uM,24h,A549,compound,NA,MRP inhibitor|P-glycoprotein inhibitor,BRD-A14941520,BRD-A14941520|10uM|24h,BRD-A14941520|10uM|24h|A549,BRD-A14941520|compound|10uM|24h|A549,BRD-A14941520|10uM,BRD-A14941520|10uM,BRD-A14941520|10uM,SQ00015194,SQ00015194,NA,N01,profile,NA,NA,NA,NA
BRD-A15202882,10uM,24h,A549,compound,NA,Serotonin reuptake inhibitor,BRD-A15202882,BRD-A15202882|10uM|24h,BRD-A15202882|10uM|24h|A549,BRD-A15202882|compound|10uM|24h|A549,BRD-A15202882|10uM,BRD-A15202882|10uM,BRD-A15202882|10uM,SQ00015194,SQ00015194,NA,O07,profile,NA,NA,NA,NA
BRD-A16347691,10uM,24h,A549,compound,NA,Reducing agent|Aldehyde dehydrogenase activator|Protein kinase activator|Reverse transcriptase inhibitor,BRD-A16347691,BRD-A16347691|10uM|24h,BRD-A16347691|10uM|24h|A549,BRD-A16347691|compound|10uM|24h|A549,BRD-A16347691|10uM,BRD-A16347691|10uM,BRD-A16347691|10uM,SQ00015120,SQ00015120,NA,F01,profile,NA,NA,NA,NA
BRD-A18611368,10uM,24h,A549,compound,NA,Beta lactamase inhibitor,BRD-A18611368,BRD-A18611368|10uM|24h,BRD-A18611368|10uM|24h|A549,BRD-A18611368|compound|10uM|24h|A549,BRD-A18611368|10uM,BRD-A18611368|10uM,BRD-A18611368|10uM,SQ00015128,SQ00015128,NA,A07,profile,NA,NA,NA,NA
BRD-A18620900,10uM,24h,A549,compound,NA,Estrogen receptor agonist,BRD-A18620900,BRD-A18620900|10uM|24h,BRD-A18620900|10uM|24h|A549,BRD-A18620900|compound|10uM|24h|A549,BRD-A18620900|10uM,BRD-A18620900|10uM,BRD-A18620900|10uM,SQ00015120,SQ00015120,NA,P13,profile,NA,NA,NA,NA
BRD-A19195498,10uM,24h,A549,compound,NA,Norepinephrine reputake inhibitor|Tricyclic antidepressant,BRD-A19195498,BRD-A19195498|10uM|24h,BRD-A19195498|10uM|24h|A549,BRD-A19195498|compound|10uM|24h|A549,BRD-A19195498|10uM,BRD-A19195498|10uM,BRD-A19195498|10uM,SQ00015128,SQ00015128,NA,A19,profile,NA,NA,NA,NA
BRD-A19633847,10uM,24h,A549,compound,NA,Carnitine palmitoyltransferase inhibitor,BRD-A19633847,BRD-A19633847|10uM|24h,BRD-A19633847|10uM|24h|A549,BRD-A19633847|compound|10uM|24h|A549,BRD-A19633847|10uM,BRD-A19633847|10uM,BRD-A19633847|10uM,SQ00015128,SQ00015128,NA,D13,profile,NA,NA,NA,NA
BRD-A19736161,10uM,24h,A549,compound,NA,Serotonin receptor antagonist,BRD-A19736161,BRD-A19736161|10uM|24h,BRD-A19736161|10uM|24h|A549,BRD-A19736161|compound|10uM|24h|A549,BRD-A19736161|10uM,BRD-A19736161|10uM,BRD-A19736161|10uM,SQ00015128,SQ00015128,NA,C13,profile,NA,NA,NA,NA
BRD-A20119038,10uM,24h,A549,compound,NA,Acetylcholine receptor antagonist,BRD-A20119038,BRD-A20119038|10uM|24h,BRD-A20119038|10uM|24h|A549,BRD-A20119038|compound|10uM|24h|A549,BRD-A20119038|10uM,BRD-A20119038|10uM,BRD-A20119038|10uM,SQ00015128,SQ00015128,NA,E01,profile,NA,NA,NA,NA
BRD-A20239487,10uM,24h,A549,compound,NA,Adrenergic receptor antagonist,BRD-A20239487,BRD-A20239487|10uM|24h,BRD-A20239487|10uM|24h|A549,BRD-A20239487|compound|10uM|24h|A549,BRD-A20239487|10uM,BRD-A20239487|10uM,BRD-A20239487|10uM,SQ00014820,SQ00014820,NA,B13,profile,NA,NA,NA,NA
BRD-A24228527,10uM,24h,A549,compound,NA,Bacterial DNA gyrase inhibitor,BRD-A24228527,BRD-A24228527|10uM|24h,BRD-A24228527|10uM|24h|A549,BRD-A24228527|compound|10uM|24h|A549,BRD-A24228527|10uM,BRD-A24228527|10uM,BRD-A24228527|10uM,SQ00015128,SQ00015128,NA,N01,profile,NA,NA,NA,NA
BRD-A26690767,10uM,24h,A549,compound,NA,HIV protease inhibitor,BRD-A26690767,BRD-A26690767|10uM|24h,BRD-A26690767|10uM|24h|A549,BRD-A26690767|compound|10uM|24h|A549,BRD-A26690767|10uM,BRD-A26690767|10uM,BRD-A26690767|10uM,SQ00015116,SQ00015116,NA,E13,profile,NA,NA,NA,NA
BRD-A26711594,10uM,24h,A549,compound,NA,Calcium channel blocker,BRD-A26711594,BRD-A26711594|10uM|24h,BRD-A26711594|10uM|24h|A549,BRD-A26711594|compound|10uM|24h|A549,BRD-A26711594|10uM,BRD-A26711594|10uM,BRD-A26711594|10uM,SQ00015116,SQ00015116,NA,E19,profile,NA,NA,NA,NA
BRD-A27732521,10uM,24h,A549,compound,NA,Voltage-gated sodium channel blocker,BRD-A27732521,BRD-A27732521|10uM|24h,BRD-A27732521|10uM|24h|A549,BRD-A27732521|compound|10uM|24h|A549,BRD-A27732521|10uM,BRD-A27732521|10uM,BRD-A27732521|10uM,SQ00015116,SQ00015116,NA,H01,profile,NA,NA,NA,NA
BRD-A28467416,10uM,24h,A549,compound,NA,NA,BRD-A28467416,BRD-A28467416|10uM|24h,BRD-A28467416|10uM|24h|A549,BRD-A28467416|compound|10uM|24h|A549,BRD-A28467416|10uM,BRD-A28467416|10uM,BRD-A28467416|10uM,SQ00015116,SQ00015116,NA,I01,profile,NA,NA,NA,NA
BRD-A29322418,10uM,24h,A549,compound,NA,Mineralocorticoid receptor antagonist,BRD-A29322418,BRD-A29322418|10uM|24h,BRD-A29322418|10uM|24h|A549,BRD-A29322418|compound|10uM|24h|A549,BRD-A29322418|10uM,BRD-A29322418|10uM,BRD-A29322418|10uM,SQ00015116,SQ00015116,NA,L13,profile,NA,NA,NA,NA
BRD-A29520968,10uM,24h,A549,compound,NA,Cholesterol inhibitor,BRD-A29520968,BRD-A29520968|10uM|24h,BRD-A29520968|10uM|24h|A549,BRD-A29520968|compound|10uM|24h|A549,BRD-A29520968|10uM,BRD-A29520968|10uM,BRD-A29520968|10uM,SQ00015109,SQ00015109,NA,F01,profile,NA,NA,NA,NA
BRD-A33168282,10uM,24h,A549,compound,NA,Adrenergic receptor antagonist,BRD-A33168282,BRD-A33168282|10uM|24h,BRD-A33168282|10uM|24h|A549,BRD-A33168282|compound|10uM|24h|A549,BRD-A33168282|10uM,BRD-A33168282|10uM,BRD-A33168282|10uM,SQ00015124,SQ00015124,NA,H01,profile,NA,NA,NA,NA
BRD-A36331462,10uM,24h,A549,compound,NA,Proteasome inhibitor,BRD-A36331462,BRD-A36331462|10uM|24h,BRD-A36331462|10uM|24h|A549,BRD-A36331462|compound|10uM|24h|A549,BRD-A36331462|10uM,BRD-A36331462|10uM,BRD-A36331462|10uM,SQ00015124,SQ00015124,NA,O07,profile,NA,NA,NA,NA
BRD-A45153512,10uM,24h,A549,compound,NA,Prostanoid receptor agonist,BRD-A45153512,BRD-A45153512|10uM|24h,BRD-A45153512|10uM|24h|A549,BRD-A45153512|compound|10uM|24h|A549,BRD-A45153512|10uM,BRD-A45153512|10uM,BRD-A45153512|10uM,SQ00015096,SQ00015096,NA,J19,profile,NA,NA,NA,NA
BRD-A45889380,10uM,24h,A549,compound,NA,NFkB pathway inhibitor|Cytokine production inhibitor|TP53 activator,BRD-A45889380,BRD-A45889380|10uM|24h,BRD-A45889380|10uM|24h|A549,BRD-A45889380|compound|10uM|24h|A549,BRD-A45889380|10uM,BRD-A45889380|10uM,BRD-A45889380|10uM,SQ00015096,SQ00015096,NA,L01,profile,NA,NA,NA,NA
BRD-A47364545,10uM,24h,A549,compound,NA,NA,BRD-A47364545,BRD-A47364545|10uM|24h,BRD-A47364545|10uM|24h|A549,BRD-A47364545|compound|10uM|24h|A549,BRD-A47364545|10uM,BRD-A47364545|10uM,BRD-A47364545|10uM,SQ00015150,SQ00015150,NA,H01,profile,NA,NA,NA,NA
BRD-A50675702,10uM,24h,A549,compound,NA,Chloride channel blocker|GABA gated chloride channel blocker,BRD-A50675702,BRD-A50675702|10uM|24h,BRD-A50675702|10uM|24h|A549,BRD-A50675702|compound|10uM|24h|A549,BRD-A50675702|10uM,BRD-A50675702|10uM,BRD-A50675702|10uM,SQ00015150,SQ00015150,NA,O19,profile,NA,NA,NA,NA
BRD-A50764878,10uM,24h,A549,compound,NA,Serotonin receptor antagonist,BRD-A50764878,BRD-A50764878|10uM|24h,BRD-A50764878|10uM|24h|A549,BRD-A50764878|compound|10uM|24h|A549,BRD-A50764878|10uM,BRD-A50764878|10uM,BRD-A50764878|10uM,SQ00015142,SQ00015142,NA,A13,profile,NA,NA,NA,NA
BRD-A51820102,10uM,24h,A549,compound,NA,Lanosterol demethylase inhibitor|Sterol demethylase inhibitor|Bacterial cell wall synthesis inhibitor,BRD-A51820102,BRD-A51820102|10uM|24h,BRD-A51820102|10uM|24h|A549,BRD-A51820102|compound|10uM|24h|A549,BRD-A51820102|10uM,BRD-A51820102|10uM,BRD-A51820102|10uM,SQ00015138,SQ00015138,NA,D13,profile,NA,NA,NA,NA
BRD-A55579717,10uM,24h,A549,compound,NA,Acetylcholine receptor agonist,BRD-A55579717,BRD-A55579717|10uM|24h,BRD-A55579717|10uM|24h|A549,BRD-A55579717|compound|10uM|24h|A549,BRD-A55579717|10uM,BRD-A55579717|10uM,BRD-A55579717|10uM,SQ00015134,SQ00015134,NA,A07,profile,NA,NA,NA,NA
BRD-A61154809,10uM,24h,A549,compound,NA,ATP channel blocker|Insulin secretagogue,BRD-A61154809,BRD-A61154809|10uM|24h,BRD-A61154809|10uM|24h|A549,BRD-A61154809|compound|10uM|24h|A549,BRD-A61154809|10uM,BRD-A61154809|10uM,BRD-A61154809|10uM,SQ00015134,SQ00015134,NA,P01,profile,NA,NA,NA,NA
BRD-A61767428,10uM,24h,A549,compound,NA,11-beta hydroxysteroid dehydrogenase inhibitor|Acetylcholinesterase inhibitor|Caspase inhibitor|HIV protease inhibitor|Lipid peroxidase inhibitor|Quorum sensing signaling modulator|Steryl sulfatase inhibitor|Tyrosine phosphatase inhibitor|ATPase inhibitor|NFkB pathway inhibitor|STAT inhibitor,BRD-A61767428,BRD-A61767428|10uM|24h,BRD-A61767428|10uM|24h|A549,BRD-A61767428|compound|10uM|24h|A549,BRD-A61767428|10uM,BRD-A61767428|10uM,BRD-A61767428|10uM,SQ00015142,SQ00015142,NA,O19,profile,NA,NA,NA,NA
BRD-A62025033,10uM,24h,A549,compound,NA,MTOR inhibitor,BRD-A62025033,BRD-A62025033|10uM|24h,BRD-A62025033|10uM|24h|A549,BRD-A62025033|compound|10uM|24h|A549,BRD-A62025033|10uM,BRD-A62025033|10uM,BRD-A62025033|10uM,SQ00015100,SQ00015100,NA,E01,profile,NA,NA,NA,NA
BRD-A67616246,10uM,24h,A549,compound,NA,Histamine receptor antagonist,BRD-A67616246,BRD-A67616246|10uM|24h,BRD-A67616246|10uM|24h|A549,BRD-A67616246|compound|10uM|24h|A549,BRD-A67616246|10uM,BRD-A67616246|10uM,BRD-A67616246|10uM,SQ00015142,SQ00015142,NA,N01,profile,NA,NA,NA,NA
BRD-A68493689,10uM,24h,A549,compound,NA,HCV inhibitor,BRD-A68493689,BRD-A68493689|10uM|24h,BRD-A68493689|10uM|24h|A549,BRD-A68493689|compound|10uM|24h|A549,BRD-A68493689|10uM,BRD-A68493689|10uM,BRD-A68493689|10uM,SQ00014816,SQ00014816,NA,D19,profile,NA,NA,NA,NA
BRD-A70998768,10uM,24h,A549,compound,NA,T-type calcium channel blocker,BRD-A70998768,BRD-A70998768|10uM|24h,BRD-A70998768|10uM|24h|A549,BRD-A70998768|compound|10uM|24h|A549,BRD-A70998768|10uM,BRD-A70998768|10uM,BRD-A70998768|10uM,SQ00014816,SQ00014816,NA,L01,profile,NA,NA,NA,NA
BRD-A74391928,10uM,24h,A549,compound,NA,Potassium channel blocker,BRD-A74391928,BRD-A74391928|10uM|24h,BRD-A74391928|10uM|24h|A549,BRD-A74391928|compound|10uM|24h|A549,BRD-A74391928|10uM,BRD-A74391928|10uM,BRD-A74391928|10uM,SQ00015044,SQ00015044,NA,H19,profile,NA,NA,NA,NA
BRD-A74667430,10uM,24h,A549,compound,NA,Cyclooxygenase inhibitor,BRD-A74667430,BRD-A74667430|10uM|24h,BRD-A74667430|10uM|24h|A549,BRD-A74667430|compound|10uM|24h|A549,BRD-A74667430|10uM,BRD-A74667430|10uM,BRD-A74667430|10uM,SQ00015044,SQ00015044,NA,J01,profile,NA,NA,NA,NA
BRD-A75726477,10uM,24h,A549,compound,NA,Adrenergic receptor agonist,BRD-A75726477,BRD-A75726477|10uM|24h,BRD-A75726477|10uM|24h|A549,BRD-A75726477|compound|10uM|24h|A549,BRD-A75726477|10uM,BRD-A75726477|10uM,BRD-A75726477|10uM,SQ00014820,SQ00014820,NA,H01,profile,NA,NA,NA,NA
BRD-A76747559,10uM,24h,A549,compound,NA,Antioxidant|Capillary stabilizing agent|Nitric oxide scavenger,BRD-A76747559,BRD-A76747559|10uM|24h,BRD-A76747559|10uM|24h|A549,BRD-A76747559|compound|10uM|24h|A549,BRD-A76747559|10uM,BRD-A76747559|10uM,BRD-A76747559|10uM,SQ00014820,SQ00014820,NA,I01,profile,NA,NA,NA,NA
BRD-A78341343,10uM,24h,A549,compound,NA,Adenosine receptor agonist,BRD-A78341343,BRD-A78341343|10uM|24h,BRD-A78341343|10uM|24h|A549,BRD-A78341343|compound|10uM|24h|A549,BRD-A78341343|10uM,BRD-A78341343|10uM,BRD-A78341343|10uM,SQ00014820,SQ00014820,NA,M01,profile,NA,NA,NA,NA
BRD-A78877355,10uM,24h,A549,compound,NA,Cyclooxygenase inhibitor,BRD-A78877355,BRD-A78877355|10uM|24h,BRD-A78877355|10uM|24h|A549,BRD-A78877355|compound|10uM|24h|A549,BRD-A78877355|10uM,BRD-A78877355|10uM,BRD-A78877355|10uM,SQ00015044,SQ00015044,NA,N13,profile,NA,NA,NA,NA
BRD-A80017228,10uM,24h,A549,compound,NA,Sodium/potassium/chloride transporter inhibitor,BRD-A80017228,BRD-A80017228|10uM|24h,BRD-A80017228|10uM|24h|A549,BRD-A80017228|compound|10uM|24h|A549,BRD-A80017228|10uM,BRD-A80017228|10uM,BRD-A80017228|10uM,SQ00015044,SQ00015044,NA,O13,profile,NA,NA,NA,NA
BRD-A82156122,10uM,24h,A549,compound,NA,Dipeptidyl peptidase inhibitor,BRD-A82156122,BRD-A82156122|10uM|24h,BRD-A82156122|10uM|24h|A549,BRD-A82156122|compound|10uM|24h|A549,BRD-A82156122|10uM,BRD-A82156122|10uM,BRD-A82156122|10uM,SQ00014812,SQ00014812,NA,P13,profile,NA,NA,NA,NA
BRD-A82395837,10uM,24h,A549,compound,NA,Platelet activating factor receptor antagonist|GABA receptor antagonist|Glycine receptor antagonist|Immunosuppressant|Peptidase inhibitor|Protease inhibitor|Reducing agent,BRD-A82395837,BRD-A82395837|10uM|24h,BRD-A82395837|10uM|24h|A549,BRD-A82395837|compound|10uM|24h|A549,BRD-A82395837|10uM,BRD-A82395837|10uM,BRD-A82395837|10uM,SQ00015100,SQ00015100,NA,F13,profile,NA,NA,NA,NA
BRD-A82772293,10uM,24h,A549,compound,NA,Mucosa associated lymphoid tissue lymphoma translocation protein 1 (MALT1) inhibitor,BRD-A82772293,BRD-A82772293|10uM|24h,BRD-A82772293|10uM|24h|A549,BRD-A82772293|compound|10uM|24h|A549,BRD-A82772293|10uM,BRD-A82772293|10uM,BRD-A82772293|10uM,SQ00015100,SQ00015100,NA,H01,profile,NA,NA,NA,NA
BRD-A85439007,10uM,24h,A549,compound,NA,DNA synthesis inhibitor,BRD-A85439007,BRD-A85439007|10uM|24h,BRD-A85439007|10uM|24h|A549,BRD-A85439007|compound|10uM|24h|A549,BRD-A85439007|10uM,BRD-A85439007|10uM,BRD-A85439007|10uM,SQ00015100,SQ00015100,NA,M13,profile,NA,NA,NA,NA
BRD-A89164055,10uM,24h,A549,compound,NA,Aldose reductase inhibitor,BRD-A89164055,BRD-A89164055|10uM|24h,BRD-A89164055|10uM|24h|A549,BRD-A89164055|compound|10uM|24h|A549,BRD-A89164055|10uM,BRD-A89164055|10uM,BRD-A89164055|10uM,SQ00015048,SQ00015048,NA,E07,profile,NA,NA,NA,NA
BRD-A91699651,10uM,24h,A549,compound,NA,Antimalarial agent,BRD-A91699651,BRD-A91699651|10uM|24h,BRD-A91699651|10uM|24h|A549,BRD-A91699651|compound|10uM|24h|A549,BRD-A91699651|10uM,BRD-A91699651|10uM,BRD-A91699651|10uM,SQ00015048,SQ00015048,NA,L01,profile,NA,NA,NA,NA
BRD-A91877226,10uM,24h,A549,compound,NA,DNA synthesis inhibitor|Thymidylate synthase inhibitor,BRD-A91877226,BRD-A91877226|10uM|24h,BRD-A91877226|10uM|24h|A549,BRD-A91877226|compound|10uM|24h|A549,BRD-A91877226|10uM,BRD-A91877226|10uM,BRD-A91877226|10uM,SQ00015048,SQ00015048,NA,K13,profile,NA,NA,NA,NA
BRD-A92826379,10uM,24h,A549,compound,NA,Sodium channel blocker,BRD-A92826379,BRD-A92826379|10uM|24h,BRD-A92826379|10uM|24h|A549,BRD-A92826379|compound|10uM|24h|A549,BRD-A92826379|10uM,BRD-A92826379|10uM,BRD-A92826379|10uM,SQ00015056,SQ00015056,NA,D01,profile,NA,NA,NA,NA
BRD-A95032015,10uM,24h,A549,compound,NA,Reverse transcriptase inhibitor,BRD-A95032015,BRD-A95032015|10uM|24h,BRD-A95032015|10uM|24h|A549,BRD-A95032015|compound|10uM|24h|A549,BRD-A95032015|10uM,BRD-A95032015|10uM,BRD-A95032015|10uM,SQ00015056,SQ00015056,NA,J01,profile,NA,NA,NA,NA
BRD-A95696066,10uM,24h,A549,compound,NA,Norepinephrine reuptake inhibitor,BRD-A95696066,BRD-A95696066|10uM|24h,BRD-A95696066|10uM|24h|A549,BRD-A95696066|compound|10uM|24h|A549,BRD-A95696066|10uM,BRD-A95696066|10uM,BRD-A95696066|10uM,SQ00015056,SQ00015056,NA,I19,profile,NA,NA,NA,NA
BRD-A97104540,10uM,24h,A549,compound,NA,Adrenergic receptor agonist,BRD-A97104540,BRD-A97104540|10uM|24h,BRD-A97104540|10uM|24h|A549,BRD-A97104540|compound|10uM|24h|A549,BRD-A97104540|10uM,BRD-A97104540|10uM,BRD-A97104540|10uM,SQ00015052,SQ00015052,NA,I01,profile,NA,NA,NA,NA
BRD-A97808748,10uM,24h,A549,compound,NA,Mineralocorticoid receptor antagonist,BRD-A97808748,BRD-A97808748|10uM|24h,BRD-A97808748|10uM|24h|A549,BRD-A97808748|compound|10uM|24h|A549,BRD-A97808748|10uM,BRD-A97808748|10uM,BRD-A97808748|10uM,SQ00015052,SQ00015052,NA,O07,profile,NA,NA,NA,NA
BRD-K00077635,10uM,24h,A549,compound,NA,DNA synthesis inhibitor|Microtubule inhibitor|DNA alkylating drug|DNA inhibitor|Estrogen receptor agonist,BRD-K00077635,BRD-K00077635|10uM|24h,BRD-K00077635|10uM|24h|A549,BRD-K00077635|compound|10uM|24h|A549,BRD-K00077635|10uM,BRD-K00077635|10uM,BRD-K00077635|10uM,SQ00015196,SQ00015196,NA,A07,profile,NA,NA,NA,NA
BRD-K00494077,10uM,24h,A549,compound,NA,Bacterial DNA gyrase inhibitor,BRD-K00494077,BRD-K00494077|10uM|24h,BRD-K00494077|10uM|24h|A549,BRD-K00494077|compound|10uM|24h|A549,BRD-K00494077|10uM,BRD-K00494077|10uM,BRD-K00494077|10uM,SQ00015196,SQ00015196,NA,C01,profile,NA,NA,NA,NA
BRD-K00603606,10uM,24h,A549,compound,NA,Purinergic receptor antagonist,BRD-K00603606,BRD-K00603606|10uM|24h,BRD-K00603606|10uM|24h|A549,BRD-K00603606|compound|10uM|24h|A549,BRD-K00603606|10uM,BRD-K00603606|10uM,BRD-K00603606|10uM,SQ00015196,SQ00015196,NA,D07,profile,NA,NA,NA,NA
BRD-K00674894,10uM,24h,A549,compound,NA,Androgen biosynthesis inhibitor|Androgen receptor antagonist|Cytochrome P450 inhibitor,BRD-K00674894,BRD-K00674894|10uM|24h,BRD-K00674894|10uM|24h|A549,BRD-K00674894|compound|10uM|24h|A549,BRD-K00674894|10uM,BRD-K00674894|10uM,BRD-K00674894|10uM,SQ00015196,SQ00015196,NA,E01,profile,NA,NA,NA,NA
BRD-K01638814,10uM,24h,A549,compound,NA,Adrenergic receptor agonist|Imidazoline receptor agonist,BRD-K01638814,BRD-K01638814|10uM|24h,BRD-K01638814|10uM|24h|A549,BRD-K01638814|compound|10uM|24h|A549,BRD-K01638814|10uM,BRD-K01638814|10uM,BRD-K01638814|10uM,SQ00015194,SQ00015194,NA,N19,profile,NA,NA,NA,NA
BRD-K01815685,10uM,24h,A549,compound,NA,"Aryl hydrocarbon receptor agonist|Indoleamine 2,3-dioxygenase inhibitor",BRD-K01815685,BRD-K01815685|10uM|24h,BRD-K01815685|10uM|24h|A549,BRD-K01815685|compound|10uM|24h|A549,BRD-K01815685|10uM,BRD-K01815685|10uM,BRD-K01815685|10uM,SQ00015196,SQ00015196,NA,H19,profile,NA,NA,NA,NA
BRD-K02389548,10uM,24h,A549,compound,NA,HDAC inhibitor,BRD-K02389548,BRD-K02389548|10uM|24h,BRD-K02389548|10uM|24h|A549,BRD-K02389548|compound|10uM|24h|A549,BRD-K02389548|10uM,BRD-K02389548|10uM,BRD-K02389548|10uM,SQ00015196,SQ00015196,NA,L01,profile,NA,NA,NA,NA
BRD-K02501528,10uM,24h,A549,compound,NA,Glutamate receptor modulator,BRD-K02501528,BRD-K02501528|10uM|24h,BRD-K02501528|10uM|24h|A549,BRD-K02501528|compound|10uM|24h|A549,BRD-K02501528|10uM,BRD-K02501528|10uM,BRD-K02501528|10uM,SQ00015196,SQ00015196,NA,K13,profile,NA,NA,NA,NA
BRD-K03384561,10uM,24h,A549,compound,NA,Angiogenesis inhibitor|TNF production inhibitor,BRD-K03384561,BRD-K03384561|10uM|24h,BRD-K03384561|10uM|24h|A549,BRD-K03384561|compound|10uM|24h|A549,BRD-K03384561|10uM,BRD-K03384561|10uM,BRD-K03384561|10uM,SQ00015196,SQ00015196,NA,P13,profile,NA,NA,NA,NA
BRD-K04112579,10uM,24h,A549,compound,NA,Cyclooxygenase inhibitor,BRD-K04112579,BRD-K04112579|10uM|24h,BRD-K04112579|10uM|24h|A549,BRD-K04112579|compound|10uM|24h|A549,BRD-K04112579|10uM,BRD-K04112579|10uM,BRD-K04112579|10uM,SQ00015195,SQ00015195,NA,A19,profile,NA,NA,NA,NA
BRD-K04804440,10uM,24h,A549,compound,NA,Bacterial DNA gyrase inhibitor,BRD-K04804440,BRD-K04804440|10uM|24h,BRD-K04804440|10uM|24h|A549,BRD-K04804440|compound|10uM|24h|A549,BRD-K04804440|10uM,BRD-K04804440|10uM,BRD-K04804440|10uM,SQ00015195,SQ00015195,NA,C13,profile,NA,NA,NA,NA
BRD-K04887706,10uM,24h,A549,compound,NA,AKT inhibitor,BRD-K04887706,BRD-K04887706|10uM|24h,BRD-K04887706|10uM|24h|A549,BRD-K04887706|compound|10uM|24h|A549,BRD-K04887706|10uM,BRD-K04887706|10uM,BRD-K04887706|10uM,SQ00015150,SQ00015150,NA,G07,profile,NA,NA,NA,NA
