perturbation,dose,time,cell_line,perturbation_type,target_gene,moa,condition_key_coarse,condition_key_medium,condition_key_fine,condition_key_with_type,bio_key,condition_id,condition_key,batch,plate,run,well,site,z_plane,imaging_channel,sequencing_lane,library_id
BRD-K59197931,10uM,24h,A549,compound,NA,Cyclooxygenase inhibitor,BRD-K59197931,BRD-K59197931|10uM|24h,BRD-K59197931|10uM|24h|A549,BRD-K59197931|compound|10uM|24h|A549,BRD-K59197931|10uM,BRD-K59197931|10uM,BRD-K59197931|10uM,SQ00015198,SQ00015198,NA,F19,profile,NA,NA,NA,NA
BRD-K59273480,10uM,24h,A549,compound,NA,Adenosine reuptake inhibitor|Phosphodiesterase inhibitor,BRD-K59273480,BRD-K59273480|10uM|24h,BRD-K59273480|10uM|24h|A549,BRD-K59273480|compound|10uM|24h|A549,BRD-K59273480|10uM,BRD-K59273480|10uM,BRD-K59273480|10uM,SQ00015134,SQ00015134,NA,K01,profile,NA,NA,NA,NA
BRD-K59331299,10uM,24h,A549,compound,NA,Glucosidase inhibitor,BRD-K59331299,BRD-K59331299|10uM|24h,BRD-K59331299|10uM|24h|A549,BRD-K59331299|compound|10uM|24h|A549,BRD-K59331299|10uM,BRD-K59331299|10uM,BRD-K59331299|10uM,SQ00015134,SQ00015134,NA,L07,profile,NA,NA,NA,NA
BRD-K59875992,10uM,24h,A549,compound,NA,NA,BRD-K59875992,BRD-K59875992|10uM|24h,BRD-K59875992|10uM|24h|A549,BRD-K59875992|compound|10uM|24h|A549,BRD-K59875992|10uM,BRD-K59875992|10uM,BRD-K59875992|10uM,SQ00015134,SQ00015134,NA,M07,profile,NA,NA,NA,NA
BRD-K59929863,10uM,24h,A549,compound,NA,NA,BRD-K59929863,BRD-K59929863|10uM|24h,BRD-K59929863|10uM|24h|A549,BRD-K59929863|compound|10uM|24h|A549,BRD-K59929863|10uM,BRD-K59929863|10uM,BRD-K59929863|10uM,SQ00015134,SQ00015134,NA,N07,profile,NA,NA,NA,NA
BRD-K61250553,10uM,24h,A549,compound,NA,Opioid receptor agonist,BRD-K61250553,BRD-K61250553|10uM|24h,BRD-K61250553|10uM|24h|A549,BRD-K61250553|compound|10uM|24h|A549,BRD-K61250553|10uM,BRD-K61250553|10uM,BRD-K61250553|10uM,SQ00015134,SQ00015134,NA,O13,profile,NA,NA,NA,NA
BRD-K61988078,10uM,24h,A549,compound,NA,Chloride channel antagonist,BRD-K61988078,BRD-K61988078|10uM|24h,BRD-K61988078|10uM|24h|A549,BRD-K61988078|compound|10uM|24h|A549,BRD-K61988078|10uM,BRD-K61988078|10uM,BRD-K61988078|10uM,SQ00015142,SQ00015142,NA,N13,profile,NA,NA,NA,NA
BRD-K62200014,10uM,24h,A549,compound,NA,Phosphodiesterase inhibitor,BRD-K62200014,BRD-K62200014|10uM|24h,BRD-K62200014|10uM|24h|A549,BRD-K62200014|compound|10uM|24h|A549,BRD-K62200014|10uM,BRD-K62200014|10uM,BRD-K62200014|10uM,SQ00015146,SQ00015146,NA,B13,profile,NA,NA,NA,NA
BRD-K62762455,10uM,24h,A549,compound,NA,NA,BRD-K62762455,BRD-K62762455|10uM|24h,BRD-K62762455|10uM|24h|A549,BRD-K62762455|compound|10uM|24h|A549,BRD-K62762455|10uM,BRD-K62762455|10uM,BRD-K62762455|10uM,SQ00015146,SQ00015146,NA,D19,profile,NA,NA,NA,NA
BRD-K63430059,10uM,24h,A549,compound,NA,DNA synthesis inhibitor,BRD-K63430059,BRD-K63430059|10uM|24h,BRD-K63430059|10uM|24h|A549,BRD-K63430059|compound|10uM|24h|A549,BRD-K63430059|10uM,BRD-K63430059|10uM,BRD-K63430059|10uM,SQ00015146,SQ00015146,NA,E19,profile,NA,NA,NA,NA
