split_seed	baseline	subset	condition	condition_label	perturbation_ids	pearson_delta_all	pearson_delta_de20	top20_de_overlap	mse_delta_all	mse_delta_de20	mse_expression_all	mse_expression_de20	direction_accuracy_de20	pred_delta_l2	true_delta_l2	de20_count
1	global_train_mean	all_test	DUSP9+PRTG	double	DUSP9+PRTG	0.6689632217856742	0.8483662251263866	0.3	0.0069237337447702885	0.8333646655082703	0.0069237337447702885	0.8333646655082703	0.75	2.174917459487915	7.141734600067139	20
1	global_train_mean	all_test	BCL2L11+TGFBR2	double	BCL2L11+TGFBR2	0.2893588829145433	0.7531629065195385	0.3	0.0012497075367718935	0.05752882361412048	0.0012497075367718935	0.05752882361412048	0.8	2.174917459487915	2.013725996017456	20
1	global_train_mean	all_test	CEBPB+CEBPA	double	CEBPB+CEBPA	0.5931672111307723	0.6782159137973522	0.15	0.02677239663898945	1.3758087158203125	0.02677239663898945	1.375808596611023	0.8	2.174917459487915	12.789652824401855	20
1	global_train_mean	all_test	PTPN12+UBASH3A	double	PTPN12+UBASH3A	0.6328680378736237	0.8534082462626549	0.2	0.005355106201022863	0.6309155821800232	0.005355106201022863	0.6309155821800232	0.75	2.174917459487915	6.2784953117370605	20
1	global_train_mean	all_test	FEV+MAP7D1	double	FEV+MAP7D1	0.5289131773474837	0.7694840871074297	0.25	0.005644676741212606	0.6103214025497437	0.005644676741212606	0.6103214025497437	0.85	2.174917459487915	6.168097972869873	20
1	global_train_mean	all_test	FOXL2+MEIS1	double	FOXL2+MEIS1	0.740822440435561	0.8986132641136756	0.35	0.002525077201426029	0.12727104127407074	0.002525077201426029	0.12727104127407074	0.95	2.174917459487915	4.875682830810547	20
1	global_train_mean	all_test	PTPN12+PTPN9	double	PTPN12+PTPN9	0.6131492745453442	0.8372917406437227	0.25	0.004017106723040342	0.41609206795692444	0.004017106723040342	0.41609206795692444	0.85	2.174917459487915	5.4764628410339355	20
1	global_train_mean	all_test	FOSB+CEBPB	double	FOSB+CEBPB	0.6019327265687231	0.6348104654619985	0.1	0.017752233892679214	0.9814565777778625	0.017752233892679214	0.981456458568573	0.85	2.174917459487915	10.62138557434082	20
1	global_train_mean	all_test	SET+KLF1	double	SET+KLF1	0.3620550157768648	0.6098165309748732	0.2	0.004620029591023922	0.5944944620132446	0.004620029591023922	0.5944944620132446	0.7	2.174917459487915	5.168139457702637	20
1	global_train_mean	all_test	PTPN12+SNAI1	double	PTPN12+SNAI1	0.5736886302636754	0.7588599646361724	0.3	0.0016163858817890286	0.10592641681432724	0.0016163858817890286	0.10592641681432724	0.85	2.174917459487915	3.477587938308716	20
1	global_train_mean	all_test	BCL2L11+BAK1	double	BCL2L11+BAK1	-0.045814865480066774	0.1149222774513593	0.1	0.0013968091225251555	0.03359267860651016	0.0013968091225251555	0.03359267860651016	0.3	2.174917459487915	1.4203184843063354	20
1	global_train_mean	all_test	IRF1+SET	double	IRF1+SET	0.29710731449034844	0.42606563105300405	0.0	0.009330429136753082	0.8682473301887512	0.009330429136753082	0.8682473301887512	0.75	2.174917459487915	7.197146892547607	20
1	global_train_mean	all_test	CBL+CNN1	double	CBL+CNN1	0.6196412056455889	0.8730192587625504	0.25	0.009131948463618755	1.2443008422851562	0.009131948463618755	1.2443008422851562	0.85	2.174917459487915	7.905875205993652	20
1	global_train_mean	all_test	CBL+UBASH3B	double	CBL+UBASH3B	0.6728923937842676	0.9390860142797269	0.3	0.007092324551194906	0.8555225133895874	0.007092324551194906	0.8555225133895874	0.95	2.174917459487915	7.2094573974609375	20
1	global_train_mean	all_test	CEBPB+MAPK1	double	CEBPB+MAPK1	0.3934110252369652	-0.012486224955487265	0.2	0.007133074104785919	0.7380467057228088	0.007133074104785919	0.7380467057228088	0.8	2.174917459487915	6.526955604553223	20
1	global_train_mean	all_test	DUSP9+IGDCC3	double	DUSP9+IGDCC3	0.6742842073753753	0.8085704530710853	0.3	0.006154885981231928	0.7638482451438904	0.006154885981231928	0.7638482451438904	0.8	2.174917459487915	6.803346633911133	20
1	global_train_mean	all_test	CEBPB+OSR2	double	CEBPB+OSR2	0.5691553938499	0.6627112346612621	0.05	0.008181268349289894	0.642318606376648	0.008181268349289894	0.642318606376648	0.8	2.174917459487915	7.421356201171875	20
1	global_train_mean	all_test	CEBPE+PTPN12	double	CEBPE+PTPN12	0.6041992799334924	0.7564898996631959	0.25	0.0015162695199251175	0.14210021495819092	0.0015162695199251175	0.14210021495819092	0.9	2.174917459487915	3.4761605262756348	20
1	global_train_mean	all_test	DUSP9+KLF1	double	DUSP9+KLF1	0.5726414416786321	0.7637125342168001	0.2	0.007762937806546688	1.1663631200790405	0.0077629368752241135	1.1663631200790405	0.6	2.174917459487915	7.247936725616455	20
1	global_train_mean	all_test	FEV+ISL2	double	FEV+ISL2	0.5859714918411908	0.7539055633702382	0.2	0.007438718806952238	0.6114162802696228	0.007438718806952238	0.6114163398742676	0.85	2.174917459487915	7.152077674865723	20
1	global_train_mean	all_test	POU3F2+CBFA2T3	double	POU3F2+CBFA2T3	0.7351090787387126	0.8961056422211375	0.45	0.00247317086905241	0.12654101848602295	0.0024731711018830538	0.12654101848602295	0.9	2.174917459487915	4.815503120422363	20
1	global_train_mean	all_test	CEBPE+SPI1	double	CEBPE+SPI1	0.6351383051261029	0.8879197056974586	0.2	0.021235818043351173	1.4070335626602173	0.021235818043351173	1.4070336818695068	0.9	2.174917459487915	11.602614402770996	20
1	global_train_mean	all_test	CBL+TGFBR2	double	CBL+TGFBR2	0.577477509462971	0.8424319453567437	0.25	0.0025573258753865957	0.34143567085266113	0.0025573258753865957	0.34143567085266113	0.8	2.174917459487915	4.361639499664307	20
1	global_train_mean	all_test	FOXA1+FOXL2	double	FOXA1+FOXL2	0.7234636419223337	0.9724675152762171	0.35	0.00317766098305583	0.15848946571350098	0.00317766098305583	0.15848946571350098	1.0	2.174917459487915	5.293095588684082	20
1	global_train_mean	all_test	ETS2+MAP7D1	double	ETS2+MAP7D1	0.252743314382436	0.29801496326822063	0.15	0.004452316556125879	0.3928256630897522	0.004452316556125879	0.3928256630897522	0.75	2.174917459487915	4.812594890594482	20
1	global_train_mean	all_test	FOXF1+FOXL2	double	FOXF1+FOXL2	0.7149397219231647	0.8973011672594932	0.35	0.0054615638218820095	0.22583544254302979	0.005461563356220722	0.22583544254302979	0.95	2.174917459487915	6.586431980133057	20
1	global_train_mean	all_test	LYL1+CEBPB	double	LYL1+CEBPB	0.6337650564787363	0.6742610005408695	0.15	0.0028313039802014828	0.3080093562602997	0.0028313039802014828	0.3080093562602997	0.85	2.174917459487915	4.77182149887085	20
1	global_train_mean	all_test	PTPN12+ZBTB25	double	PTPN12+ZBTB25	0.5973807892791251	0.8764881442095217	0.2	0.0050552524626255035	0.5681461095809937	0.0050552524626255035	0.5681461095809937	0.85	2.174917459487915	6.024454116821289	20
1	global_train_mean	all_test	DUSP9+SNAI1	double	DUSP9+SNAI1	0.6971110683333531	0.8676655077835488	0.45	0.00884515605866909	0.4483388066291809	0.00884515605866909	0.4483388066291809	0.95	2.174917459487915	8.01867961883545	20
1	global_train_mean	all_test	RHOXF2BB+ZBTB25	double	RHOXF2BB+ZBTB25	0.7677281454634861	0.9722666834199104	0.45	0.0049817366525530815	0.5707632303237915	0.0049817366525530815	0.5707632303237915	0.95	2.174917459487915	6.480055332183838	20
1	global_train_mean	all_test	FOSB+PTPN12	double	FOSB+PTPN12	0.5471412406550985	0.8101505443372584	0.15	0.001241403864696622	0.10086126625537872	0.001241403864696622	0.10086125135421753	0.75	2.174917459487915	2.901545286178589	20
1	global_train_mean	all_test	SAMD1+PTPN12	double	SAMD1+PTPN12	0.7205856227893148	0.8877592821981394	0.4	0.004485228098928928	0.5738369226455688	0.004485228098928928	0.5738369226455688	0.95	2.174917459487915	6.069432258605957	20
1	global_train_mean	all_test	FOXL2+HOXB9	double	FOXL2+HOXB9	0.7300969386649102	0.9105885276980237	0.4	0.00629907101392746	0.32387131452560425	0.00629907101392746	0.32387131452560425	0.95	2.174917459487915	7.032344341278076	20
1	global_train_mean	all_test	ZBTB10+ELMSAN1	double	ZBTB10+ELMSAN1	0.6520366884899905	0.8317516879992699	0.25	0.006004136521369219	0.29173722863197327	0.006004136521369219	0.29173722863197327	0.7	2.174917459487915	6.677896976470947	20
1	global_train_mean	all_test	JUN+CEBPB	double	JUN+CEBPB	0.7110318266857022	0.9048367261118817	0.3	0.010234215296804905	0.6179676651954651	0.01023421436548233	0.6179676055908203	1.0	2.174917459487915	8.574749946594238	20
1	global_train_mean	all_test	BPGM+ZBTB1	double	BPGM+ZBTB1	0.6612851308800874	0.8834633052166704	0.3	0.0036540222354233265	0.533413290977478	0.0036540222354233265	0.533413290977478	0.95	2.174917459487915	5.408033847808838	20
